SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, 0.7183, 0.3918, -0.5852, 0.3910, 0.0388, 0.2078, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3912, -0.2380, -0.4458, -0.0035, -0.0023, 0.0045, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, 0.7203, 0.3891, -0.5847, 0.3560, -0.0487, 0.0853, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3911, -0.2380, -0.4458, -0.0054, 0.0004, 0.0040, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, 0.7189, 0.3909, -0.5850, 0.3910, -0.1012, 0.1728, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3911, -0.2380, -0.4458, -0.0040, -0.0014, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, 0.7206, 0.3862, -0.5867, 0.3210, -0.1537, 0.1378, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3907, -0.2382, -0.4460, -0.0057, 0.0030, 0.0058, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, 0.7200, 0.3850, -0.5873, 0.1635, -0.1012, 0.1553, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3907, -0.2382, -0.4460, -0.0050, 0.0036, 0.0062, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, 0.7186, 0.3857, -0.5863, -0.0290, 0.0563, 0.0328, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3907, -0.2382, -0.4460, -0.0036, 0.0028, 0.0051, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, 0.7192, 0.3889, -0.5865, 0.0935, -0.1712, 0.1028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3907, -0.2382, -0.4460, -0.0042, -0.0003, 0.0054, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, 0.7181, 0.3909, -0.5876, 0.1635, -0.2587, 0.0186, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3907, -0.2382, -0.4461, -0.0031, -0.0023, 0.0064, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 8, 0.7210, 0.3885, -0.5859, 0.1110, -0.2237, -0.0514, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3904, -0.2383, -0.4462, -0.0060, -0.0002, 0.0046, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0900, 9, 0.7174, 0.3866, -0.5862, 0.1635, -0.0837, 0.0011, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7692, 0.3904, -0.2383, -0.4462, -0.0024, 0.0014, 0.0047, 0.0000, 0.0000, 0.0000, 0.0000
