Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-1.684553213,-0.045951215,0.31019935,-0.352620999,0.444584098,0.828924363,,,
,-1.136461787,0.085542599,-0.29879749,-0.34553262,0.444563405,0.828762793,,,
,-1.080770289,0.346295691,-0.090240853,-0.343952803,0.447647197,0.827955454,,,
,-0.678725804,0.691330876,-0.441521277,-0.351827931,0.446130377,0.82735474,,,
,-0.884073878,-0.170283057,-0.2973078,-0.34080316,0.449177676,0.828663914,,,
,-1.698189609,0.538523032,-0.55972247,-0.351829867,0.443816412,0.827350255,,,
,-1.071602964,0.563446696,0.323434675,-0.351827931,0.446130377,0.82735474,,,
,-1.43657708,0.347957269,-0.094939107,-0.34867472,0.444584506,0.825725178,,,
,-1.76958015,0.183289199,1.133367815,-0.35183262,0.4430421,0.828126096,,,
,-1.384208737,-0.055405019,0.056436343,-0.347111723,0.439940061,0.828789704,,,
,-0.260638501,0.050592173,0.329794507,-0.34317054,0.443785219,0.828707339,,,
,-0.880349652,0.694310256,-0.341883916,-0.343954842,0.447644241,0.828732824,,,
,-0.769883389,-0.049560849,0.322346056,-0.343954842,0.447644241,0.828732824,,,
,-1.075957443,0.253018162,0.166558831,-0.351829867,0.443816412,0.827350255,,,
,-0.670818987,0.046123103,0.118487672,-0.349472375,0.437638838,0.827284404,,,
,-0.16724638,-0.015412565,-0.13263973,-0.34082212,0.441446585,0.83331315,,,
,-0.666750986,0.154125647,0.32526814,-0.347107034,0.443028338,0.828018349,,,
,-0.469367026,0.648874703,-0.130978152,-0.349471152,0.441492559,0.828069215,,,
,-0.72398947,-0.108289023,0.065546372,-0.347106524,0.446110703,0.828801631,,,
,0.097345529,0.355176537,0.337128367,-0.345540163,0.443011927,0.831091845,,,
,-0.630711941,0.078896288,-0.446219531,-0.343964424,0.446089704,0.831839246,,,
,-0.770857418,-0.051165131,0.270894446,-0.343954842,0.447644241,0.828732824,,,
,-0.066348513,-0.267685882,-0.080901641,-0.350259531,0.443034557,0.828867482,,,
,-0.062165921,0.800250152,-0.124045363,-0.347106524,0.446110703,0.828801631,,,
,0.243908133,0.042914539,0.131207335,-0.34553262,0.444563405,0.828762793,,,
,0.751262261,-0.061994033,0.086172852,-0.348689195,0.44456371,0.831166667,,,
,0.44948539,0.752064402,0.036612003,-0.345540979,0.44455158,0.831872171,,,
,-0.060848118,1.004223128,-0.122326489,-0.350258206,0.444577268,0.82887054,,,
,-0.052884004,0.563274808,0.440203474,-0.35025209,0.446897146,0.827320285,,,
,0.644634815,1.345591382,-0.521506185,-0.345529969,0.447648828,0.828768705,,,
,-0.37929806,0.933233657,-0.796010265,-0.343955454,0.446872885,0.828731295,,,
,-0.074484513,0.679126875,-0.742438711,-0.343956167,0.446101529,0.828729867,,,
