Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.478935421,0.220817934,-0.807641308,-0.351256677,0.447566055,0.825652497,,,
,-0.513599368,-0.00515662,0.115909362,-0.352829154,0.448344954,0.824912538,,,
,-1.199257961,-0.597881459,-1.029318679,-0.353611111,0.447584811,0.822596942,,,
,-1.279987714,0.295015969,-0.149312801,-0.352035372,0.450662589,0.823344343,,,
,-0.868546722,0.957183293,-0.087662543,-0.348888991,0.446025382,0.823263609,,,
,-1.38403685,0.845972185,-0.455214968,-0.352045668,0.448336697,0.826449337,,,
,-1.167745282,0.563675879,0.316902956,-0.353614475,0.446039144,0.823371356,,,
,-0.970647801,0.300630955,0.060561639,-0.355187666,0.446046687,0.822629867,,,
,-0.568374133,0.746621303,-0.290489602,-0.353613863,0.446810499,0.823372783,,,
,-1.481210492,0.652025971,-0.149771168,-0.350464118,0.446029969,0.82329949,,,
,0.09665798,0.296734842,0.075057471,-0.348885729,0.449882059,0.82327105,,,
,-1.189002016,0.782259278,-0.864192242,-0.355188379,0.447586442,0.823410194,,,
,-0.471143195,0.638446871,-0.495322014,-0.356762895,0.448362385,0.823447706,,,
,-0.26132605,0.546601737,-0.133556462,-0.353614475,0.446039144,0.823371356,,,
,-0.473435026,0.533022637,-0.599485741,-0.3536158,0.444496432,0.823368298,,,
,-0.571869175,0.184263227,-0.346696762,-0.350471662,0.444478389,0.825628644,,,
,-0.255997543,1.362952003,-0.075859612,-0.352044241,0.4475684,0.82567054,,,
,-0.062796174,0.336039747,-0.338159691,-0.35519103,0.444501019,0.823404281,,,
,-0.050248399,0.356551636,0.330825831,-0.355189093,0.446815087,0.823408767,,,
,0.152464069,1.214441343,0.083537247,-0.358333333,0.449144139,0.821930377,,,
,-0.877542159,0.7412355,-0.500364042,-0.352824261,0.449122222,0.823359327,,,
,0.094136966,-0.41419119,0.121237869,-0.355184302,0.447592355,0.821855556,,,
,-0.573072387,0.233938668,-0.397403527,-0.352038022,0.447577268,0.82333843,,,
,-0.982794506,0.281837939,-0.556513906,-0.355182263,0.44990632,0.821860041,,,
,-1.08266105,0.03231482,-0.405596823,-0.356759429,0.447596942,0.821891437,,,
,-1.074353162,0.348530227,-0.043430201,-0.352033843,0.44758318,0.82178369,,,
,-0.866140299,-0.45275125,0.416253838,-0.355188379,0.447586442,0.823410194,,,
,-0.15544345,0.603324558,0.073968851,-0.352042202,0.447571356,0.82489317,,,
,-1.48842976,0.539325173,-0.510390804,-0.353617329,0.447575943,0.824929052,,,
,-0.471945336,-0.070301921,-0.346811353,-0.353613252,0.447581855,0.823374312,,,
,-0.568889795,1.35172203,-0.491311309,-0.355980122,0.447582773,0.824982977,,,
,-1.285316222,-0.016443889,-0.357239185,-0.356760245,0.449136595,0.822671764,,,
,-0.463866631,0.548836272,-0.084797754,-0.353613252,0.447581855,0.823374312,,,
,-1.17496455,-0.66044845,0.255825656,-0.3536158,0.444496432,0.823368298,,,
,-0.974085548,0.14295297,-0.094996402,-0.355193884,0.446037819,0.824961978,,,
,-0.867629989,-0.203285426,0.26350329,-0.350467686,0.446795413,0.824855759,,,
,-0.110867333,0.08783443,-0.135103448,-0.355979918,0.442960652,0.823419266,,,
,-1.119731419,0.407774063,0.213770553,-0.355975943,0.447588685,0.823428236,,,
,-0.365890848,0.542419145,-0.289171799,-0.355977268,0.446046075,0.823425178,,,
,-0.512510748,0.551930244,0.017131438,-0.352043527,0.446028644,0.824890112,,,
,-0.5633894,0.552216723,0.016673072,-0.353617329,0.447575943,0.824929052,,,
