Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.986576027,0.083651838,-0.346696762,-0.345475331,0.446134557,0.828604485,,,
,-0.567858471,0.051909976,0.327388084,-0.343893374,0.449221203,0.827019878,,,
,-0.861155566,-0.028418707,0.991216986,-0.343097554,0.449230683,0.823892457,,,
,-0.264305431,-0.152979731,0.329909098,-0.340737615,0.45076055,0.82539633,,,
,-0.381647187,-0.026356059,-0.544710976,-0.343888583,0.449998471,0.825466667,,,
,-0.465470913,0.557831709,0.229870667,-0.343893374,0.449221203,0.827019878,,,
,0.450975081,0.556800385,0.293984645,-0.347045056,0.447687666,0.827088685,,,
,0.187128016,0.290375011,-0.122956743,-0.346249949,0.449236901,0.824741692,,,
,-0.063712907,1.004108536,-0.120836799,-0.343886035,0.453083792,0.825472579,,,
,0.764382994,1.378651047,0.561727822,-0.343096228,0.450773394,0.823895413,,,
,-0.578114415,0.64280135,-0.336498113,-0.342307339,0.452313761,0.82388053,,,
,-0.327502676,0.5851045,-0.539210581,-0.347036799,0.44769949,0.823979307,,,
,-0.166616127,0.800765814,-0.123758884,-0.343883282,0.453858104,0.824696738,,,
,-0.519099762,0.604871544,0.075802316,-0.350188685,0.450788175,0.825611825,,,
,-0.589573571,-0.082849697,-0.753496796,-0.343882467,0.452318349,0.823916412,,,
,-0.973569885,1.065644203,0.123873475,-0.342312029,0.449225484,0.824651886,,,
,-0.472518294,0.598225234,-0.129316574,-0.347035678,0.453864322,0.825545973,,,
,-0.064113977,0.346868649,0.028304115,-0.345459633,0.45000897,0.823947808,,,
,-0.565853118,0.661823549,0.281035799,-0.345465953,0.452311111,0.827061774,,,
,0.083594542,1.096240149,-0.42668167,-0.345459633,0.45000897,0.823947808,,,
,0.240183908,0.395226287,-0.018449241,-0.345459735,0.45231998,0.824729664,,,
,-0.268488023,0.547804948,-0.075802316,-0.343098369,0.453081448,0.825454638,,,
,-0.774868122,1.159437394,-0.129259279,-0.345457085,0.453094292,0.823953823,,,
,-0.978440027,0.149255506,0.117227165,-0.347034149,0.450784913,0.823985219,,,
,-0.871526102,0.611918925,0.276566728,-0.34546055,0.453859735,0.82550999,,,
,-0.555138808,-0.027272791,1.047538737,-0.348610907,0.453868909,0.825581855,,,
,-0.580406246,0.133384575,-0.340394226,-0.343888685,0.45230948,0.826248522,,,
,-0.769023953,1.370916116,0.129488462,-0.343881244,0.45386106,0.823919368,,,
,0.337472141,-0.117800123,-0.12421725,-0.343887156,0.449230071,0.824687768,,,
,-0.467991927,-0.253763007,0.326585943,-0.345463812,0.450003058,0.825502548,,,
,-0.056035272,0.157105027,0.489707027,-0.345467278,0.4507684,0.827058818,,,
,0.280405545,0.580062472,-0.633347547,-0.347036391,0.453092966,0.825544444,,,
,-1.17863148,0.205290778,0.269060981,-0.34467421,0.452314679,0.825489093,,,
,-0.674829691,-0.055462315,0.119805475,-0.345453517,0.452328848,0.822397655,,,
,-0.572556725,-0.156016408,0.172059226,-0.3470316,0.453870234,0.823991233,,,
,-0.973569885,0.359015354,0.324408704,-0.343884608,0.452315392,0.824693782,,,
,-0.069041414,0.994482845,-0.429775642,-0.343893374,0.449221203,0.827019878,,,
,-0.323262788,-0.822309028,0.067265245,-0.347038328,0.450778899,0.825539959,,,
,0.354660875,-0.242246556,0.800651223,-0.345469215,0.448454434,0.827054332,,,
,0.35133772,0.561613231,0.447021672,-0.342310194,0.453850561,0.825438226,,,
,-0.578229007,0.591922698,-0.336727296,-0.343885321,0.453855148,0.825474108,,,
,-0.464210406,-0.14553128,0.533481003,-0.343879918,0.45540367,0.823922426,,,
,-0.668928226,-0.248491796,0.478247872,-0.343095719,0.453855759,0.824678797,,,
,-0.530444327,0.385027638,-0.440375361,-0.34545841,0.453862691,0.824732722,,,
,-0.266425375,-0.408805387,0.276795911,-0.345463099,0.450774312,0.825504077,,,
,-0.877141089,0.148911731,0.118602264,-0.345453517,0.452328848,0.822397655,,,
,-0.464382293,-0.449428095,0.58252619,-0.347034964,0.452324567,0.824765647,,,
,-0.575364218,-0.161115732,0.017475213,-0.343885321,0.453855148,0.825474108,,,
,-0.159626042,-0.804375449,0.686804509,-0.340735168,0.458467992,0.826965953,,,
,-1.274773798,0.265222163,0.525746073,-0.353337615,0.45002895,0.824904791,,,
,-0.669272,0.356723523,0.277311573,-0.34703629,0.450781855,0.824762589,,,
,-1.190835481,0.336956479,-0.399007809,-0.337585321,0.453065443,0.82532895,,,
,-0.680559269,-0.621143546,-0.03896113,-0.340736493,0.456925382,0.826962997,,,
,-0.265795121,0.550784328,0.026814425,-0.343897554,0.449215291,0.828574618,,,
,-0.668813634,0.760544177,0.177330438,-0.343107339,0.452298267,0.828562589,,,
,0.344118452,0.246543739,0.136192068,-0.343891641,0.456157288,0.828588073,,,
,-0.986060365,1.197825567,-0.543049398,-0.340736697,0.461547401,0.828526606,,,
,-1.392000963,1.554033428,-0.597709572,-0.339157187,0.456926707,0.825372375,,,
,-0.577197683,1.149697112,-0.434703079,-0.350184709,0.455416106,0.825620795,,,
,-1.395209527,1.144082125,-0.703191102,-0.349405505,0.455402039,0.828712232,,,
,-2.080638937,2.249432304,0.375860314,-0.353345362,0.45309949,0.828797554,,,
,-1.185277791,2.164462663,-0.590490304,-0.337584608,0.453836697,0.825330479,,,
,-0.964918223,2.191162496,0.287223743,-0.343886646,0.452312436,0.825471152,,,
,-1.362321749,3.117348772,0.54614337,-0.343881244,0.45386106,0.823919368,,,
,-1.497597085,2.206059399,-0.953860137,-0.342295719,0.456182263,0.820778491,,,
,-1.929664558,2.449337278,0.275821883,-0.347029867,0.446168705,0.820866871,,,
,-1.374067384,3.19951092,-0.121696236,-0.351756167,0.447722222,0.821754944,,,
,-1.781039306,2.291544702,0.122498377,-0.348600815,0.446179205,0.819348114,,,
,-2.34614758,1.777544264,-0.095053698,-0.350186952,0.443086646,0.822487462,,,
,-1.365644905,1.191752214,0.839612353,-0.35176208,0.443091233,0.822523344,,,
,-2.288909096,1.686787749,0.265222163,-0.353337309,0.443095821,0.822559327,,,
,-4.353562511,2.755067558,-1.658025268,-0.347029562,0.441546585,0.81930316,,,
,-6.44909835,3.248727994,-2.402526627,-0.347036799,0.44769949,0.823979307,,,
,-8.259014729,4.420483981,-4.269853377,-0.343856575,0.44388104,0.811462283,,,
,-7.563443966,3.781234969,-4.937120025,-0.293479409,0.449086137,0.822760958,,,
,-6.956223295,4.481561282,-5.384485471,-0.331290622,0.433778491,0.82126106,,,
,-3.484786606,2.112552686,-4.275468363,-0.374661876,0.387603976,0.827600714,,,
,-2.129053871,1.710164427,-2.355257608,-0.393558919,0.398451784,0.829607441,,,
,-0.554795033,-1.073493725,-1.63464859,-0.397474924,0.400035576,0.821926606,,,
,0.502483986,-1.753250853,-1.935795207,-0.351819164,0.42220897,0.837252803,,,
,0.379928314,-0.921774501,-3.011523467,-0.318682059,0.444537513,0.821771967,,,
,0.784952179,-1.172328945,-2.952222335,-0.353305301,0.468564628,0.818721814,,,
,-0.223568132,-1.157145563,-2.504799593,-0.331259021,0.468491437,0.820550968,,,
,-0.712071948,-2.23264464,-1.130331138,-0.339122834,0.475465341,0.818412029,,,
,-2.240780641,-2.385968146,-1.408559444,-0.370638736,0.458590724,0.818320183,,,
,-2.196605595,-4.289333942,1.301874702,-0.376189806,0.443144648,0.827744241,,,
,-2.929819685,-6.343960595,0.709149863,-0.358089195,0.446153517,0.833556065,,,
,-3.311409577,-5.493404748,1.791066068,-0.370688481,0.443882161,0.8322842,,,
,-2.187151791,-5.43948942,2.063278316,-0.35968104,0.446134353,0.839810805,,,
,-1.154051591,-4.65969386,2.751343332,-0.343935066,0.453784098,0.844130683,,,
,-0.641770026,-2.434497672,2.312171182,-0.343949235,0.446830275,0.847226707,,,
,0.075573133,-0.002463719,1.980657802,-0.34393945,0.443762691,0.842556575,,,
,1.611672982,0.364687637,2.467500041,-0.353378287,0.433792457,0.834979103,,,
,3.967388957,0.435562516,3.37449223,-0.356520795,0.428420082,0.830376249,,,
,6.865925146,0.307048082,6.138727113,-0.362822018,0.423044954,0.828954842,,,
,9.12309238,-0.475039308,7.449941027,-0.367543629,0.427686748,0.82907156,,,
,10.66262998,-0.305157322,8.243086503,-0.347064118,0.439956575,0.83173792,,,
,11.99378282,-0.845800297,9.029299189,-0.340728848,0.456165851,0.82385209,,,
,11.47193286,-1.271507939,8.450898295,-0.313951886,0.449923038,0.82167472,,,
,8.999218905,0.705998595,6.222321655,-0.315526504,0.467647604,0.827186544,,,
,7.516174948,0.864593313,2.961905322,-0.305301733,0.453730785,0.827703466,,,
,5.192659201,2.739253923,0.68353865,-0.309200408,0.470747095,0.818497859,,,
,4.008699214,4.278505039,-0.762205755,-0.326619776,0.452227625,0.826791947,,,
,3.61559287,6.019265413,-0.49795762,-0.321098675,0.44451896,0.821209786,,,
,4.815366493,6.029177582,-1.664213212,-0.319560958,0.446772171,0.835948114,,,
,5.63945169,8.013788793,-1.586348247,-0.308534455,0.456755556,0.838825586,,,
,4.767753701,9.073875306,-2.202048694,-0.367550255,0.466248726,0.823088583,,,
,3.079991924,8.815356749,-2.53510906,-0.361997655,0.478615494,0.812103772,,,
,4.18849337,8.037910316,-2.885300865,-0.375387768,0.472489704,0.810842406,,,
,3.060454063,7.471312353,-3.163299987,-0.351748726,0.480911519,0.808765341,,,
,1.426149248,6.555897683,-3.346130819,-0.36435158,0.481716616,0.8098316,,,
,0.617934982,5.961797746,-2.899338331,-0.365913965,0.47480581,0.802857798,,,
,-0.609168728,4.38845564,-2.876706498,-0.370643527,0.472502548,0.80373843,,,
,-0.497613845,3.441585588,-2.214195399,-0.384842202,0.456334047,0.807139755,,,
,-1.004337719,2.235509429,-1.766658066,-0.389557798,0.465606728,0.806488073,,,
,-1.913277965,0.231417653,-0.816865929,-0.389529867,0.474120999,0.798730989,,,
,-2.635835041,-1.050690005,-1.096068262,-0.364355861,0.469384098,0.807475535,,,
,-2.745155388,-2.325463803,-1.158577958,-0.36435739,0.472463507,0.80903629,,,
,-2.726190485,-2.696683159,0.020970255,-0.358030275,0.469401223,0.798003568,,,
,-1.829626127,-2.738108007,-1.150098182,-0.353388583,0.475430887,0.831334251,,,
