SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, -0.4816, -0.5721, -0.6590, -1.4265, 0.5976, 0.5293, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8818, 0.3693, -0.1798, 0.2318, -0.0067, 0.0041, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4818, -0.5733, -0.6586, -1.3013, 0.5814, 0.5337, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8818, 0.3692, -0.1798, 0.2318, -0.0065, 0.0054, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0001, 0, 0.3196, -0.6110, -0.7275, -0.3302, 0.5369, -0.6532, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3314, 0.0454, -0.3680, -0.8675, 0.0031, 0.0025, 0.0025, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0000, 0, -0.2294, -0.9672, -0.0402, 1.2406, -6.9492, 0.6867, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6987, -0.6931, -0.0071, -0.1773, -0.0064, -0.0038, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4829, -0.5725, -0.6584, -1.2814, 0.4119, 0.4993, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8819, 0.3691, -0.1798, 0.2318, -0.0054, 0.0048, -0.0044, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2330, -0.9670, -0.0419, 1.0087, -7.5205, 0.6886, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6986, -0.6933, -0.0066, -0.1768, -0.0029, -0.0040, 0.0031, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2367, -0.9675, -0.0441, 0.9383, -8.1079, 0.5173, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6985, -0.6935, -0.0061, -0.1764, 0.0007, -0.0035, 0.0058, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0101, 1, 0.3239, -0.6099, -0.7244, -0.3286, 0.3487, -0.6522, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3315, 0.0455, -0.3680, -0.8675, -0.0011, 0.0015, -0.0006, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4856, -0.5724, -0.6605, -1.0841, 0.4697, 0.2447, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8819, 0.3690, -0.1798, 0.2318, -0.0027, 0.0049, -0.0024, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0201, 2, 0.3184, -0.6128, -0.7258, -0.5037, 0.4173, -0.7567, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3315, 0.0455, -0.3680, -0.8675, 0.0045, 0.0045, 0.0008, 0.0000, 0.0000, 0.0000, 0.0000
