SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, -0.4931, -0.5606, -0.6592, 0.1702, 0.7859, -0.9966, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8785, -0.3694, 0.1775, -0.2456, -0.0003, -0.0012, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4900, -0.5631, -0.6595, -0.0463, 0.9002, -0.8297, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8785, -0.3694, 0.1774, -0.2456, -0.0031, 0.0012, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, -0.0000, 0, 0.3361, -0.6027, -0.7274, -0.7857, 0.2188, -0.4977, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3408, -0.0457, 0.3668, 0.8644, -0.0073, -0.0005, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3355, -0.6019, -0.7270, -0.7504, 0.1501, -0.4626, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3408, -0.0458, 0.3667, 0.8644, -0.0064, -0.0010, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4920, -0.5587, -0.6556, -0.2629, 1.0318, -0.6802, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8785, -0.3694, 0.1773, -0.2456, -0.0010, -0.0032, -0.0087, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4905, -0.5593, -0.6602, -0.2641, 1.0807, -0.5755, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8786, -0.3693, 0.1772, -0.2456, -0.0023, -0.0026, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0000, 0, -0.2181, -0.9682, -0.0946, 0.8344, 5.8658, 0.3929, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7061, 0.6755, 0.0308, 0.2102, -0.0224, 0.0013, 0.0092, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3362, -0.6034, -0.7278, -0.7860, 0.1491, -0.4275, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3408, -0.0458, 0.3667, 0.8645, -0.0070, 0.0006, 0.0009, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.4945, -0.5541, -0.6567, -0.1726, 0.8769, -0.5725, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8786, -0.3693, 0.1771, -0.2456, 0.0019, -0.0079, -0.0078, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3316, -0.6008, -0.7278, -0.5754, 0.1506, -0.3933, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3409, -0.0458, 0.3666, 0.8645, -0.0024, -0.0018, 0.0009, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2173, -0.9704, -0.0949, 0.1976, 5.1958, 0.3395, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7062, 0.6753, 0.0313, 0.2104, -0.0231, 0.0035, 0.0093, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.5003, -0.5554, -0.6571, -0.0293, 1.0746, -1.0207, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8786, -0.3693, 0.1770, -0.2455, 0.0079, -0.0067, -0.0075, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2116, -0.9696, -0.0985, 0.1730, 4.2541, 0.4855, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7061, 0.6753, 0.0315, 0.2107, -0.0284, 0.0026, 0.0125, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2090, -0.9679, -0.0991, -0.0614, 3.4550, 0.5762, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7061, 0.6752, 0.0317, 0.2109, -0.0311, 0.0010, 0.0130, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2075, -0.9671, -0.0979, -0.0823, 3.2094, 0.7000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7061, 0.6751, 0.0318, 0.2112, -0.0326, 0.0002, 0.0116, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3455, -0.6020, -0.7247, -0.3481, 0.1164, -0.2717, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3409, -0.0459, 0.3666, 0.8645, -0.0163, -0.0006, -0.0022, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.4970, -0.5581, -0.6593, 0.1151, 1.1520, -1.4168, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8787, -0.3693, 0.1768, -0.2454, 0.0048, -0.0040, -0.0053, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3350, -0.5999, -0.7291, -0.3493, 0.1493, -0.2020, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3414, -0.0471, 0.3669, 0.8641, -0.0050, -0.0025, 0.0023, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.4893, -0.5622, -0.6625, 0.3103, 1.1670, -1.2529, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8787, -0.3693, 0.1767, -0.2454, -0.0026, -0.0001, -0.0022, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2075, -0.9648, -0.0980, 0.4809, 2.9252, 0.6719, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7061, 0.6751, 0.0320, 0.2114, -0.0327, -0.0021, 0.0116, 0.0000, 0.0000, 0.0000, 0.0000
