SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.3347, -0.5840, -0.7414, 0.1449, 0.4023, -0.3753, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6988, 0.1150, 0.3431, 0.6171, 0.0028, -0.0001, 0.0032, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0000, 0, -0.2309, -0.9633, -0.1021, 0.4214, 3.0549, 0.7780, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1181, -0.2566, -0.6190, -0.7328, 0.0011, -0.0046, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3327, -0.5850, -0.7407, 0.1096, 0.4365, -0.3928, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6988, 0.1149, 0.3431, 0.6171, 0.0049, 0.0009, 0.0025, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0000, 0, -0.5126, -0.5315, -0.6741, -0.4317, 2.7905, -0.7608, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8541, 0.3761, -0.1413, 0.3302, 0.0227, -0.0177, -0.0029, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3315, -0.5831, -0.7429, 0.1600, 0.6068, -0.3240, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6988, 0.1149, 0.3432, 0.6171, 0.0062, -0.0010, 0.0048, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2285, -0.9647, -0.1035, 0.6506, 3.0870, 0.7798, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1179, -0.2564, -0.6191, -0.7329, -0.0014, -0.0031, 0.0016, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.5164, -0.5280, -0.6697, -0.2140, 2.4856, -0.7709, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8540, 0.3760, -0.1414, 0.3305, 0.0268, -0.0211, -0.0076, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.5138, -0.5275, -0.6722, 0.0382, 2.3361, -0.8668, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8541, 0.3759, -0.1412, 0.3306, 0.0240, -0.0214, -0.0053, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2258, -0.9645, -0.1060, 0.5261, 3.2082, 0.8827, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.1176, -0.2563, -0.6191, -0.7329, -0.0041, -0.0033, 0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3325, -0.5848, -0.7393, 0.1433, 0.5559, -0.3586, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6988, 0.1149, 0.3432, 0.6170, 0.0054, 0.0008, 0.0012, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.5173, -0.5283, -0.6678, -0.0156, 2.3347, -0.8164, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8542, 0.3759, -0.1410, 0.3306, 0.0279, -0.0206, -0.0098, 0.0000, 0.0000, 0.0000, 0.0000
