SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.3330, -0.5921, -0.7363, 0.2616, 0.1538, 0.0633, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3089, 0.1933, 0.8194, 0.0022, 0.0019, 0.0019, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3340, -0.5924, -0.7363, 0.2261, 0.1357, 0.0984, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3089, 0.1933, 0.8194, 0.0011, 0.0022, 0.0019, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3351, -0.5924, -0.7346, 0.1038, 0.2048, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3089, 0.1933, 0.8194, -0.0000, 0.0021, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3343, -0.5924, -0.7371, 0.0345, 0.0844, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3089, 0.1933, 0.8194, 0.0008, 0.0022, 0.0027, 0.0000, 0.0000, 0.0000, 0.0000
2, -0.0000, 0, -0.4689, -0.5532, -0.6822, -0.1625, 0.1904, -0.0453, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3730, -0.1320, -0.7953, -0.0033, 0.0007, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3344, -0.5909, -0.7335, 0.0873, 0.1369, -0.0408, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3089, 0.1933, 0.8194, 0.0008, 0.0007, -0.0009, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4674, -0.5521, -0.6829, -0.3261, 0.3738, 0.0887, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3730, -0.1320, -0.7954, -0.0047, -0.0004, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3369, -0.5922, -0.7367, 0.0849, 0.2201, 0.0810, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3090, 0.1934, 0.8193, -0.0017, 0.0019, 0.0024, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4679, -0.5538, -0.6844, -0.3080, 0.3573, 0.0719, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3729, -0.1320, -0.7954, -0.0042, 0.0013, -0.0026, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4716, -0.5530, -0.6844, -0.1660, 0.4437, 0.0596, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3729, -0.1320, -0.7954, -0.0004, 0.0005, -0.0026, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.4750, -0.5508, -0.6824, -0.3087, 0.4609, 0.0022, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4591, -0.3730, -0.1319, -0.7954, 0.0029, -0.0016, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3359, -0.5905, -0.7379, -0.0432, 0.1690, 0.0271, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3090, 0.1934, 0.8193, -0.0007, 0.0002, 0.0037, 0.0000, 0.0000, 0.0000, 0.0000
3, -0.0000, 0, -0.2213, -0.9619, -0.1022, 0.6344, 0.7740, -0.0707, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7212, -0.6120, 0.2838, 0.1573, 0.0045, -0.0102, 0.0124, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.3402, -0.5937, -0.7383, 0.2713, 0.1608, 0.0370, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3090, 0.1934, 0.8193, -0.0049, 0.0033, 0.0041, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.4709, -0.5498, -0.6851, -0.2713, 0.3963, -0.1536, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3729, -0.1319, -0.7954, -0.0013, -0.0025, -0.0020, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.4718, -0.5490, -0.6861, -0.1832, 0.5524, -0.2549, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3729, -0.1319, -0.7954, -0.0003, -0.0033, -0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.3347, -0.5927, -0.7379, 0.3046, 0.2624, 0.1062, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3091, 0.1934, 0.8193, 0.0006, 0.0022, 0.0037, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.3386, -0.5934, -0.7383, 0.2878, 0.1422, 0.1243, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3091, 0.1934, 0.8193, -0.0033, 0.0030, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.4723, -0.5493, -0.6859, -0.0536, 0.4188, -0.3939, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3728, -0.1319, -0.7954, 0.0003, -0.0030, -0.0013, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 8, -0.4698, -0.5525, -0.6814, -0.0513, 0.3649, -0.3105, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4592, -0.3728, -0.1320, -0.7954, -0.0021, 0.0002, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0900, 9, -0.4690, -0.5521, -0.6846, 0.0376, 0.4173, -0.3421, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4593, -0.3728, -0.1320, -0.7954, -0.0029, -0.0003, -0.0026, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1000, 10, 0.3359, -0.5903, -0.7363, 0.3215, 0.1057, 0.2641, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3091, 0.1934, 0.8193, -0.0006, -0.0001, 0.0022, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1100, 11, 0.3344, -0.5930, -0.7368, 0.2700, -0.1181, 0.3178, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.3091, 0.1934, 0.8193, 0.0009, 0.0025, 0.0027, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1200, 12, 0.3329, -0.5927, -0.7379, 0.2353, -0.1698, 0.3182, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4426, -0.3091, 0.1934, 0.8193, 0.0023, 0.0022, 0.0038, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1000, 10, -0.4690, -0.5500, -0.6838, -0.0347, 0.4136, -0.1877, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4593, -0.3727, -0.1321, -0.7954, -0.0026, -0.0025, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1300, 13, 0.3357, -0.5903, -0.7373, 0.1658, -0.2211, 0.2838, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4426, -0.3091, 0.1935, 0.8193, -0.0005, -0.0003, 0.0032, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1100, 11, -0.4745, -0.5517, -0.6848, -0.2307, 0.3961, -0.2295, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4593, -0.3727, -0.1321, -0.7954, 0.0029, -0.0008, -0.0025, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2170, -0.9633, -0.1017, 0.7576, 1.0837, 0.0331, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7212, -0.6121, 0.2837, 0.1572, 0.0003, -0.0088, 0.0120, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1200, 12, -0.4712, -0.5508, -0.6876, -0.1400, 0.3307, -0.3311, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4593, -0.3727, -0.1321, -0.7954, -0.0003, -0.0016, 0.0003, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2130, -0.9634, -0.1010, 0.6840, 1.4099, 0.3097, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7212, -0.6121, 0.2837, 0.1571, -0.0038, -0.0087, 0.0114, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1400, 14, 0.3349, -0.5922, -0.7373, 0.2348, -0.1185, 0.3179, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4426, -0.3091, 0.1935, 0.8192, 0.0002, 0.0016, 0.0032, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1300, 13, -0.4734, -0.5492, -0.6870, -0.1582, 0.3472, -0.3143, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4594, -0.3726, -0.1321, -0.7954, 0.0020, -0.0033, -0.0004, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1500, 15, 0.3372, -0.5902, -0.7392, 0.2172, -0.0667, 0.2828, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4426, -0.3090, 0.1934, 0.8193, -0.0021, -0.0004, 0.0051, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2148, -0.9686, -0.1017, 0.8578, 1.3186, 0.4341, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7212, -0.6122, 0.2836, 0.1570, -0.0020, -0.0035, 0.0121, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1400, 14, -0.4722, -0.5485, -0.6857, 0.0763, 0.2335, -0.4980, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4594, -0.3726, -0.1321, -0.7954, 0.0008, -0.0040, -0.0017, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2169, -0.9704, -0.1017, 0.3097, 1.1845, 0.5000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7213, -0.6121, 0.2835, 0.1568, 0.0000, -0.0016, 0.0121, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1600, 16, 0.3384, -0.5947, -0.7377, 0.1417, -0.0730, 0.2247, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4426, -0.3090, 0.1935, 0.8192, -0.0034, 0.0042, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1500, 15, -0.4665, -0.5500, -0.6882, 0.2720, 0.2854, -0.4736, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4594, -0.3726, -0.1321, -0.7954, -0.0049, -0.0025, 0.0008, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1700, 17, 0.3359, -0.5922, -0.7351, 0.1528, -0.0456, 0.2360, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4426, -0.3090, 0.1935, 0.8192, -0.0008, 0.0016, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
