SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0001, 0, -0.4942, -0.5539, -0.6601, 0.2577, 0.1678, -0.4808, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3105, -0.1536, -0.3781, -0.8585, -0.0043, 0.0001, -0.0068, 0.0000, 0.0000, 0.0000, 0.0000
3, -0.0000, 0, -0.2375, -0.9644, -0.0331, 0.7350, 0.9405, 0.2931, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6488, 0.2475, 0.0904, 0.0014, -0.0067, -0.0024, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2388, -0.9652, -0.0322, 0.6806, 1.0606, 0.4141, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6489, 0.2475, 0.0903, 0.0027, -0.0058, -0.0032, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0099, 1, -0.4968, -0.5545, -0.6618, 0.1314, 0.3392, -0.5722, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3105, -0.1535, -0.3781, -0.8585, -0.0017, 0.0007, -0.0052, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0199, 2, -0.4967, -0.5528, -0.6630, 0.0581, 0.4562, -0.4875, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3105, -0.1535, -0.3781, -0.8585, -0.0017, -0.0010, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2354, -0.9656, -0.0303, 0.7011, 1.2885, 0.3079, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6489, 0.2475, 0.0902, -0.0009, -0.0055, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2382, -0.9667, -0.0317, 0.6814, 1.0268, 0.3619, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6490, 0.2474, 0.0901, 0.0019, -0.0043, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0299, 3, -0.4985, -0.5516, -0.6621, 0.0202, 0.6252, -0.4363, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3105, -0.1534, -0.3781, -0.8586, 0.0003, -0.0023, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0000, 0, 0.3351, -0.5924, -0.7369, 0.2074, 0.0173, 0.0996, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8948, -0.3540, -0.0848, 0.2585, -0.0004, 0.0026, 0.0020, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3370, -0.5906, -0.7380, 0.2059, 0.0325, 0.2043, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8948, -0.3540, -0.0848, 0.2585, -0.0023, 0.0008, 0.0031, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3376, -0.5936, -0.7384, 0.2610, -0.1022, 0.1175, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8948, -0.3541, -0.0847, 0.2584, -0.0029, 0.0038, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0399, 4, -0.4962, -0.5505, -0.6623, -0.0850, 0.4897, -0.5099, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3105, -0.1534, -0.3780, -0.8586, -0.0019, -0.0034, -0.0048, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2360, -0.9695, -0.0289, 0.4876, 0.7005, 0.2577, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6490, 0.2474, 0.0900, -0.0004, -0.0015, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3370, -0.5914, -0.7386, 0.2222, -0.0384, 0.3443, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8948, -0.3541, -0.0847, 0.2584, -0.0023, 0.0015, 0.0037, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0499, 5, -0.4984, -0.5509, -0.6632, 0.1822, 0.6487, -0.6922, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3104, -0.1533, -0.3781, -0.8586, 0.0004, -0.0031, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3357, -0.5935, -0.7391, 0.1871, 0.0826, 0.2565, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8948, -0.3541, -0.0847, 0.2584, -0.0011, 0.0036, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2354, -0.9724, -0.0324, 0.3643, 0.5808, 0.2225, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6490, 0.2474, 0.0900, -0.0009, 0.0013, -0.0028, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0599, 6, -0.4967, -0.5522, -0.6667, 0.2394, 0.3080, -0.6731, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3104, -0.1532, -0.3781, -0.8586, -0.0012, -0.0019, -0.0004, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3338, -0.5941, -0.7391, 0.2404, 0.1012, 0.2038, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8948, -0.3541, -0.0847, 0.2584, 0.0008, 0.0041, 0.0043, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3316, -0.5940, -0.7369, 0.1885, -0.0193, 0.2221, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8948, -0.3541, -0.0847, 0.2584, 0.0030, 0.0040, 0.0020, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, -0.2364, -0.9688, -0.0361, 0.5070, 0.5812, 0.1189, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6491, 0.2474, 0.0899, -0.0000, -0.0022, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0699, 7, -0.4952, -0.5535, -0.6625, 0.3665, 0.1214, -0.6689, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3103, -0.1532, -0.3781, -0.8586, -0.0026, -0.0007, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0700, 7, -0.2371, -0.9659, -0.0362, 0.6132, 0.6150, 0.1022, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7138, -0.6491, 0.2473, 0.0898, 0.0006, -0.0051, 0.0012, 0.0000, 0.0000, 0.0000, 0.0000
