SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, -0.0000, 0, -0.2306, -0.9540, -0.0353, -0.7062, -0.2050, -0.0577, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7204, -0.6794, 0.1339, -0.0391, -0.0155, -0.0144, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0000, 0, -0.4809, -0.5737, -0.6558, -0.6088, -0.5557, 0.7650, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8771, 0.3746, -0.1716, 0.2467, -0.0050, 0.0011, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2371, -0.9551, -0.0294, -0.8299, -0.3424, -0.0753, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7204, -0.6794, 0.1339, -0.0391, -0.0089, -0.0133, -0.0116, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0000, 0, 0.3225, -0.6114, -0.7249, -1.6434, -0.2193, -0.3954, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2965, 0.0593, -0.3671, -0.8796, -0.0005, 0.0006, 0.0016, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2392, -0.9611, -0.0327, -0.3425, -0.5624, 0.2274, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7203, -0.6795, 0.1339, -0.0390, -0.0069, -0.0073, -0.0083, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4814, -0.5729, -0.6597, -0.6453, -0.6473, 1.0601, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8771, 0.3746, -0.1717, 0.2467, -0.0046, 0.0005, -0.0007, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3240, -0.6128, -0.7262, -1.5890, -0.3204, -0.4475, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2966, 0.0593, -0.3670, -0.8797, -0.0019, 0.0023, 0.0026, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4834, -0.5745, -0.6591, -0.4835, -0.8196, 1.2052, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8771, 0.3745, -0.1718, 0.2468, -0.0028, 0.0023, -0.0014, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3221, -0.6123, -0.7277, -1.5000, -0.3353, -0.5175, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2966, 0.0594, -0.3669, -0.8797, -0.0000, 0.0019, 0.0040, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2454, -0.9664, -0.0341, -0.1563, -0.5904, 0.6833, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7203, -0.6795, 0.1340, -0.0390, -0.0006, -0.0020, -0.0065, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3241, -0.6139, -0.7268, -1.1315, -0.2634, -0.5017, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2966, 0.0594, -0.3668, -0.8797, -0.0020, 0.0037, 0.0030, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2539, -0.9665, -0.0369, -0.1050, -0.2123, 0.8908, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7203, -0.6795, 0.1341, -0.0391, 0.0077, -0.0019, -0.0037, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4872, -0.5692, -0.6584, -0.4359, -0.7681, 1.1265, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8771, 0.3745, -0.1719, 0.2468, 0.0008, -0.0029, -0.0020, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3225, -0.6117, -0.7268, -1.2052, -0.1477, -0.3274, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2967, 0.0594, -0.3667, -0.8798, -0.0003, 0.0017, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.4850, -0.5720, -0.6609, -0.1745, -0.7164, 1.1078, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8771, 0.3745, -0.1720, 0.2469, -0.0016, 0.0000, 0.0005, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2570, -0.9631, -0.0377, 0.4900, 0.4681, 1.3454, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7202, -0.6795, 0.1341, -0.0392, 0.0106, -0.0052, -0.0029, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3249, -0.6111, -0.7282, -0.8532, -0.0918, -0.3813, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2967, 0.0595, -0.3666, -0.8798, -0.0027, 0.0012, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, -0.2611, -0.9586, -0.0374, 1.2658, 1.3765, 1.5906, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.7202, -0.6796, 0.1341, -0.0394, 0.0145, -0.0096, -0.0031, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.4847, -0.5723, -0.6594, -0.0112, -0.9187, 1.0609, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8770, 0.3745, -0.1721, 0.2469, -0.0021, 0.0005, -0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3250, -0.6122, -0.7272, -0.8361, -0.0404, -0.3816, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2967, 0.0595, -0.3666, -0.8798, -0.0028, 0.0024, 0.0030, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.4845, -0.5724, -0.6558, -0.2422, -1.0227, 1.0701, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8770, 0.3745, -0.1722, 0.2470, -0.0024, 0.0006, -0.0044, 0.0000, 0.0000, 0.0000, 0.0000
