SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.3331, -0.6158, -0.7177, -0.4434, 0.0103, -0.1049, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0623, -0.3705, -0.8771, -0.0020, 0.0031, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0000, 0, -0.2462, -0.9555, -0.0930, 3.8101, 1.7293, 1.6530, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4424, -0.2681, 0.6289, 0.5805, 0.0012, -0.0118, 0.0275, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3290, -0.6144, -0.7199, -0.5129, 0.0454, -0.1922, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0624, -0.3705, -0.8771, 0.0021, 0.0018, 0.0022, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2410, -0.9595, -0.0890, 4.1073, 1.2906, 1.6761, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4424, -0.2682, 0.6291, 0.5801, -0.0043, -0.0077, 0.0242, 0.0000, 0.0000, 0.0000, 0.0000
2, -0.0000, 0, -0.4934, -0.5713, -0.6482, -0.0377, 0.1022, -0.0388, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8881, 0.3680, -0.1931, 0.1965, 0.0058, -0.0064, -0.0064, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3338, -0.6127, -0.7173, -0.3901, 0.0115, -0.1401, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0624, -0.3704, -0.8771, -0.0027, 0.0002, -0.0005, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2407, -0.9574, -0.0900, 4.5808, 0.5732, 1.6153, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4424, -0.2683, 0.6293, 0.5798, -0.0049, -0.0098, 0.0258, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4875, -0.5747, -0.6505, -0.1265, 0.1564, -0.2163, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8880, 0.3682, -0.1932, 0.1964, -0.0001, -0.0032, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3313, -0.6149, -0.7194, -0.3901, 0.0634, -0.1752, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0624, -0.3704, -0.8771, -0.0001, 0.0025, 0.0016, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2381, -0.9578, -0.0882, 4.7167, -0.1262, 1.7261, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.2685, 0.6294, 0.5795, -0.0078, -0.0094, 0.0247, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2408, -0.9624, -0.0894, 5.0692, -0.4763, 1.6268, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4425, -0.2686, 0.6298, 0.5792, -0.0053, -0.0048, 0.0265, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4863, -0.5737, -0.6529, 0.0146, 0.2399, -0.0891, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8880, 0.3682, -0.1932, 0.1964, -0.0014, -0.0043, -0.0014, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3329, -0.6153, -0.7204, -0.3607, 0.1857, -0.2551, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0625, -0.3704, -0.8772, -0.0017, 0.0029, 0.0026, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2381, -0.9621, -0.0880, 5.2450, -0.8075, 1.5607, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4424, -0.2686, 0.6301, 0.5789, -0.0082, -0.0051, 0.0260, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4868, -0.5726, -0.6534, -0.1814, 0.2931, -0.2530, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8880, 0.3681, -0.1931, 0.1964, -0.0009, -0.0054, -0.0009, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3311, -0.6151, -0.7188, -0.3675, 0.0985, -0.1242, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0625, -0.3703, -0.8772, 0.0001, 0.0028, 0.0009, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, -0.2373, -0.9658, -0.0801, 5.3166, -0.8071, 1.4915, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4423, -0.2687, 0.6304, 0.5785, -0.0093, -0.0014, 0.0191, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.4867, -0.5694, -0.6527, -0.0572, 0.2558, -0.0568, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8880, 0.3681, -0.1931, 0.1964, -0.0009, -0.0086, -0.0016, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.4875, -0.5728, -0.6494, 0.1233, 0.1224, -0.1378, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8880, 0.3681, -0.1931, 0.1964, -0.0001, -0.0052, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3304, -0.6155, -0.7215, -0.1565, 0.1352, -0.1426, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0624, -0.3703, -0.8772, 0.0008, 0.0032, 0.0036, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0700, 7, -0.2391, -0.9655, -0.0764, 5.1610, -0.8364, 1.2982, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4422, -0.2688, 0.6308, 0.5782, -0.0078, -0.0016, 0.0163, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.4847, -0.5728, -0.6548, -0.0871, 0.0083, -0.1404, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8881, 0.3680, -0.1931, 0.1965, -0.0028, -0.0052, 0.0004, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.3315, -0.6145, -0.7180, -0.2983, 0.1321, -0.0548, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0624, -0.3703, -0.8772, -0.0003, 0.0022, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.3334, -0.6159, -0.7162, -0.2800, 0.1507, -0.1248, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0624, -0.3703, -0.8772, -0.0022, 0.0036, -0.0018, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0800, 8, -0.2423, -0.9675, -0.0710, 4.5087, -1.1232, 1.2246, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4422, -0.2689, 0.6310, 0.5780, -0.0048, 0.0003, 0.0116, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.4885, -0.5736, -0.6522, -0.1978, 0.3543, -0.0551, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8881, 0.3680, -0.1930, 0.1965, 0.0010, -0.0042, -0.0024, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.3340, -0.6151, -0.7223, -0.1554, 0.0155, -0.1420, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.2992, 0.0625, -0.3703, -0.8772, -0.0028, 0.0028, 0.0044, 0.0000, 0.0000, 0.0000, 0.0000
