SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.5400, 0.3698, -0.7621, -0.3905, 0.0251, -0.4097, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7819, -0.4670, -0.0326, 0.2934, 1.3121, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0000, 0, -0.5354, 0.4980, -0.7087, 0.3587, 0.2811, -0.2357, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4877, -0.1010, 0.3766, -0.7811, 0.0102, -0.0082, 0.0128, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.5394, 0.3677, -0.7649, -0.5826, 0.0770, -0.5490, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7820, -0.4669, -0.0320, 0.2955, 1.3150, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.5357, 0.4965, -0.7078, 0.3062, 0.1936, -0.2357, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4877, -0.1011, 0.3765, -0.7811, 0.0105, -0.0068, 0.0118, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.5349, 0.4960, -0.7089, 0.3237, 0.1761, -0.3057, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4878, -0.1011, 0.3765, -0.7811, 0.0097, -0.0063, 0.0128, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.5394, 0.3686, -0.7621, -0.6350, 0.0597, -0.5662, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7820, -0.4669, -0.0320, 0.2945, 1.3124, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.5346, 0.3755, -0.7599, -0.3900, -0.0088, -0.4270, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4046, 0.7820, -0.4668, -0.0273, 0.2876, 1.3103, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.5384, 0.3683, -0.7636, -0.2879, 0.1778, -0.2886, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7820, -0.4669, -0.0311, 0.2948, 1.3140, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.5338, 0.4967, -0.7086, 0.3937, 0.2636, -0.3057, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4878, -0.1011, 0.3765, -0.7811, 0.0086, -0.0072, 0.0125, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.5354, 0.4971, -0.7059, 0.5162, 0.3511, -0.3232, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4878, -0.1011, 0.3764, -0.7811, 0.0102, -0.0076, 0.0098, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.5387, 0.3701, -0.7639, -0.2720, 0.1237, -0.1312, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7820, -0.4668, -0.0314, 0.2930, 1.3143, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.5359, 0.4952, -0.7082, 0.6737, 0.3161, -0.3582, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4879, -0.1011, 0.3763, -0.7811, 0.0107, -0.0059, 0.0119, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.5380, 0.3720, -0.7612, -0.2804, 0.0942, -0.0754, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7820, -0.4668, -0.0307, 0.2911, 1.3116, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.5347, 0.4965, -0.7107, 0.5666, 0.2543, -0.1364, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4879, -0.1011, 0.3763, -0.7811, 0.0096, -0.0073, 0.0143, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.5393, 0.3702, -0.7595, 0.0068, 0.3401, 0.0479, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7820, -0.4668, -0.0319, 0.2929, 1.3099, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.5365, 0.4960, -0.7096, 0.5294, 0.3850, -0.2122, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4879, -0.1011, 0.3762, -0.7811, 0.0114, -0.0069, 0.0132, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.5405, 0.3684, -0.7610, -0.0819, 0.3208, 0.1182, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0829, 0.4045, 0.7820, -0.4668, -0.0331, 0.2946, 1.3114, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.5411, 0.3691, -0.7638, -0.1873, 0.2507, 0.1538, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0830, 0.4045, 0.7820, -0.4669, -0.0336, 0.2940, 1.3141, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 8, -0.5375, 0.4957, -0.7084, 0.4944, 0.2450, -0.0372, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4879, -0.1011, 0.3762, -0.7812, 0.0124, -0.0066, 0.0119, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1000, 10, 0.5424, 0.3664, -0.7648, -0.0455, 0.2018, 0.1012, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0830, 0.4045, 0.7820, -0.4669, -0.0348, 0.2967, 1.3149, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0900, 9, -0.5375, 0.4948, -0.7095, 0.5644, 0.5250, -0.1422, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4879, -0.1011, 0.3761, -0.7812, 0.0125, -0.0058, 0.0129, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1100, 11, 0.5406, 0.3685, -0.7624, -0.2000, 0.1189, -0.1249, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0830, 0.4045, 0.7820, -0.4669, -0.0330, 0.2946, 1.3126, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1000, 10, -0.5352, 0.4941, -0.7122, 0.5119, 0.4725, -0.0372, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4880, -0.1011, 0.3760, -0.7812, 0.0101, -0.0052, 0.0155, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1100, 11, -0.5355, 0.4948, -0.7093, 0.2669, 0.4900, -0.0372, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4880, -0.1011, 0.3760, -0.7812, 0.0105, -0.0061, 0.0125, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1200, 12, 0.5394, 0.3693, -0.7620, -0.2706, 0.1179, -0.1072, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0830, 0.4045, 0.7820, -0.4669, -0.0318, 0.2938, 1.3122, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1300, 13, 0.5403, 0.3683, -0.7625, -0.1823, 0.0501, -0.0897, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0830, 0.4045, 0.7820, -0.4669, -0.0327, 0.2948, 1.3128, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1200, 12, -0.5369, 0.4957, -0.7100, 0.4419, 0.4375, -0.0897, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4880, -0.1011, 0.3759, -0.7812, 0.0120, -0.0070, 0.0131, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1300, 13, -0.5353, 0.4948, -0.7090, 0.3719, 0.5425, -0.0372, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4880, -0.1011, 0.3759, -0.7812, 0.0105, -0.0062, 0.0121, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1400, 14, 0.5378, 0.3685, -0.7598, -0.1135, 0.0485, 0.0323, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0830, 0.4044, 0.7820, -0.4669, -0.0302, 0.2945, 1.3100, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1400, 14, -0.5358, 0.4976, -0.7114, 0.5119, 0.6125, 0.1028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4880, -0.1011, 0.3758, -0.7813, 0.0110, -0.0090, 0.0143, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1500, 15, 0.5427, 0.3684, -0.7606, -0.0961, -0.0901, 0.1378, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0830, 0.4044, 0.7820, -0.4669, -0.0351, 0.2947, 1.3108, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1500, 15, -0.5349, 0.4960, -0.7117, 0.4419, 0.5600, -0.0722, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4881, -0.1011, 0.3757, -0.7813, 0.0102, -0.0075, 0.0146, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1600, 16, 0.5378, 0.3647, -0.7653, -0.0735, -0.0614, 0.2360, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0831, 0.4044, 0.7820, -0.4669, -0.0302, 0.2984, 1.3154, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1600, 16, -0.5355, 0.4937, -0.7090, 0.3660, 0.4021, 0.0775, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4881, -0.1010, 0.3757, -0.7813, 0.0108, -0.0052, 0.0118, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1700, 17, 0.5348, 0.3582, -0.7731, -0.8323, 0.5530, 0.1818, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0831, 0.4044, 0.7820, -0.4669, -0.0272, 0.3048, 1.3233, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1700, 17, -0.5385, 0.4942, -0.7107, 0.2434, 0.2084, 0.2641, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4881, -0.1010, 0.3757, -0.7813, 0.0139, -0.0058, 0.0134, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1800, 18, 0.5473, 0.3810, -0.7593, -1.3252, 0.9976, -0.0807, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0832, 0.4045, 0.7820, -0.4668, -0.0396, 0.2819, 1.3096, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1800, 18, -0.5362, 0.4996, -0.7096, -0.0366, 0.1034, 0.3166, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4881, -0.1010, 0.3757, -0.7813, 0.0116, -0.0112, 0.0122, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1900, 19, -0.5326, 0.4966, -0.7119, 0.1384, 0.0684, 0.1591, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4881, -0.1010, 0.3756, -0.7813, 0.0081, -0.0082, 0.0145, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1900, 19, 0.5540, 0.3858, -0.7552, -0.8782, 0.5104, -0.3068, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0833, 0.4049, 0.7820, -0.4666, -0.0461, 0.2767, 1.3057, 0.0000, 0.0000, 0.0000, 0.0000
