SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.3065, 0.1918, -0.9354, -0.0705, 0.0105, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1794, 0.3369, -0.0013, 0.0006, 0.0027, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3046, 0.1928, -0.9343, -0.1930, 0.0447, -0.0667, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1794, 0.3369, 0.0006, -0.0004, 0.0017, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3062, 0.1934, -0.9356, 0.0334, -0.0427, 0.1600, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1795, 0.3369, -0.0009, -0.0010, 0.0030, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3094, 0.1928, -0.9361, -0.0010, 0.0618, 0.0373, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1795, 0.3369, -0.0040, -0.0004, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3067, 0.1916, -0.9352, 0.0541, -0.0728, -0.0495, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1795, 0.3369, -0.0013, 0.0008, 0.0026, 0.0000, 0.0000, 0.0000, 0.0000
2, -0.0000, 0, 0.3448, 0.0237, -0.9513, 0.0295, 0.0038, 0.0011, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8430, 0.1009, -0.1416, -0.5090, -0.0035, 0.0023, 0.0117, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3069, 0.1912, -0.9348, -0.0370, 0.0599, -0.0445, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1795, 0.3369, -0.0015, 0.0012, 0.0022, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3051, 0.1930, -0.9360, -0.1371, 0.0293, -0.0422, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1795, 0.3369, 0.0004, -0.0006, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.3033, 0.1917, -0.9337, -0.0158, -0.0066, 0.1147, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0387, -0.1793, 0.3369, 0.0020, 0.0007, 0.0011, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.3040, 0.1936, -0.9331, 0.0886, 0.0794, 0.1488, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9235, 0.0386, -0.1793, 0.3368, 0.0012, -0.0014, 0.0004, 0.0000, 0.0000, 0.0000, 0.0000
