Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.46088725,-0.156646661,0.165470211,-0.353674006,0.446776147,0.825088787,,,
,-0.9801589,0.23227709,-0.506895761,-0.356032008,0.447560347,0.823589399,,,
,-1.086614458,-0.128915504,-0.665605071,-0.353669827,0.446782059,0.823534047,,,
,-0.872156356,1.050059751,-0.396429498,-0.355245668,0.446015291,0.823568502,,,
,-0.149026323,0.358041326,0.379183469,-0.353676555,0.443690826,0.825082773,,,
,-0.060045977,0.741407387,-0.387835132,-0.352102243,0.447537003,0.826609072,,,
,-0.972653153,-0.008594367,-0.046237694,-0.352095311,0.446006116,0.823496636,,,
,-1.267898305,0.563847766,0.314152759,-0.35367054,0.446010703,0.823532518,,,
,-0.053571554,0.348415635,0.072078091,-0.35367054,0.446010703,0.823532518,,,
,-0.970418618,0.146046942,0.006531719,-0.356038736,0.444469011,0.825138124,,,
,-0.657010704,0.814745985,0.27272791,-0.352102039,0.442914883,0.825045362,,,
,0.047326314,-0.05809792,0.121467053,-0.352101427,0.443686239,0.825046891,,,
,-0.610371939,0.20173844,0.217380187,-0.352103568,0.445994292,0.826606116,,,
,0.115279108,0.423931473,0.897595682,-0.353677982,0.444459225,0.825861672,,,
,-0.885391681,-0.234568921,-0.766502938,-0.355249847,0.446009378,0.825123242,,,
,-0.86367658,0.0529413,0.315642449,-0.35209949,0.446000204,0.825051376,,,
,0.255367289,0.353744143,0.282067123,-0.35367054,0.446010703,0.823532518,,,
,-1.686443974,0.546257962,-0.308938843,-0.353668298,0.44370265,0.821973293,,,
,-0.565452048,0.394538738,-0.140317364,-0.353674618,0.446004791,0.825087258,,,
,-0.349275072,0.768049924,0.431322628,-0.3568263,0.444471356,0.825156167,,,
,-0.556800385,0.15544345,0.372021496,-0.352890418,0.444456881,0.825843731,,,
,-0.653229182,0.670131437,0.529011932,-0.353671764,0.444468094,0.823529562,,,
,-0.470570237,-0.121409757,-0.348644818,-0.35367054,0.446010703,0.823532518,,,
,-1.071087302,0.047555497,0.107200403,-0.35367054,0.446010703,0.823532518,,,
,-0.471143195,-0.274274897,-0.34984803,-0.353674618,0.446004791,0.825087258,,,
,-0.877828638,0.231646837,-0.505807142,-0.35525525,0.444460856,0.826674924,,,
,-0.764325699,-0.203457313,0.263847065,-0.353673293,0.447547503,0.825090316,,,
,0.045893919,0.34291524,-0.081130824,-0.352109072,0.444445668,0.828157798,,,
,-0.554737737,0.967496533,0.275478108,-0.353672477,0.443696738,0.823528033,,,
,-0.143182153,0.165412915,0.73796964,-0.355253925,0.446003466,0.826677982,,,
,-0.458881898,0.199904975,0.168105817,-0.353675943,0.444462181,0.825084302,,,
,-0.040680003,0.773378432,0.641254364,-0.355245668,0.446015291,0.823568502,,,
,-0.455043081,0.661193296,0.274389488,-0.348944241,0.446768298,0.8234263,,,
,-0.316845661,0.081875669,-0.345035184,-0.353671764,0.444468094,0.823529562,,,
,-0.863905763,0.608653066,0.165699394,-0.352095311,0.446006116,0.823496636,,,
,-0.054946653,0.547518469,-0.080729753,-0.356040061,0.4429263,0.825135168,,,
,-0.874734666,0.33844617,-0.350650171,-0.355246993,0.444472681,0.823565443,,,
,-1.061576203,0.26350329,0.520016495,-0.352106218,0.44290897,0.826600102,,,
,-0.443068263,0.629164955,0.89123585,-0.350526198,0.443681651,0.825010907,,,
,-1.476856013,0.55456585,0.002406423,-0.35052844,0.445989704,0.826570133,,,
,-0.508557339,0.606303939,0.1194617,-0.356824975,0.446013965,0.825159123,,,
,0.252273317,0.6516249,0.027215495,-0.355246993,0.444472681,0.823565443,,,
,0.140145477,0.382793103,-0.439229446,-0.352094699,0.446777472,0.823498165,,,
,-1.070743528,-0.254966219,0.207697201,-0.35367054,0.446010703,0.823532518,,,
,-0.04927437,0.052368342,0.378495919,-0.355245668,0.446015291,0.823568502,,,
,-0.870838553,0.142437308,-0.095225586,-0.353673089,0.442925382,0.823526606,,,
,0.306417829,0.151146266,0.332372817,-0.352100714,0.444457594,0.825048318,,,
,-0.30653242,0.199503904,0.170225761,-0.353671764,0.444468094,0.823529562,,,
,-0.870723961,-0.05987409,-0.045263666,-0.353677982,0.444459225,0.825861672,,,
,0.04629499,0.142208125,0.020168114,-0.349740163,0.446758818,0.826553721,,,
,-0.253247345,0.90997157,0.074369922,-0.363132722,0.447563201,0.828415291,,,
,-0.375000877,0.222479512,-0.704394313,-0.339494699,0.4644579,0.829464016,,,
,-0.717285864,0.194691059,-0.091329473,-0.374151784,0.441442406,0.82399052,,,
,-0.978382731,-0.674772395,-0.204603229,-0.363132926,0.452185321,0.829979001,,,
,-2.388832935,-0.394309555,0.447537334,-0.368630479,0.458386952,0.826229766,,,
,-2.910511008,-1.678250678,0.069843555,-0.35997737,0.458346891,0.829919062,,,
,-3.732418965,-2.294524082,-0.201967623,-0.36470632,0.473763812,0.836275637,,,
,-5.792660605,-3.952205575,-1.323360619,-0.366327523,0.468309786,0.851848522,,,
,-6.044360964,-4.955053604,-0.822022549,-0.34975107,0.458299286,0.834349847,,,
,-7.122094577,-3.552223738,-1.651092478,-0.325308257,0.446711315,0.819777982,,,
,-7.430861532,-2.449910236,-2.31383276,-0.35055739,0.445948318,0.837453313,,,
,-7.02824409,-2.560662978,-2.565819598,-0.358454027,0.445941692,0.845406626,,,
,-7.543333148,-3.527815736,-2.632912956,-0.358425484,0.425951886,0.828265647,,,
,-6.615485294,-3.863798187,-1.851742298,-0.355272273,0.424405912,0.826636086,,,
,-5.791285506,-3.850276383,-1.275461348,-0.343465443,0.425902345,0.829479103,,,
,-6.090827841,-4.244872417,-0.921258839,-0.356868603,0.433625178,0.837573089,,,
,-5.188820384,-4.725125641,-1.480179168,-0.339542508,0.422787768,0.834047503,,,
,-4.560113796,-4.141453535,-0.693909186,-0.360031193,0.428994495,0.840745464,,,
,-3.752816262,-4.153829423,-0.942229094,-0.334812029,0.421240163,0.831604689,,,
,-3.551879964,-3.048192766,-1.393834428,-0.334822426,0.421225382,0.835491539,,,
,-2.326838902,-2.690094144,-1.220342808,-0.338748828,0.410467686,0.827786748,,,
,-1.696126961,-2.607416334,-0.130233307,-0.344259531,0.418191233,0.829482161,,,
,-0.931171009,-2.25206791,-0.116081249,-0.35686106,0.418227931,0.829769521,,,
,-0.783978151,-4.83753996,0.277999122,-0.361595107,0.422851988,0.834550459,,,
,-0.975346055,-4.766779672,0.94268746,-0.344253925,0.415117737,0.826366667,,,
,-0.456188996,-3.892216894,1.315110027,-0.331640979,0.406622936,0.819066565,,,
,-0.063712907,-2.602947263,0.250153373,-0.322185117,0.40968369,0.818079613,,,
,0.360505045,-1.465511448,0.831992014,-0.334805199,0.422020387,0.829274108,,,
,0.364802228,-1.004509606,0.888199174,-0.348995107,0.425894801,0.835823751,,,
,0.173778099,-2.752775727,1.953385011,-0.363190112,0.433613965,0.845490418,,,
,0.787759673,-3.858698863,2.51706089,-0.348989195,0.418199083,0.831144648,,,
,0.501968324,-4.229058782,3.693858905,-0.346617533,0.43361315,0.832675433,,,
,0.698664735,-5.19730016,3.738492317,-0.32137421,0.427434047,0.814986646,,,
,0.807240238,-2.910854782,3.603503461,-0.30796371,0.442833741,0.811601733,,,
,-0.198014214,-2.788012631,4.156923395,-0.314270133,0.445925586,0.814860856,,,
,-0.011860226,-2.40722488,3.288090195,-0.309492049,0.444446075,0.794538532,,,
,-1.732968147,-1.428097304,3.527128187,-0.280322732,0.443631295,0.782989399,,,
,-3.84638027,1.897922696,3.782896547,-0.288999083,0.467520693,0.795671152,,,
,-5.987007889,1.893510921,3.290725801,-0.326821814,0.429084506,0.791016922,,,
,-6.899672361,0.273243572,3.423193643,-0.382079715,0.429064628,0.839693578,,,
,-7.420261813,-5.26639887,3.732762739,-0.418455148,0.393522834,0.883983588,,,
,-2.652737296,-6.473735536,3.321207155,-0.366556983,0.380926402,0.909982059,,,
,0.817037816,-5.458683506,3.734195134,-0.330356983,0.385401529,0.921602752,,,
,3.274797574,-4.213932696,4.655396677,-0.341288889,0.421007034,0.897824567,,,
,4.430453447,-4.932364475,4.563666134,-0.323825994,0.439640367,0.852377982,,,
,2.740972796,-3.326077297,3.626994731,-0.309616616,0.448890622,0.842744241,,,
,2.091009473,-2.074852064,1.311385801,-0.261562385,0.464174516,0.842455963,,,
,2.348496706,1.815359478,0.314725717,-0.268668502,0.431042304,0.838666463,,,
,2.738279894,3.756425896,-1.154624549,-0.287583384,0.435701733,0.845325382,,,
,2.951993152,6.649862762,-1.488601648,-0.309654128,0.424184098,0.848915392,,,
,3.495271733,7.581262954,-2.605754756,-0.309656473,0.416476555,0.847345668,,,
,2.584039656,8.609321125,-2.454952265,-0.30958104,0.427370031,0.822490826,,,
,3.391222598,11.67470263,-3.705891019,-0.3174842,0.419650051,0.830429154,,,
,1.956708166,11.51198261,-4.288703688,-0.352146177,0.439770336,0.840586748,,,
,1.963010702,9.197118527,-3.331233917,-0.334821509,0.432012334,0.838621916,,,
,3.383831442,8.582907771,-3.264484334,-0.33324261,0.4412579,0.840158716,,,
,2.766412122,7.107999815,-3.334671663,-0.356089297,0.433611111,0.840664628,,,
,3.487193029,6.26271518,-2.559918133,-0.345841488,0.44438002,0.840451988,,,
,3.578923572,4.728792571,-2.726247781,-0.34033792,0.428171662,0.838740163,,,
,3.060282175,4.616320955,-3.094258573,-0.320618552,0.445875943,0.832883996,,,
,2.939101602,5.544569879,-4.374876541,-0.315105301,0.443548726,0.831976351,,,
,3.550332978,4.887272697,-4.216167231,-0.340316718,0.433594801,0.832531702,,,
,6.006545749,6.015025525,-3.709328766,-0.352154128,0.447462997,0.846043221,,,
,8.247899348,7.728112037,-4.027033863,-0.349028236,0.425847401,0.848261672,,,
,10.23314081,8.536727373,-3.993745015,-0.33954842,0.430483384,0.838726707,,,
,11.83129199,10.68594936,-3.441986658,-0.33326738,0.424273598,0.84401264,,,
,13.9503191,12.27499051,-4.47955593,-0.309595005,0.459707238,0.838101019,,,
,13.73660584,17.41281765,-6.345507581,-0.30327788,0.464334659,0.833302039,,,
,15.26210597,24.32578263,-8.277177492,-0.314322732,0.447391335,0.835075331,,,
,22.26101462,31.48271304,-11.37114959,-0.27663262,0.41013843,0.865236188,,,
,27.95380868,42.98300731,-14.43996883,-0.309693782,0.43106106,0.866030887,,,
,50.30936134,45.38226808,-16.33519863,-0.25636422,0.358933537,0.926859939,,,
,61.13614373,63.35933456,-18.76431049,-0.383978287,0.357730071,0.938317635,,,
,75.67420293,79.07459286,-17.67643553,-0.354073904,0.326792253,0.936797961,,,
,95.49521949,94.9290226,-16.51052371,-0.335110907,0.342232008,0.918517329,,,
,122.8350466,130.1792196,-36.28639119,-0.245776147,0.273117227,0.767876147,,,
,128.0574423,148.5397095,-29.13662276,-0.113091437,0.372284608,0.95393527,,,
,146.2113809,174.8624219,-37.86723905,-0.280595923,0.49485841,0.902026707,,,
,170.1269257,195.9105995,-52.55432458,-0.153694597,0.491548522,0.861038022,,,
,187.0639592,231.227145,-74.62265349,-0.112666055,0.539299694,0.847758919,,,
,213.6883912,272.5837543,-96.49990098,-0.147956881,0.670587156,0.834051274,,,
,235.737125,329.717043,-132.4255579,-0.040284811,0.654125178,0.616245056,,,
,250.05471,409.5529822,-171.9468116,-0.38710948,0.793402243,0.775225994,,,
,240.6911473,366.7367629,-153.1299035,-1.352799796,1.269512844,1.283225586,,,
,266.878126,395.1941441,-148.9514369,-1.34469317,1.255951988,1.192067176,,,
,292.1122759,362.529763,-109.1752171,-1.434030989,0.879354332,0.904979103,,,
,306.7559312,314.895427,-116.0086555,-1.418498573,1.951399286,1.331143017,,,
,250.9284134,230.0627802,-122.7961428,-1.816000714,2.061160041,1.583723344,,,
,207.6153251,147.9456095,-105.7078484,-1.359122528,1.925885117,1.502305607,,,
,109.3671007,54.10824341,-84.95703595,0.75966371,0.473237615,2.111883282,,,
,61.56059086,-35.08856563,-0.545112046,-1.711447808,3.009413863,2.847126911,,,
,-64.72795885,-118.2041152,55.51433914,0.149991845,1.353881346,1.844560245,,,
,-100.165685,-125.2044563,71.89056154,0.846252192,0.47552895,1.24086371,,,
,-104.9502263,-113.5497499,73.20819258,0.495974822,0.201802854,1.085075535,,,
,-90.34702181,-121.8994065,76.12477694,0.360646483,0.096077982,1.002448114,,,
,-86.43681404,-142.6169874,76.15015897,0.110242304,0.25096055,1.038775841,,,
,-93.85856555,-173.6845926,79.49193531,-0.118056269,0.482895107,1.079414373,,,
,-113.3480687,-205.2742195,84.60724521,-0.253420999,0.656005097,1.099940571,,,
,-138.7918639,-238.6118834,95.02252931,-0.417120285,0.736775841,1.084397655,,,
,-158.3810044,-267.4199149,107.8044729,-0.490862895,0.731243935,0.974910499,,,
,-173.2144234,-285.1854453,119.3416083,-0.495230071,0.690167482,0.827237819,,,
,-179.753648,-292.5558598,125.5180361,-0.490273394,0.650422834,0.727549337,,,
,-181.6513415,-291.9823864,127.2972992,-0.505962895,0.645935372,0.703023853,,,
,-180.123435,-290.4646785,127.0749343,-0.526423344,0.653723242,0.69961896,,,
,-171.5876816,-281.964162,124.6357957,-0.515396636,0.673722222,0.70562528,,,
,-158.3843849,-266.2898129,122.3785711,-0.573757187,0.793192457,0.774817023,,,
,-149.5453077,-250.8546164,120.1625996,-0.652732212,0.904822528,0.893434862,,,
,-135.5122535,-240.4612766,121.7398378,-0.831173394,1.034133333,1.106079409,,,
,-128.7336471,-245.1712188,126.1037708,-1.116559939,1.341188379,1.315291539,,,
,-142.1941446,-255.7340969,133.1246811,-1.314821713,1.668720489,1.345327217,,,
,-164.791199,-261.5423419,145.9127553,-1.527569317,1.850602548,1.149206218,,,
,-181.252391,-258.0381893,163.8862121,-1.747894088,1.848036799,0.781885423,,,
,-185.6047503,-242.5122363,176.7168571,-1.946867176,1.82088002,0.373608767,,,
,-185.8510649,-217.3558941,178.5723236,-2.130010296,1.822293782,-0.055183384,,,
,-179.7660812,-182.3755029,166.131691,-2.249987768,1.734382977,-0.573428135,,,
,-158.4629947,-138.6826581,143.8851149,-2.40781998,1.553291335,-1.101874924,,,
,-117.0140246,-97.5178178,122.5250764,-2.734348114,1.384801529,-1.56581947,,,
,-62.74128499,-58.02567045,106.0245222,-2.740280734,1.101836391,-1.794771764,,,
,-49.75416524,149.2457081,54.05908363,-2.062922222,1.480370031,-2.882183078,,,
,-64.48657173,305.2679025,-92.84483132,-2.155865341,0.549681651,-2.28878634,,,
,57.44589446,265.662195,-112.8672425,-1.612478186,-0.226959123,1.90652263,,,
,15.3473048,176.8924114,-76.10707255,0.042540673,0.38999001,2.256328644,,,
,72.60618583,266.7607269,-82.97437279,-0.768080938,-0.207408359,0.970065647,,,
,151.2404606,224.4013269,12.20680853,-2.118735678,0.932199388,1.340448726,,,
,127.7992675,166.3396747,2.475693337,-1.649474312,0.454515902,1.230872171,,,
,104.9666702,167.2008875,-29.58713947,-1.45552895,1.768545158,1.574154944,,,
,11.27764287,91.46755537,-23.50370278,-0.283511927,1.101097452,0.712834964,,,
,-16.6559404,62.10891147,-16.59411825,-1.551859633,0.85246422,1.374008053,,,
,-6.921444757,28.28933277,-13.3000693,-0.541302345,0.72363894,0.986150765,,,
,-18.06031725,23.24123082,-13.1969369,-0.583952497,0.484765545,0.955562589,,,
,-7.994881186,8.469404832,-8.603133181,-0.471956167,0.483124873,0.893151988,,,
,-4.444261729,6.929752645,-8.114056407,-0.298625994,0.504276758,0.873695107,,,
,-2.924892248,10.70835201,-9.350442033,-0.309594292,0.475116208,0.842795107,,,
,0.578801965,8.686383949,-7.002976651,-0.410536188,0.390479613,0.866695923,,,
,5.320027719,8.379507754,-3.08411722,-0.356893476,0.433589704,0.846901529,,,
,5.317392113,9.698513894,-3.227585852,-0.328453313,0.46752895,0.824554434,,,
,4.306923746,9.86066095,-3.086409051,-0.348950153,0.439826198,0.823412844,,,
,6.851601202,8.821086326,-0.281551461,-0.4041421,0.402921101,0.835481448,,,
,10.89095366,7.075684995,1.506248748,-0.364763303,0.406657085,0.836145668,,,
,12.29338245,8.666215834,0.560410019,-0.282741794,0.479766871,0.815762895,,,
,10.31770938,10.487133,-1.865550581,-0.296788073,0.513892151,0.778060958,,,
,9.58317749,8.576433348,-2.969181886,-0.366161366,0.459302243,0.786531702,,,
,10.45613599,6.037829245,0.571983767,-0.419763303,0.41548002,0.790777268,,,
,16.08349827,1.424774149,3.545577428,-0.440283282,0.409315698,0.805224873,,,
,13.81447081,-1.70048144,2.923230671,-0.359167074,0.475325892,0.826824567,,,
,8.928057547,-0.385371413,-2.638871717,-0.249614577,0.541371865,0.816682875,,,
,4.177779059,3.550046499,-7.663768876,-0.238604077,0.522827523,0.816395617,,,
,2.504455818,4.284177322,-10.61014704,-0.292997859,0.49826157,0.828470133,,,
,2.007357635,5.560154331,-10.75900148,-0.371038736,0.456017635,0.842603874,,,
,6.516478187,6.761876011,-9.400805024,-0.42697686,0.419174006,0.839143221,,,
,10.48266393,5.838497228,-9.199983316,-0.441950765,0.390698675,0.833987564,,,
,16.92838183,8.512777737,-7.5982798,-0.432469929,0.418448318,0.831493782,,,
,20.88574403,8.838733427,-7.905442474,-0.353707543,0.441335372,0.835961468,,,
,25.82211921,11.51593602,-11.26480862,-0.339616412,0.423452599,0.862034251,,,
,36.33916061,12.5940707,-14.66204727,-0.323914577,0.413320082,0.877202956,,,
,37.81613121,34.73430582,-14.78122249,-0.267165341,0.448654332,0.871314373,,,
,54.30133019,40.33485368,-13.06945379,-0.328650153,0.421023547,0.883544546,,,
,65.63243002,58.72525192,-13.28700586,-0.369703568,0.373236901,0.906152192,,,
,83.2878953,73.25763884,-10.770919,-0.390899388,0.371856779,0.880203568,,,
,100.4007695,93.71715956,-9.298016395,-0.421644648,0.344940469,0.883183894,,,
,117.4625359,121.3298292,-17.95993505,-0.267539042,0.418074924,1.001853721,,,
,135.3460384,137.4774987,-16.08653494,-0.281320489,0.55196055,0.89671366,,,
