SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, -0.0763, -1.0357, 0.0685, -0.6571, 3.3108, 2.9277, -11.4586, 10.8448, -88.8921, 95.0323, -5.0002, -169.5797, -0.0933, 0.0376, -0.7364, -0.6690, -0.0104, 0.0434, 0.0194, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 1, -0.0280, -1.0075, 0.0770, -6.7041, 7.1114, 0.5930, -11.1371, 11.1079, -89.0383, 94.8838, -5.0004, -169.4716, -0.0940, 0.0381, -0.7355, -0.6699, -0.0592, 0.0150, 0.0090, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0000, 0, 0.1091, -0.9757, 0.1684, -5.6674, 38.3685, -3.9113, 2.0456, -4.6172, -76.7972, 108.0158, -1.8487, -144.0247, -0.1939, 0.2408, -0.7724, -0.5548, -0.1409, 0.0253, 0.1410, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 2, -0.0499, -0.9849, 0.1172, -5.1761, 2.8467, 0.7654, -11.0494, 11.1956, -90.1199, 94.7764, -5.0202, -169.4225, -0.0944, 0.0382, -0.7349, -0.6705, -0.0374, -0.0077, -0.0334, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 1, -0.0301, -0.9411, 0.3014, 9.9870, -45.2725, -0.0988, 1.5196, -4.5003, -77.0310, 108.2343, -1.5714, -144.8664, -0.1875, 0.2369, -0.7748, -0.5554, 0.0001, -0.0089, 0.0095, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 2, -0.0689, -0.9647, 0.4630, -0.7669, 9.7994, -0.4704, 1.1105, -5.1432, -76.6803, 108.1937, -1.6496, -144.5822, -0.1895, 0.2383, -0.7741, -0.5550, 0.0416, 0.0153, -0.1500, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 3, -0.0884, -0.9885, 0.1175, -2.3943, -1.3973, 0.6491, -10.6694, 10.8156, -89.6229, 94.7800, -5.0288, -169.4482, -0.0943, 0.0380, -0.7349, -0.6705, 0.0008, -0.0042, -0.0351, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 3, 0.0167, -0.9500, 0.2928, -7.2712, 43.2848, -2.2143, 1.6949, -4.9094, -76.6803, 107.9743, -1.8306, -143.8113, -0.1949, 0.2423, -0.7717, -0.5548, -0.0477, -0.0000, 0.0177, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 4, -0.0908, -0.9982, 0.1303, 0.6351, 2.0002, -0.0561, -11.0202, 11.1079, -89.5352, 94.7926, -5.0314, -169.4065, -0.0946, 0.0383, -0.7349, -0.6704, 0.0032, 0.0056, -0.0473, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 4, -0.0312, -0.9614, 0.3125, 2.8260, -22.2678, -1.4180, 1.5196, -4.6756, -77.3816, 108.0391, -1.6668, -144.2180, -0.1917, 0.2404, -0.7726, -0.5554, 0.0004, 0.0108, -0.0036, 0.0000, 0.0000, 0.0000, 0.0000
