Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.966751688,-0.199102834,0.36531789,-0.359134455,0.442963914,0.82504577,,,
,-0.468965955,-0.16724638,-0.193430552,-0.356768807,0.441420285,0.823434251,,,
,-0.724619724,0.285619461,-0.399065104,-0.356771662,0.442957085,0.824991947,,,
,-1.169120381,0.156130999,0.313522505,-0.355987462,0.441409072,0.825748318,,,
,0.349618847,0.191539791,-0.025095551,-0.358348114,0.44141896,0.825024873,,,
,-0.980846449,-0.070301921,-0.40536764,-0.355195209,0.444495107,0.824959021,,,
,-0.870723961,0.246085373,-0.041654032,-0.35519368,0.441415698,0.823398267,,,
,-0.051508906,0.353629551,0.228037202,-0.359923445,0.443734557,0.82584261,,,
,-0.455616039,0.308365885,0.376032201,-0.355986137,0.442951784,0.825751376,,,
,-0.668699043,-0.262471966,0.008708958,-0.355200612,0.442946585,0.826510703,,,
,-0.15435483,0.756590768,0.075172063,-0.356767482,0.442962997,0.823437207,,,
,-0.555024216,0.969788364,0.328648591,-0.359917839,0.442972171,0.823509072,,,
,-0.051165131,0.304068702,0.278743967,-0.355979918,0.442960652,0.823419266,,,
,-0.461517504,0.14770852,0.117685531,-0.355983384,0.443726096,0.824975433,,,
,-0.166501535,-0.173262437,-0.343831973,-0.35520051,0.440635474,0.825728848,,,
,-0.117857418,0.581494866,-0.645666139,-0.356768807,0.441420285,0.823434251,,,
,-1.329032902,-0.562816442,0.100038431,-0.356778389,0.439865749,0.826540673,,,
,0.140145477,0.333805211,-0.386918399,-0.356772987,0.441414373,0.824988889,,,
,-0.251986838,0.763523558,0.279832587,-0.359917839,0.442972171,0.823509072,,,
,-0.352884706,0.361020707,0.429603755,-0.359917839,0.442972171,0.823509072,,,
,-0.671277353,-0.114133193,-0.144270773,-0.355979307,0.443732008,0.823420693,,,
,-0.457965166,1.567612527,-0.077120119,-0.355196432,0.442952497,0.824955963,,,
,-1.058711414,0.170168465,0.77801939,-0.356772987,0.441414373,0.824988889,,,
,-0.961595068,0.566426076,0.422499078,-0.358348828,0.440647604,0.825023344,,,
,-0.148969027,0.612950249,0.382449328,-0.355197757,0.441409786,0.824953007,,,
,-0.768508291,0.145302097,0.010370536,-0.353621305,0.44294791,0.824920082,,,
,-0.154870492,-0.154240238,0.27381653,-0.355987564,0.443720183,0.826530173,,,
,-0.26568053,0.134587786,-0.290947968,-0.358350357,0.443727013,0.826584098,,,
,-0.917534613,0.352999298,0.112987277,-0.358352294,0.441413048,0.826579613,,,
,-0.714764849,-0.203170834,0.265795121,-0.356767482,0.442962997,0.823437207,,,
,0.136020181,0.125248574,-0.543049398,-0.355194903,0.439872987,0.823395311,,,
,-1.071431077,0.149370097,0.108919277,-0.353623242,0.440633843,0.824915596,,,
,0.252559796,-0.002979381,0.280176362,-0.352047401,0.441400612,0.824881142,,,
,-0.448855137,0.673053522,0.636269631,-0.358348216,0.443729969,0.825806728,,,
,-0.566311485,0.143411336,-0.038044398,-0.355979307,0.443732008,0.823420693,,,
,-0.457621391,0.154011055,0.323262788,-0.35519368,0.441415698,0.823398267,,,
