Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
,-0.170397648,1.754912431,-0.579604106,-0.345490724,0.464653619,0.819473293,,,
,-0.892152583,1.539251117,-1.054127751,-0.345488583,0.462345566,0.817914067,,,
,-0.684799157,0.938676756,-0.695914538,-0.348640877,0.460040775,0.817981448,,,
,-0.888371061,0.685945072,-0.649390365,-0.347069827,0.460030275,0.819500306,,,
,-0.186956129,0.313006843,-1.105292883,-0.348649134,0.46002895,0.821090928,,,
,-1.076301218,0.660677634,0.170340352,-0.345496024,0.458482977,0.819461366,,,
,-0.891980695,0.528037904,-0.805120294,-0.343923649,0.460015189,0.82098318,,,
,-0.775097305,1.006457663,-0.131608406,-0.342349745,0.45846789,0.820944241,,,
,-0.989383521,0.938791347,-0.700784679,-0.34235107,0.456925178,0.820941284,,,
,-0.898798893,0.51709441,-1.165166972,-0.345498777,0.460019776,0.821019062,,,
,-0.371391243,0.949964024,-0.280405545,-0.347075331,0.458481651,0.821051988,,,
,-1.093719135,0.683252171,-0.755043782,-0.34549684,0.462333741,0.821023547,,,
,-0.674944283,0.549753004,-0.081761077,-0.347072681,0.461566972,0.821058002,,,
,-1.291962532,0.238006668,-0.350019917,-0.343915392,0.460027013,0.8178737,,,
,-1.952239095,0.290833377,-0.358786171,-0.343923649,0.460015189,0.82098318,,,
,-0.979356759,0.096887163,0.064400456,-0.345497248,0.456940265,0.819458308,,,
,-0.877943229,0.550669737,-0.084740458,-0.350224159,0.455411417,0.819563099,,,
,-1.080254627,0.553018864,-0.03598175,-0.351799286,0.455416004,0.819599083,,,
,-0.66669369,0.966694392,0.229870667,-0.347075331,0.458481651,0.821051988,,,
,-1.683178115,0.213713258,0.467247082,-0.345492559,0.460028644,0.818686952,,,
,-2.310910675,-0.368698341,-0.317418619,-0.342344343,0.460016514,0.819392457,,,
,-2.516545228,0.133728349,-0.573186978,-0.345493374,0.461568298,0.819467278,,,
,-2.29807642,0.561097569,0.101241642,-0.345493782,0.456174924,0.817902141,,,
,-1.889614808,0.206952356,0.257544529,-0.337632926,0.453048828,0.822380734,,,
,-1.180923312,0.553935596,0.013464508,-0.343143425,0.456150255,0.822512436,,,
,-0.930139685,0.193717031,-0.088636571,-0.347083996,0.453076351,0.822596228,,,
,-1.393662541,-0.874390891,-0.103075107,-0.34707788,0.45539633,0.821045973,,,
,-1.077790908,0.60641853,0.066864175,-0.346294495,0.455388073,0.822582773,,,
,-1.497482493,-0.574562077,-0.307792928,-0.349441998,0.45386055,0.821096942,,,
,-1.176282353,-0.549351934,0.570780556,-0.342351886,0.458464934,0.821721611,,,
,-0.716082652,1.018948143,0.280634728,-0.34392895,0.456155556,0.821753007,,,
,-1.527219003,0.166558831,0.622862419,-0.343930377,0.456923853,0.822531906,,,
,-0.514458804,0.30830859,0.380787751,-0.343930377,0.456923853,0.822531906,,,
,0.182601649,0.584989909,-0.481571027,-0.345509684,0.456922528,0.824122528,,,
,-0.659073352,0.876969201,0.64022304,-0.343931091,0.456152599,0.822530377,,,
,-0.171543564,0.386975695,-0.333919803,-0.343931702,0.455381244,0.822528848,,,
,-0.729776344,-0.113961305,-0.139457927,-0.347077268,0.456167686,0.821047503,,,
,-0.980445379,0.144557252,-0.038273581,-0.34629368,0.45384842,0.821802446,,,
,-0.261211459,0.255138106,0.332315521,-0.34550683,0.45307472,0.821782977,,,
,-0.669673071,-0.20064982,0.374657102,-0.343142813,0.456921611,0.822513863,,,
,-0.561555935,-0.24110064,0.735563217,-0.339990418,0.456915392,0.82166473,,,
,-0.3638282,0.355348425,0.280290953,-0.340778695,0.45845739,0.822462997,,,
,-1.075098007,0.257888304,0.321486619,-0.346288991,0.456936697,0.821030989,,,
,0.141749759,0.602980784,0.083938317,-0.347069113,0.45849052,0.818719878,,,
,-0.483118013,-0.278629376,-0.497327366,-0.34707788,0.45539633,0.821045973,,,
,-0.872156356,-0.047670089,0.372880933,-0.339209786,0.458443935,0.824759225,,,
,-0.369557778,0.041768623,0.020511889,-0.342364832,0.455364832,0.825602446,,,
