SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.2372, 0.5442, -0.8126, 0.0083, 4.3627, 6.4152, -26.1327, 43.9930, -79.2458, -33.6477, 14.1286, -132.0208, -0.4187, -0.0092, 0.3103, -0.8534, 0.0068, -0.0068, 0.0053, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0050, 1, 0.2408, 0.5444, -0.8131, -0.2821, 4.6624, 6.6496, -26.4250, 42.3268, -79.4212, -33.6454, 14.1664, -132.0056, -0.4189, -0.0090, 0.3104, -0.8533, 0.0037, -0.0072, 0.0059, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 2, 0.2411, 0.5440, -0.8116, -0.2856, 4.9334, 6.7196, -26.4250, 42.3268, -79.4212, -33.6432, 14.2056, -131.9908, -0.4191, -0.0087, 0.3105, -0.8532, 0.0042, -0.0069, 0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0150, 3, 0.2395, 0.5452, -0.8127, -0.3246, 5.1339, 6.8929, -26.4250, 42.3268, -79.4212, -33.6412, 14.2461, -131.9759, -0.4193, -0.0084, 0.3106, -0.8530, 0.0064, -0.0082, 0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 4, 0.2383, 0.5477, -0.8134, -0.5057, 5.4423, 6.7473, -26.4250, 42.6483, -79.4212, -33.6404, 14.2874, -131.9625, -0.4195, -0.0081, 0.3107, -0.8529, 0.0083, -0.0109, 0.0066, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0250, 5, 0.2439, 0.5477, -0.8134, -0.6533, 5.7784, 6.9170, -26.4250, 42.6483, -79.4212, -33.6404, 14.3306, -131.9493, -0.4196, -0.0078, 0.3108, -0.8528, 0.0034, -0.0109, 0.0067, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 6, 0.2503, 0.5451, -0.8053, -0.8358, 5.8693, 7.3991, -25.7819, 42.2976, -79.7428, -33.6428, 14.3760, -131.9346, -0.4198, -0.0075, 0.3110, -0.8526, -0.0022, -0.0084, -0.0012, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0350, 7, 0.2548, 0.5470, -0.8050, -1.0154, 6.0059, 7.3231, -25.7819, 42.2976, -79.7428, -33.6443, 14.4213, -131.9203, -0.4200, -0.0072, 0.3112, -0.8525, -0.0059, -0.0104, -0.0013, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 8, 0.2599, 0.5439, -0.8064, -1.2285, 5.9024, 7.3155, -25.8989, 42.9699, -80.0351, -33.6468, 14.4662, -131.9057, -0.4202, -0.0069, 0.3113, -0.8523, -0.0103, -0.0074, 0.0003, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0450, 9, 0.2668, 0.5378, -0.8068, -1.0482, 5.8390, 7.1473, -25.8989, 42.9699, -80.0351, -33.6486, 14.5103, -131.8917, -0.4204, -0.0066, 0.3115, -0.8522, -0.0164, -0.0014, 0.0009, 0.0000, 0.0000, 0.0000, 0.0000
