SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, -0.4856, -0.5684, -0.6618, -0.0571, -0.0159, 0.3316, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8848, 0.3661, -0.1838, 0.2220, -0.0022, 0.0020, -0.0025, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4851, -0.5661, -0.6614, -0.1816, -0.0152, 0.2574, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8848, 0.3661, -0.1838, 0.2220, -0.0027, -0.0002, -0.0029, 0.0000, 0.0000, 0.0000, 0.0000
3, -0.0000, 0, -0.2288, -0.9608, -0.0314, 2.4192, -1.0802, 1.2502, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4633, -0.5600, -0.4202, -0.5432, 0.0098, -0.0147, 0.0117, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4862, -0.5662, -0.6594, -0.1991, -0.1026, 0.3614, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8847, 0.3664, -0.1838, 0.2220, -0.0017, -0.0002, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0001, 0, 0.3195, -0.6090, -0.7300, -0.3500, 0.1759, -0.1678, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3362, 0.0439, -0.3654, -0.8669, 0.0022, 0.0049, 0.0009, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0101, 1, 0.3120, -0.6102, -0.7294, -0.5087, 0.1911, -0.1498, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0438, -0.3655, -0.8669, 0.0097, 0.0061, 0.0003, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0201, 2, 0.3182, -0.6102, -0.7291, -0.3085, 0.1622, -0.1807, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0438, -0.3654, -0.8669, 0.0033, 0.0060, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4881, -0.5622, -0.6625, -0.1478, 0.0669, 0.4157, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8847, 0.3663, -0.1838, 0.2221, 0.0003, -0.0044, -0.0016, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0301, 3, 0.3157, -0.6092, -0.7305, -0.3736, 0.1112, -0.0882, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0438, -0.3654, -0.8670, 0.0059, 0.0050, 0.0014, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2379, -0.9569, -0.0309, 2.6323, -0.6310, 1.2839, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4632, -0.5602, -0.4202, -0.5432, 0.0186, -0.0186, 0.0117, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2434, -0.9567, -0.0292, 3.3547, -0.3109, 1.3928, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4629, -0.5605, -0.4201, -0.5432, 0.0238, -0.0188, 0.0105, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2490, -0.9602, -0.0265, 4.0843, 0.2941, 1.1506, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4626, -0.5607, -0.4202, -0.5431, 0.0288, -0.0150, 0.0082, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0401, 4, 0.3146, -0.6100, -0.7298, -0.5488, 0.1103, -0.1400, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0438, -0.3654, -0.8670, 0.0070, 0.0059, 0.0006, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.4890, -0.5651, -0.6613, -0.2968, 0.1636, 0.1245, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8847, 0.3663, -0.1838, 0.2221, 0.0011, -0.0014, -0.0028, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.4871, -0.5633, -0.6637, -0.3035, 0.1712, -0.1397, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8847, 0.3663, -0.1838, 0.2221, -0.0008, -0.0032, -0.0004, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2557, -0.9617, -0.0192, 5.1827, 0.8067, 0.9646, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4623, -0.5609, -0.4205, -0.5430, 0.0353, -0.0135, 0.0017, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0501, 5, 0.3155, -0.6090, -0.7309, -0.5126, 0.0775, -0.1924, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0439, -0.3653, -0.8670, 0.0061, 0.0050, 0.0017, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0601, 6, 0.3162, -0.6116, -0.7287, -0.5643, 0.1651, -0.3323, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0438, -0.3654, -0.8670, 0.0055, 0.0076, -0.0005, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2649, -0.9699, -0.0114, 5.3800, 1.2236, 0.8761, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4619, -0.5611, -0.4207, -0.5429, 0.0444, -0.0053, -0.0052, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.4854, -0.5658, -0.6617, -0.0894, 0.1188, -0.0101, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8847, 0.3663, -0.1837, 0.2221, -0.0024, -0.0007, -0.0025, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.4868, -0.5642, -0.6623, -0.0179, 0.0667, 0.0621, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8847, 0.3664, -0.1838, 0.2221, -0.0010, -0.0023, -0.0018, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0701, 7, 0.3175, -0.6098, -0.7292, -0.6885, 0.1622, -0.2446, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3361, 0.0438, -0.3654, -0.8670, 0.0041, 0.0057, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, -0.2677, -0.9744, -0.0083, 4.8754, 1.3752, 0.5213, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4616, -0.5613, -0.4210, -0.5428, 0.0471, -0.0009, -0.0075, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0700, 7, -0.2653, -0.9706, -0.0102, 4.1378, 1.4730, 0.3919, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4613, -0.5616, -0.4209, -0.5428, 0.0444, -0.0046, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
