SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, -0.5126, -0.5252, -0.6718, 0.2481, -0.1008, -0.0622, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3709, 0.1365, 0.3791, 0.8367, 0.0029, -0.0079, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.5116, -0.5265, -0.6711, -0.0871, -0.0484, -0.0446, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3709, 0.1365, 0.3791, 0.8367, 0.0019, -0.0067, -0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, -0.0000, 0, 0.3545, -0.5843, -0.7332, 0.2216, -0.0263, 0.0114, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6024, -0.3485, 0.1168, 0.7086, -0.0013, -0.0010, 0.0034, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0000, 0, -0.2254, -0.9663, -0.0604, 0.9595, -1.0974, 0.2823, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7211, 0.6513, -0.2239, -0.0761, 0.0017, -0.0069, 0.0089, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.5083, -0.5317, -0.6717, 0.0230, 0.1449, -0.0982, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3709, 0.1365, 0.3791, 0.8367, -0.0014, -0.0014, -0.0036, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2303, -0.9656, -0.0617, 1.0303, -0.8557, 0.3337, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7210, 0.6513, -0.2240, -0.0761, 0.0065, -0.0077, 0.0104, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2318, -0.9669, -0.0640, 1.0341, -0.4363, 0.2260, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7209, 0.6514, -0.2240, -0.0761, 0.0080, -0.0063, 0.0129, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2284, -0.9728, -0.0635, 0.9291, 0.1367, 0.3434, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.7210, 0.6513, -0.2240, -0.0761, 0.0045, -0.0005, 0.0125, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3544, -0.5844, -0.7319, 0.1673, 0.0403, 0.0811, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6023, -0.3485, 0.1167, 0.7086, -0.0012, -0.0008, 0.0021, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.5083, -0.5284, -0.6725, -0.1034, 0.1923, 0.0369, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3710, 0.1365, 0.3790, 0.8367, -0.0014, -0.0047, -0.0028, 0.0000, 0.0000, 0.0000, 0.0000
