SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.3356, -0.5866, -0.7416, -0.1876, 0.3325, -0.2493, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8246, 0.1930, 0.3101, 0.4321, 0.0092, 0.0003, 0.0085, 0.0000, 0.0000, 0.0000, 0.0000
2, -0.0000, 0, -0.5070, -0.5378, -0.6669, 0.1727, 0.4454, -0.7729, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8164, -0.1357, 0.3831, 0.4101, -0.0073, 0.0020, -0.0027, 0.0000, 0.0000, 0.0000, 0.0000
3, -0.0000, 0, -0.2049, -0.9744, -0.0826, 2.1444, 0.6629, 0.5525, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3432, 0.4508, 0.5141, 0.6440, -0.0228, 0.0029, 0.0175, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2075, -0.9719, -0.0837, 1.9696, 0.8914, 0.5319, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3430, 0.4509, 0.5142, 0.6439, -0.0203, 0.0004, 0.0190, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3408, -0.5901, -0.7350, -0.2228, 0.4186, -0.3020, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8246, 0.1929, 0.3101, 0.4321, 0.0038, 0.0040, 0.0018, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.5045, -0.5394, -0.6696, 0.2800, 0.4116, -0.7517, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8164, -0.1357, 0.3831, 0.4102, -0.0097, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3407, -0.5924, -0.7387, -0.1689, 0.2823, -0.3015, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8246, 0.1929, 0.3101, 0.4321, 0.0040, 0.0063, 0.0055, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2100, -0.9702, -0.0833, 2.1623, 0.7842, 0.5693, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3431, 0.4507, 0.5143, 0.6439, -0.0178, -0.0013, 0.0187, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.5052, -0.5406, -0.6678, 0.3685, 0.4803, -0.7485, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8164, -0.1358, 0.3831, 0.4102, -0.0089, 0.0046, -0.0019, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2116, -0.9676, -0.0763, 2.1622, 0.5245, 0.5012, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3430, 0.4508, 0.5144, 0.6438, -0.0159, -0.0040, 0.0118, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3381, -0.5880, -0.7374, -0.1214, 0.1135, -0.0364, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8246, 0.1929, 0.3101, 0.4321, 0.0066, 0.0019, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.5077, -0.5372, -0.6657, 0.3147, 0.5144, -0.7678, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8164, -0.1360, 0.3831, 0.4102, -0.0063, 0.0010, -0.0039, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3386, -0.5905, -0.7381, -0.1080, 0.1019, 0.0359, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8246, 0.1929, 0.3101, 0.4321, 0.0061, 0.0044, 0.0048, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.5052, -0.5413, -0.6667, 0.0468, 0.4942, -0.7075, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8164, -0.1361, 0.3830, 0.4103, -0.0086, 0.0048, -0.0028, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.4996, -0.5402, -0.6694, 0.2956, 0.4921, -0.5243, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8164, -0.1361, 0.3830, 0.4103, -0.0141, 0.0037, -0.0001, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.5031, -0.5366, -0.6701, 0.1888, 0.3863, -0.3886, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8164, -0.1362, 0.3830, 0.4103, -0.0105, 0.0001, 0.0005, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2130, -0.9683, -0.0759, 2.1458, 0.6471, 0.4652, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3429, 0.4508, 0.5146, 0.6438, -0.0146, -0.0034, 0.0119, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2161, -0.9688, -0.0767, 2.0205, 0.4907, 0.5351, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3427, 0.4509, 0.5147, 0.6437, -0.0116, -0.0029, 0.0129, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3367, -0.5898, -0.7379, -0.0705, 0.0191, -0.0861, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8246, 0.1931, 0.3096, 0.4322, 0.0078, 0.0037, 0.0045, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.5041, -0.5376, -0.6695, 0.2080, 0.2850, -0.4230, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.8163, -0.1362, 0.3830, 0.4103, -0.0094, 0.0009, -0.0001, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3366, -0.5882, -0.7407, 0.1209, 0.2085, -0.0528, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8246, 0.1931, 0.3096, 0.4322, 0.0071, 0.0020, 0.0070, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, -0.2202, -0.9734, -0.0737, 1.8816, 1.0310, 0.5651, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3426, 0.4509, 0.5148, 0.6437, -0.0076, 0.0018, 0.0102, 0.0000, 0.0000, 0.0000, 0.0000
