SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.0001, 0, -0.2128, -0.9775, -0.0504, 1.3197, -1.8053, -0.0465, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6846, 0.0715, 0.2322, -0.0068, 0.0033, -0.0022, 0.0000, 0.0000, 0.0000, 0.0000
1, -0.0000, 0, 0.3310, -0.6001, -0.7341, 0.4604, 0.0865, 0.1655, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2737, 0.2457, 0.2119, -0.0020, 0.0004, 0.0047, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0101, 1, -0.2109, -0.9746, -0.0448, 0.5300, -1.7058, -0.2287, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6846, 0.0714, 0.2321, -0.0088, 0.0005, -0.0076, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0000, 0, -0.5042, -0.5524, -0.6560, 0.0419, -0.1861, -0.1220, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5841, 0.0165, 0.4113, 0.6996, 0.0008, -0.0039, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0201, 2, -0.2059, -0.9703, -0.0460, 0.1430, -1.9081, -0.3356, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6847, 0.0713, 0.2320, -0.0137, -0.0039, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3296, -0.6020, -0.7308, 0.4623, 0.1216, 0.1120, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2737, 0.2457, 0.2119, -0.0006, 0.0022, 0.0015, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.5075, -0.5528, -0.6504, -0.0500, 0.1228, -0.2644, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5840, 0.0164, 0.4113, 0.6996, 0.0041, -0.0035, -0.0107, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0301, 3, -0.2093, -0.9703, -0.0485, 0.1935, -2.3957, -0.3318, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6847, 0.0714, 0.2318, -0.0103, -0.0039, -0.0037, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3276, -0.6039, -0.7303, 0.2744, 0.0342, 0.0927, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2738, 0.2457, 0.2119, 0.0013, 0.0040, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.5037, -0.5528, -0.6545, -0.2289, 0.1910, -0.3230, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5840, 0.0164, 0.4113, 0.6996, 0.0003, -0.0036, -0.0066, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4997, -0.5554, -0.6563, -0.0295, 0.2406, -0.3776, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0163, 0.4112, 0.6997, -0.0036, -0.0009, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0401, 4, -0.2113, -0.9682, -0.0549, 0.3171, -2.1202, -0.2627, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6848, 0.0712, 0.2317, -0.0081, -0.0061, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3279, -0.6040, -0.7283, 0.2043, 0.0512, 0.0580, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2738, 0.2457, 0.2119, 0.0009, 0.0040, -0.0011, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.5024, -0.5535, -0.6566, -0.2529, 0.1702, -0.0998, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0163, 0.4112, 0.6997, -0.0007, -0.0030, -0.0047, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0501, 5, -0.2161, -0.9730, -0.0590, 0.2466, -2.3442, -0.3317, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6848, 0.0711, 0.2315, -0.0033, -0.0012, 0.0071, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3302, -0.6015, -0.7312, 0.2244, -0.0663, -0.0463, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2738, 0.2457, 0.2119, -0.0014, 0.0016, 0.0018, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.5041, -0.5519, -0.6577, -0.0199, 0.0335, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0163, 0.4112, 0.6997, 0.0011, -0.0046, -0.0036, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3305, -0.5999, -0.7331, -0.0398, -0.0348, -0.0455, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2738, 0.2457, 0.2119, -0.0017, -0.0000, 0.0037, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0601, 6, -0.2184, -0.9768, -0.0633, -0.1267, -2.2916, -0.1257, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6849, 0.0710, 0.2314, -0.0010, 0.0025, 0.0115, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.5014, -0.5559, -0.6604, 0.3208, -0.0829, -0.0275, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0163, 0.4112, 0.6997, -0.0016, -0.0006, -0.0009, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0701, 7, -0.2171, -0.9755, -0.0656, -0.2153, -2.1008, -0.0405, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6873, 0.6849, 0.0709, 0.2313, -0.0023, 0.0012, 0.0138, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3313, -0.5996, -0.7339, -0.0576, 0.0512, -0.0808, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2738, 0.2457, 0.2119, -0.0025, -0.0003, 0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.3338, -0.6004, -0.7323, -0.0216, -0.0166, -0.0981, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2460, 0.2118, -0.0048, 0.0006, 0.0030, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.5013, -0.5543, -0.6568, 0.0712, -0.2251, 0.1729, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0163, 0.4113, 0.6997, -0.0018, -0.0022, -0.0045, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0801, 8, -0.2110, -0.9760, -0.0639, -0.2327, -1.8755, 0.0102, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6874, 0.6848, 0.0709, 0.2312, -0.0083, 0.0018, 0.0121, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 8, -0.5066, -0.5489, -0.6558, 0.2519, -0.4288, 0.1964, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5840, 0.0164, 0.4113, 0.6997, 0.0034, -0.0076, -0.0054, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0901, 9, -0.2063, -0.9775, -0.0602, -0.4094, -1.8393, 0.0434, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6875, 0.6848, 0.0708, 0.2311, -0.0128, 0.0032, 0.0082, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0900, 9, -0.5067, -0.5533, -0.6561, 0.3254, -0.5095, 0.0070, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5840, 0.0164, 0.4114, 0.6996, 0.0033, -0.0031, -0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.3359, -0.5981, -0.7321, 0.1163, -0.0191, 0.1110, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2460, 0.2118, -0.0063, -0.0015, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1001, 10, -0.2001, -0.9742, -0.0565, -0.6201, -2.2858, -0.1301, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6875, 0.6848, 0.0707, 0.2310, -0.0191, -0.0001, 0.0045, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.3304, -0.6028, -0.7292, 0.3073, 0.0487, 0.2497, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2460, 0.2118, -0.0008, 0.0032, -0.0001, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1000, 10, -0.5062, -0.5553, -0.6533, 0.2147, -0.1154, -0.1359, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0164, 0.4114, 0.6996, 0.0028, -0.0012, -0.0077, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1101, 11, -0.1924, -0.9764, -0.0524, -0.4776, -2.5625, -0.3016, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6876, 0.6849, 0.0705, 0.2308, -0.0267, 0.0021, 0.0004, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1100, 11, -0.5018, -0.5512, -0.6563, 0.1960, -0.0300, -0.1539, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0164, 0.4114, 0.6996, -0.0016, -0.0054, -0.0046, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1000, 10, 0.3324, -0.6040, -0.7303, 0.2194, -0.0561, 0.3204, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2460, 0.2118, -0.0029, 0.0043, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1201, 12, -0.1900, -0.9745, -0.0527, -1.2150, -2.8277, -0.5508, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6877, 0.6848, 0.0704, 0.2306, -0.0291, 0.0002, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1100, 11, 0.3313, -0.6056, -0.7321, 0.0108, -0.1760, 0.2170, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2460, 0.2118, -0.0018, 0.0059, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1200, 12, -0.5025, -0.5535, -0.6552, 0.2141, 0.0063, -0.2579, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5839, 0.0164, 0.4114, 0.6996, -0.0009, -0.0031, -0.0057, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1200, 12, 0.3313, -0.6040, -0.7314, -0.0023, -0.2789, 0.1935, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2459, 0.2118, -0.0018, 0.0043, 0.0021, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1301, 13, -0.1916, -0.9714, -0.0547, -1.0016, -2.8971, -0.6882, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6877, 0.6848, 0.0706, 0.2305, -0.0273, -0.0030, 0.0026, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1300, 13, -0.4999, -0.5564, -0.6574, 0.1433, -0.1514, -0.0687, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.5838, 0.0163, 0.4114, 0.6997, -0.0034, -0.0003, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1401, 14, -0.1977, -0.9727, -0.0571, -1.1091, -3.1401, -0.6525, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6878, 0.6848, 0.0704, 0.2303, -0.0208, -0.0018, 0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1300, 13, 0.3296, -0.6011, -0.7308, -0.1753, -0.4497, 0.0902, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2459, 0.2118, -0.0003, 0.0014, 0.0015, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1400, 14, 0.3293, -0.6043, -0.7347, -0.3142, -0.4485, -0.0490, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9054, 0.2736, 0.2458, 0.2118, -0.0001, 0.0047, 0.0053, 0.0000, 0.0000, 0.0000, 0.0000
