SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, -0.4759, -0.5715, -0.6632, -0.0876, 0.0754, -0.3252, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8223, 0.3963, -0.1004, 0.3957, -0.0029, -0.0009, -0.0025, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4779, -0.5726, -0.6636, 0.0201, -0.0106, -0.2517, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8224, 0.3964, -0.1003, 0.3956, -0.0009, 0.0002, -0.0021, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4754, -0.5726, -0.6593, 0.0571, -0.1651, -0.1808, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8224, 0.3964, -0.1003, 0.3956, -0.0032, 0.0001, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0000, 0, 0.3150, -0.6203, -0.7229, -0.4376, 0.1079, -0.4334, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6436, 0.1072, 0.3587, 0.6676, 0.0036, 0.0033, 0.0032, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3140, -0.6211, -0.7218, -0.3656, 0.2322, -0.6439, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6436, 0.1072, 0.3587, 0.6675, 0.0047, 0.0042, 0.0021, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4738, -0.5743, -0.6641, -0.1214, -0.2546, -0.0302, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8224, 0.3964, -0.1004, 0.3956, -0.0049, 0.0018, -0.0016, 0.0000, 0.0000, 0.0000, 0.0000
3, -0.0000, 0, -0.2510, -0.9586, -0.0525, 2.5233, -4.2787, 1.0011, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3265, 0.1418, -0.6725, -0.6489, -0.0039, -0.0067, -0.0030, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.4785, -0.5742, -0.6606, -0.1205, -0.3579, 0.0220, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8224, 0.3964, -0.1004, 0.3956, -0.0002, 0.0017, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2501, -0.9611, -0.0493, 2.7720, -4.6945, 0.7616, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3262, 0.1416, -0.6728, -0.6488, -0.0050, -0.0042, -0.0056, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2514, -0.9604, -0.0487, 2.7699, -4.5412, 0.9352, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3259, 0.1414, -0.6731, -0.6486, -0.0039, -0.0050, -0.0055, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2499, -0.9618, -0.0497, 3.0496, -4.4778, 1.0945, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3257, 0.1411, -0.6734, -0.6485, -0.0056, -0.0035, -0.0038, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3160, -0.6189, -0.7191, -0.4703, 0.2970, -0.7071, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6436, 0.1071, 0.3587, 0.6675, 0.0027, 0.0021, -0.0006, 0.0000, 0.0000, 0.0000, 0.0000
