SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, -0.0000, 0, -0.4880, -0.5734, -0.6523, 0.2368, 0.0839, 0.1649, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8278, 0.3999, -0.1134, 0.3767, -0.0010, -0.0034, -0.0021, 0.0000, 0.0000, 0.0000, 0.0000
1, -0.0000, 0, 0.3147, -0.6172, -0.7199, -1.5298, 0.5625, -1.1878, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6486, 0.1092, 0.3566, 0.6635, 0.0030, 0.0024, -0.0020, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0000, 0, -0.2619, -0.9609, -0.0645, 5.3634, 7.7278, 1.7162, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2060, 0.0237, -0.6704, -0.7124, 0.0196, -0.0041, -0.0358, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3169, -0.6194, -0.7222, -1.7570, 0.6315, -1.3445, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6487, 0.1090, 0.3565, 0.6635, 0.0010, 0.0048, 0.0003, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.4863, -0.5777, -0.6500, 0.1485, 0.0333, 0.1094, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8278, 0.3999, -0.1134, 0.3767, -0.0027, 0.0009, -0.0044, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.4860, -0.5719, -0.6508, -0.0515, 0.3024, 0.2074, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8278, 0.3999, -0.1134, 0.3767, -0.0030, -0.0048, -0.0036, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2565, -0.9629, -0.0650, 5.5433, 8.6467, 1.7639, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2066, 0.0242, -0.6706, -0.7120, 0.0140, -0.0021, -0.0346, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3164, -0.6165, -0.7228, -1.5792, 0.5494, -1.4320, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6488, 0.1088, 0.3565, 0.6634, 0.0017, 0.0022, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2532, -0.9693, -0.0654, 5.4570, 9.0823, 1.7777, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2072, 0.0248, -0.6708, -0.7116, 0.0105, 0.0042, -0.0336, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3159, -0.6190, -0.7242, -1.5270, 0.5838, -1.4149, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6489, 0.1087, 0.3564, 0.6634, 0.0024, 0.0049, 0.0019, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2501, -0.9687, -0.0662, 5.1923, 9.5521, 1.9293, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2079, 0.0254, -0.6710, -0.7113, 0.0073, 0.0037, -0.0323, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.4863, -0.5756, -0.6538, 0.0038, 0.2028, 0.1045, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.4000, -0.1132, 0.3767, -0.0026, -0.0012, -0.0006, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.4867, -0.5743, -0.6533, -0.0865, 0.2870, 0.1189, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.4000, -0.1132, 0.3767, -0.0020, -0.0026, -0.0012, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.4868, -0.5745, -0.6523, 0.0019, 0.4086, 0.0349, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1131, 0.3767, -0.0018, -0.0024, -0.0022, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.4866, -0.5750, -0.6540, 0.0912, 0.4447, -0.0316, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1131, 0.3767, -0.0020, -0.0020, -0.0005, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.4890, -0.5744, -0.6553, 0.0008, 0.4934, 0.0524, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1131, 0.3767, 0.0004, -0.0025, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3148, -0.6188, -0.7222, -1.4928, 0.6694, -1.3980, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6490, 0.1085, 0.3564, 0.6634, 0.0038, 0.0050, -0.0001, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2508, -0.9619, -0.0679, 4.5561, 9.5401, 2.0286, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2086, 0.0259, -0.6711, -0.7110, 0.0078, -0.0031, -0.0302, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 8, -0.4866, -0.5750, -0.6525, 0.2160, 0.5869, -0.2713, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1130, 0.3767, -0.0018, -0.0020, -0.0020, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0900, 9, -0.4861, -0.5754, -0.6526, 0.0024, 0.5877, -0.3835, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1129, 0.3767, -0.0022, -0.0017, -0.0020, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3193, -0.6172, -0.7238, -1.4565, 0.7753, -1.5558, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6490, 0.1083, 0.3564, 0.6633, -0.0005, 0.0037, 0.0014, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2715, -0.9626, -0.0647, 3.0707, 9.4134, 2.2784, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2093, 0.0264, -0.6712, -0.7106, 0.0282, -0.0024, -0.0331, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1000, 10, -0.4829, -0.5762, -0.6547, 0.0725, 0.7252, -0.4157, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1129, 0.3767, -0.0054, -0.0009, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3147, -0.6186, -0.7230, -1.4404, 0.6867, -1.3808, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6491, 0.1082, 0.3564, 0.6633, 0.0043, 0.0054, 0.0004, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1100, 11, -0.4837, -0.5765, -0.6523, 0.0739, 0.4468, -0.1369, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1128, 0.3767, -0.0045, -0.0006, -0.0024, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.3192, -0.6145, -0.7224, -1.4772, 0.7879, -1.3288, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6492, 0.1080, 0.3563, 0.6633, 0.0001, 0.0014, -0.0003, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, -0.2551, -0.9727, -0.0536, 1.8173, 10.0483, 2.5775, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2100, 0.0269, -0.6712, -0.7104, 0.0114, 0.0077, -0.0440, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1200, 12, -0.4846, -0.5749, -0.6540, 0.0027, 0.4116, -0.1046, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8279, 0.3999, -0.1128, 0.3767, -0.0035, -0.0022, -0.0008, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.3231, -0.6176, -0.7205, -1.5835, 0.7685, -1.2585, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6492, 0.1078, 0.3563, 0.6633, -0.0036, 0.0048, -0.0023, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0700, 7, -0.2233, -0.9826, -0.0490, 1.6603, 10.3832, 1.5084, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2107, 0.0275, -0.6711, -0.7103, -0.0206, 0.0177, -0.0487, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1300, 13, -0.4829, -0.5746, -0.6562, -0.0148, 0.3774, -0.1053, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8280, 0.3998, -0.1127, 0.3768, -0.0051, -0.0026, 0.0014, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1400, 14, -0.4848, -0.5758, -0.6551, 0.1473, 0.2062, -0.0125, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8280, 0.3998, -0.1127, 0.3768, -0.0030, -0.0012, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.3224, -0.6140, -0.7231, -1.5648, 0.5450, -1.1876, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6493, 0.1077, 0.3562, 0.6633, -0.0027, 0.0015, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0800, 8, -0.2142, -0.9634, -0.0417, 2.4671, 11.1678, 0.9162, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2114, 0.0281, -0.6710, -0.7101, -0.0296, -0.0015, -0.0561, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1000, 10, 0.3192, -0.6154, -0.7207, -1.5470, 0.4936, -1.1699, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6494, 0.1075, 0.3562, 0.6632, 0.0007, 0.0032, -0.0023, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1500, 15, -0.4885, -0.5729, -0.6521, 0.0743, 0.2710, 0.1245, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8280, 0.3998, -0.1126, 0.3768, 0.0008, -0.0042, -0.0029, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0900, 9, -0.2272, -0.9676, -0.0527, 4.5976, 11.4177, 1.1254, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2122, 0.0289, -0.6711, -0.7098, -0.0166, 0.0027, -0.0450, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1600, 16, -0.4834, -0.5759, -0.6540, 0.1120, 0.2608, -0.1881, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8280, 0.3998, -0.1126, 0.3768, -0.0043, -0.0012, -0.0011, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1100, 11, 0.3217, -0.6158, -0.7261, -1.4073, 0.3897, -1.0302, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6494, 0.1074, 0.3562, 0.6632, -0.0016, 0.0038, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1000, 10, -0.2323, -0.9796, -0.0735, 7.4457, 8.7076, 2.9155, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2128, 0.0294, -0.6715, -0.7092, -0.0117, 0.0147, -0.0235, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1700, 17, -0.4801, -0.5774, -0.6557, 0.0589, 0.1024, 0.0366, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8280, 0.3998, -0.1126, 0.3768, -0.0076, 0.0003, 0.0006, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1100, 11, -0.2171, -1.0063, -0.0719, 5.6327, 5.5453, 2.9212, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2133, 0.0297, -0.6717, -0.7088, -0.0271, 0.0414, -0.0242, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1800, 18, -0.4833, -0.5768, -0.6543, 0.2361, 0.1875, 0.0953, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8280, 0.3998, -0.1125, 0.3768, -0.0043, -0.0003, -0.0007, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1200, 12, 0.3276, -0.6146, -0.7320, -1.1448, 0.3559, -0.9087, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.6495, 0.1073, 0.3561, 0.6632, -0.0074, 0.0028, 0.0087, 0.0000, 0.0000, 0.0000, 0.0000
