SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0001, 0, -0.4749, -0.5709, -0.6675, -0.0524, -0.2793, 0.2300, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8903, 0.3638, -0.1874, 0.1994, -0.0040, -0.0022, 0.0025, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0000, 0, 0.3193, -0.6122, -0.7262, -0.6851, -0.0394, -0.3232, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3106, 0.0530, -0.3664, -0.8755, 0.0010, 0.0035, 0.0003, 0.0000, 0.0000, 0.0000, 0.0000
3, -0.0000, 0, -0.2583, -0.9582, -0.0450, 3.0813, -1.9889, 0.9560, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6087, -0.4730, 0.5088, 0.3832, 0.0015, -0.0076, 0.0101, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2592, -0.9604, -0.0481, 3.2569, -1.8879, 1.0267, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6085, -0.4731, 0.5091, 0.3831, 0.0022, -0.0054, 0.0138, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0101, 1, -0.4831, -0.5680, -0.6648, 0.1273, -0.3094, 0.0968, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8904, 0.3637, -0.1875, 0.1996, 0.0041, -0.0050, -0.0002, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3201, -0.6124, -0.7264, -0.4554, -0.0528, -0.3938, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3106, 0.0530, -0.3663, -0.8755, 0.0003, 0.0038, 0.0005, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0201, 2, -0.4780, -0.5720, -0.6626, 0.1832, -0.4215, 0.1848, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8903, 0.3637, -0.1876, 0.1996, -0.0012, -0.0007, -0.0025, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2591, -0.9655, -0.0456, 3.2902, -1.7520, 1.1833, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6084, -0.4731, 0.5093, 0.3830, 0.0018, -0.0003, 0.0119, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3233, -0.6131, -0.7270, -0.5955, -0.1746, -0.3578, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3106, 0.0530, -0.3663, -0.8755, -0.0029, 0.0046, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0301, 3, -0.4803, -0.5726, -0.6621, 0.0045, -0.4411, 0.2482, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8903, 0.3637, -0.1876, 0.1996, 0.0011, -0.0001, -0.0029, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2590, -0.9645, -0.0433, 3.1852, -1.7154, 1.1472, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6082, -0.4731, 0.5095, 0.3829, 0.0016, -0.0012, 0.0101, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3173, -0.6134, -0.7250, -0.4380, -0.1914, -0.2884, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3106, 0.0530, -0.3662, -0.8755, 0.0030, 0.0050, -0.0011, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2620, -0.9640, -0.0427, 3.3268, -1.4223, 1.1988, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6081, -0.4732, 0.5098, 0.3827, 0.0043, -0.0017, 0.0101, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0401, 4, -0.4771, -0.5708, -0.6637, 0.0393, -0.3735, 0.2844, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8903, 0.3637, -0.1876, 0.1996, -0.0022, -0.0020, -0.0014, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3175, -0.6127, -0.7278, -0.3863, -0.1232, -0.2540, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3107, 0.0530, -0.3662, -0.8755, 0.0029, 0.0043, 0.0016, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0501, 5, -0.4772, -0.5721, -0.6629, 0.0020, -0.3085, 0.4227, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.8903, 0.3637, -0.1877, 0.1996, -0.0022, -0.0006, -0.0021, 0.0000, 0.0000, 0.0000, 0.0000
