SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.3252, -0.6062, -0.7292, -0.0496, -0.1194, -0.0734, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2890, -0.2292, -0.8536, -0.0004, 0.0024, 0.0013, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.3221, -0.6062, -0.7301, -0.1189, -0.0839, -0.1782, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2890, -0.2293, -0.8536, 0.0026, 0.0023, 0.0022, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0000, 0, -0.2409, -0.9625, -0.0517, 0.1219, -2.9351, -0.2212, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6287, -0.6627, -0.1893, -0.3602, 0.0016, -0.0072, 0.0017, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.3240, -0.6068, -0.7292, -0.1032, 0.0001, -0.0913, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2890, -0.2293, -0.8536, 0.0006, 0.0028, 0.0013, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.3228, -0.6079, -0.7295, -0.1380, -0.1209, -0.0382, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2889, -0.2293, -0.8536, 0.0018, 0.0039, 0.0016, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, -0.2398, -0.9634, -0.0548, -0.0003, -2.9324, -0.2921, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6288, -0.6628, -0.1892, -0.3600, 0.0005, -0.0062, 0.0049, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.3245, -0.6055, -0.7259, -0.0851, -0.0855, -0.0735, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2889, -0.2293, -0.8536, 0.0001, 0.0014, -0.0020, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, -0.2405, -0.9679, -0.0549, -0.1594, -2.9830, -0.2757, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6288, -0.6629, -0.1890, -0.3598, 0.0012, -0.0017, 0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.3242, -0.6066, -0.7281, -0.2052, -0.1690, -0.2473, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2889, -0.2293, -0.8536, 0.0004, 0.0026, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, -0.2447, -0.9675, -0.0557, -0.0189, -3.2620, -0.3250, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6289, -0.6630, -0.1889, -0.3596, 0.0055, -0.0022, 0.0061, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.3255, -0.6064, -0.7294, -0.2857, -0.0802, -0.0308, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2889, -0.2293, -0.8536, -0.0009, 0.0024, 0.0015, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, -0.2449, -0.9652, -0.0538, -0.1784, -3.4860, -0.3423, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6290, -0.6631, -0.1887, -0.3594, 0.0057, -0.0045, 0.0043, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.3227, -0.6057, -0.7304, -0.0246, -0.0022, -0.0108, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2889, -0.2293, -0.8536, 0.0019, 0.0018, 0.0025, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, -0.2462, -0.9651, -0.0533, -0.0708, -3.2949, -0.3951, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6290, -0.6632, -0.1884, -0.3591, 0.0070, -0.0046, 0.0038, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.3230, -0.6058, -0.7334, 0.0468, -0.0347, -0.0633, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2889, -0.2293, -0.8536, 0.0017, 0.0018, 0.0055, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, -0.2461, -0.9640, -0.0556, 0.2452, -3.0751, -0.2541, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6291, -0.6633, -0.1883, -0.3589, 0.0067, -0.0057, 0.0063, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.3218, -0.6074, -0.7317, -0.0069, 0.0674, -0.0636, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.3678, 0.2889, -0.2293, -0.8536, 0.0029, 0.0034, 0.0038, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0000, 0, -0.5057, -0.5757, -0.6379, -0.1454, 0.0716, 0.1149, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.4602, 0.4022, 0.1305, 0.7807, -0.0024, 0.0025, -0.0050, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.5035, -0.5721, -0.6393, -0.2715, 0.1553, 0.1454, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.4602, 0.4021, 0.1304, 0.7807, -0.0043, -0.0017, -0.0032, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.5048, -0.5703, -0.6401, -0.1445, 0.0220, 0.0451, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.4602, 0.4021, 0.1304, 0.7807, -0.0031, -0.0035, -0.0024, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.5061, -0.5741, -0.6405, -0.2530, 0.0869, 0.1634, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.4602, 0.4021, 0.1304, 0.7807, -0.0018, 0.0004, -0.0021, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.5039, -0.5725, -0.6394, -0.3582, -0.1196, 0.2292, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.4602, 0.4021, 0.1304, 0.7807, -0.0040, -0.0012, -0.0032, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.5017, -0.5734, -0.6399, -0.2160, -0.0143, 0.1297, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.4602, 0.4021, 0.1304, 0.7807, -0.0062, -0.0003, -0.0027, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0700, 7, -0.2465, -0.9604, -0.0558, 0.3873, -2.9024, -0.2715, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.6291, -0.6634, -0.1881, -0.3588, 0.0072, -0.0093, 0.0067, 0.0000, 0.0000, 0.0000, 0.0000
