SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.5472, 0.3663, -0.7634, -1.4352, -0.1836, -1.2766, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0867, 0.4025, 0.7820, -0.4679, -0.0350, 0.2957, 1.3104, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.5455, 0.3661, -0.7613, -1.4670, -0.3869, -1.3977, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0866, 0.4025, 0.7821, -0.4677, -0.0334, 0.2958, 1.3086, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0000, 0, -0.5383, 0.4893, -0.7153, 0.7241, 0.4501, -0.5239, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4942, -0.1050, 0.3715, -0.7789, 0.0073, -0.0144, 0.0135, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.5430, 0.3695, -0.7612, -1.1649, -0.6045, -1.4849, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0865, 0.4026, 0.7822, -0.4676, -0.0311, 0.2923, 1.3088, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.5367, 0.4915, -0.7153, 0.0766, 0.1701, -0.1214, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4942, -0.1050, 0.3715, -0.7789, 0.0059, -0.0165, 0.0135, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.5382, 0.3722, -0.7605, -1.1150, -0.4869, -1.3460, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0865, 0.4026, 0.7822, -0.4675, -0.0265, 0.2896, 1.3084, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.5365, 0.4917, -0.7126, -0.3084, 0.1351, 0.1936, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4942, -0.1050, 0.3715, -0.7789, 0.0056, -0.0167, 0.0108, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.5424, 0.3668, -0.7625, -1.2026, -0.5566, -1.3279, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0864, 0.4026, 0.7823, -0.4673, -0.0309, 0.2949, 1.3106, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.5339, 0.4949, -0.7119, -0.5884, -0.0224, 0.3861, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4942, -0.1050, 0.3716, -0.7789, 0.0031, -0.0198, 0.0101, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.5416, 0.3681, -0.7620, -1.3048, -0.6915, -1.4840, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0863, 0.4026, 0.7824, -0.4672, -0.0302, 0.2935, 1.3104, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.5339, 0.4971, -0.7102, -0.6759, -0.0574, 0.2461, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4942, -0.1049, 0.3716, -0.7789, 0.0031, -0.0219, 0.0084, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.5409, 0.3714, -0.7585, -1.3911, -0.7246, -1.5883, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0862, 0.4027, 0.7825, -0.4671, -0.0298, 0.2902, 1.3073, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.5325, 0.4963, -0.7122, -0.7459, -0.1449, 0.3161, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4941, -0.1048, 0.3718, -0.7789, 0.0018, -0.0209, 0.0105, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.5354, 0.4946, -0.7110, -0.8159, -0.2674, 0.2286, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4941, -0.1047, 0.3719, -0.7789, 0.0048, -0.0189, 0.0095, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.5401, 0.3684, -0.7626, -1.3745, -0.6393, -1.5713, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0861, 0.4027, 0.7826, -0.4669, -0.0292, 0.2931, 1.3117, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.5396, 0.3700, -0.7614, -1.3735, -0.7244, -1.5884, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0860, 0.4027, 0.7827, -0.4668, -0.0289, 0.2914, 1.3108, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.5382, 0.4925, -0.7125, -0.7809, -0.0924, 0.4036, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4941, -0.1047, 0.3719, -0.7789, 0.0076, -0.0167, 0.0110, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.5410, 0.3690, -0.7638, -1.2484, -0.9281, -1.6052, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0859, 0.4028, 0.7827, -0.4666, -0.0305, 0.2923, 1.3135, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 8, -0.5383, 0.4938, -0.7106, -1.0784, -0.1799, 0.7186, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4940, -0.1046, 0.3720, -0.7788, 0.0078, -0.0178, 0.0093, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1000, 10, 0.5434, 0.3697, -0.7608, -1.4598, -0.8270, -1.6399, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0859, 0.4028, 0.7828, -0.4665, -0.0331, 0.2915, 1.3108, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0900, 9, -0.5382, 0.4935, -0.7104, -1.2534, -0.3024, 1.0511, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4940, -0.1046, 0.3721, -0.7789, 0.0077, -0.0173, 0.0092, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1100, 11, 0.5411, 0.3711, -0.7634, -1.6508, -0.8773, -1.7962, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0858, 0.4028, 0.7829, -0.4663, -0.0310, 0.2900, 1.3137, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1000, 10, -0.5388, 0.4929, -0.7115, -1.6384, -0.2849, 1.3486, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4938, -0.1044, 0.3723, -0.7789, 0.0083, -0.0163, 0.0104, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1200, 12, 0.5406, 0.3719, -0.7626, -1.7732, -0.7736, -1.9185, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0857, 0.4029, 0.7830, -0.4661, -0.0308, 0.2890, 1.3133, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1100, 11, -0.5350, 0.4947, -0.7103, -1.9359, -0.2324, 1.6286, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4937, -0.1043, 0.3724, -0.7789, 0.0047, -0.0177, 0.0094, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1300, 13, 0.5392, 0.3730, -0.7612, -2.0536, -0.7058, -2.0401, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0856, 0.4029, 0.7831, -0.4659, -0.0296, 0.2878, 1.3123, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1200, 12, -0.5349, 0.4965, -0.7098, -1.9709, -0.2674, 1.7861, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4936, -0.1042, 0.3726, -0.7789, 0.0047, -0.0191, 0.0091, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1300, 13, -0.5292, 0.5012, -0.7053, -1.7084, -0.3549, 1.7336, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4935, -0.1041, 0.3728, -0.7789, -0.0009, -0.0234, 0.0048, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1400, 14, 0.5334, 0.3739, -0.7624, -1.8784, -0.7569, -1.9532, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0855, 0.4029, 0.7832, -0.4657, -0.0241, 0.2868, 1.3139, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1500, 15, 0.5343, 0.3751, -0.7621, -1.9008, -0.4177, -1.8151, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0854, 0.4030, 0.7833, -0.4655, -0.0252, 0.2854, 1.3139, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1400, 14, -0.5258, 0.5086, -0.7028, -1.4809, -0.1974, 1.2436, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4934, -0.1040, 0.3729, -0.7789, -0.0042, -0.0305, 0.0025, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1600, 16, 0.5335, 0.3797, -0.7589, -1.8163, -0.3178, -1.6238, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0853, 0.4030, 0.7834, -0.4653, -0.0246, 0.2806, 1.3111, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1500, 15, -0.5255, 0.5056, -0.7054, -0.8334, -0.1624, 0.5786, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4932, -0.1034, 0.3732, -0.7789, -0.0043, -0.0270, 0.0052, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1700, 17, 0.5313, 0.3779, -0.7584, -1.6987, -0.1686, -1.3106, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0853, 0.4031, 0.7835, -0.4652, -0.0226, 0.2823, 1.3109, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1600, 16, -0.5283, 0.5048, -0.7054, -0.3609, -0.0049, -0.1214, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.4932, -0.1034, 0.3733, -0.7789, -0.0010, -0.0253, 0.0054, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1800, 18, 0.5322, 0.3823, -0.7574, -1.5640, 0.0147, -0.9802, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0853, 0.4031, 0.7836, -0.4650, -0.0236, 0.2777, 1.3103, 0.0000, 0.0000, 0.0000, 0.0000
