timeStamp,leftZPos,rightZPos,leftSynthVel,rightSynthVel,virtualSpeed,virtualSpeed2,virtualHeading,virtualXPos,virtualYPos,virtualDistanceTraveled,virtualXPos2,virtualYPos2,virtualDistanceTraveled2,LeftState,RightState,StateSum
0,0,0,0,0,0,0,-0.000126893,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,-0.000144184,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0.000362353,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0.000297292,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0.000868557,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,0.000832326,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,0.000209428,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,0.000118656,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0.000825008,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,0.000969401,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0.00014706,0,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,-0.000238272,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,-0.000850261,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,-0.00151565,0,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,-0.0011234,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,-0.000472385,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,-2.88E-05,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,-6.76E-05,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0.000193936,0,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,0.000324148,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0.000146062,0,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0.00010798,0,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0.00016917,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0.000785611,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,0.000537642,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0.000512713,0,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,0.000208204,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,0.000459866,0,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,0.000236057,0,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,-2.47E-05,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,-0.000166333,0,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,-0.000105179,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,-0.000625813,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,-0.000252146,0,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,-0.000235217,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0.000184089,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0.000235373,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,-0.000348144,0,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,-0.000491607,0,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,1.71E-05,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0.000540669,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0.000242059,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,-0.000260672,0,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,0.000375537,0,0,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,-0.00019618,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,0.000466083,0,0,0,0,0,0,0,0,0
0.46,0,0,0,0,0,0,0.000286601,0,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,0.000245198,0,0,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,2.01E-05,0,0,0,0,0,0,0,0,0
0.49,0,0,0,0,0,0,-2.70E-05,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,-9.29E-05,0,0,0,0,0,0,0,0,0
0.51,0,0,0,0,0,0,-0.000388055,0,0,0,0,0,0,0,0,0
0.52,0,0,0,0,0,0,-0.00114281,0,0,0,0,0,0,0,0,0
0.53,0,0,0,0,0,0,-0.000967185,0,0,0,0,0,0,0,0,0
0.54,0,0,0,0,0,0,-0.00145258,0,0,0,0,0,0,0,0,0
0.55,0,0,0,0,0,0,-0.000896037,0,0,0,0,0,0,0,0,0
0.56,0,0,0,0,0,0,-0.000822707,0,0,0,0,0,0,0,0,0
0.57,0,0,0,0,0,0,-0.000242266,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,-0.000679739,0,0,0,0,0,0,0,0,0
