timeStamp,leftZPos,rightZPos,leftSynthVel,rightSynthVel,virtualSpeed,virtualSpeed2,virtualHeading,virtualXPos,virtualYPos,virtualDistanceTraveled,virtualXPos2,virtualYPos2,virtualDistanceTraveled2,LeftState,RightState,StateSum
0,0,0,0,0,0,0,0.000162887,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,-0.000155755,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,-0.000377185,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,-0.000697067,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,-0.000597778,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,-0.000206574,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,-0.000642881,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,-0.00103724,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,-0.00111395,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,-0.000542869,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,-0.000744059,0,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,-0.00026716,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,-0.000615999,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,-1.80E-05,0,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,-0.000205849,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,-0.00085857,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,-0.00147132,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,-0.00130471,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,-0.000727297,0,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,-0.000718781,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,-0.00136767,0,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,-0.00170079,0,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,-0.00157505,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,-0.00172709,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,-0.00115476,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,-0.00141929,0,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,-0.000923414,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,-0.00082075,0,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,-0.000103525,0,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,5.33E-05,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,6.77E-06,0,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,-0.000324382,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,-0.000390072,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,-0.000775999,0,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,-0.000248313,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,-0.000452796,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,5.14E-05,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0.000634377,0,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,-0.000130064,0,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,-0.000365901,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,-0.000464548,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,-0.000338003,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,-0.000722691,0,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,-0.000656382,0,0,0,0,0,0,0,0,0
0.44,0,0,0,0,0,0,-0.000664692,0,0,0,0,0,0,0,0,0
0.45,0,0,0,0,0,0,-0.000750454,0,0,0,0,0,0,0,0,0
0.46,0,0,0,0,0,0,-0.00107895,0,0,0,0,0,0,0,0,0
0.47,0,0,0,0,0,0,-0.000682532,0,0,0,0,0,0,0,0,0
0.48,0,0,0,0,0,0,-0.000995,0,0,0,0,0,0,0,0,0
0.49,0,0,0,0,0,0,-0.000688793,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,-0.000617623,0,0,0,0,0,0,0,0,0
0.51,0,0,0,0,0,0,-0.000810558,0,0,0,0,0,0,0,0,0
0.52,0,0,0,0,0,0,-0.000145939,0,0,0,0,0,0,0,0,0
0.53,0,0,0,0,0,0,-0.000218016,0,0,0,0,0,0,0,0,0
0.54,0,0,0,0,0,0,-0.000121262,0,0,0,0,0,0,0,0,0
0.55,0,0,0,0,0,0,-0.000149111,0,0,0,0,0,0,0,0,0
0.56,0,0,0,0,0,0,-0.000202268,0,0,0,0,0,0,0,0,0
0.57,0,0,0,0,0,0,-0.000348633,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,-0.00101877,0,0,0,0,0,0,0,0,0
0.59,0,0,0,0,0,0,-0.00101541,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,-0.000904893,0,0,0,0,0,0,0,0,0
0.61,0,0,0,0,0,0,-0.00116828,0,0,0,0,0,0,0,0,0
0.62,0,0,0,0,0,0,-0.000752342,0,0,0,0,0,0,0,0,0
0.63,0,0,0,0,0,0,-0.000333017,0,0,0,0,0,0,0,0,0
0.64,0,0,0,0,0,0,-0.000418464,0,0,0,0,0,0,0,0,0
0.65,0,0,0,0,0,0,-0.000751181,0,0,0,0,0,0,0,0,0
0.66,0,0,0,0,0,0,-0.00114462,0,0,0,0,0,0,0,0,0
0.67,0,0,0,0,0,0,-0.000798334,0,0,0,0,0,0,0,0,0
0.68,0,0,0,0,0,0,-0.00122694,0,0,0,0,0,0,0,0,0
0.69,0,0,0,0,0,0,-0.00126821,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,-0.00142565,0,0,0,0,0,0,0,0,0
0.71,0,0,0,0,0,0,-0.00154093,0,0,0,0,0,0,0,0,0
0.72,0,0,0,0,0,0,-0.00168537,0,0,0,0,0,0,0,0,0
0.73,0,0,0,0,0,0,-0.00147875,0,0,0,0,0,0,0,0,0
0.74,0,0,0,0,0,0,-0.00175478,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,-0.00208332,0,0,0,0,0,0,0,0,0
0.76,0,0,0,0,0,0,-0.00204049,0,0,0,0,0,0,0,0,0
0.77,0,0,0,0,0,0,-0.00212568,0,0,0,0,0,0,0,0,0
0.78,0,0,0,0,0,0,-0.0022827,0,0,0,0,0,0,0,0,0
0.79,0,0,0,0,0,0,-0.00229854,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,-0.00275876,0,0,0,0,0,0,0,0,0
0.81,0,0,0,0,0,0,-0.00281456,0,0,0,0,0,0,0,0,0
0.82,0,0,0,0,0,0,-0.00328312,0,0,0,0,0,0,0,0,0
0.83,0,0,0,0,0,0,-0.00370926,0,0,0,0,0,0,0,0,0
0.84,0,0,0,0,0,0,-0.00349297,0,0,0,0,0,0,0,0,0
0.85,0,0,0,0,0,0,-0.00251215,0,0,0,0,0,0,0,0,0
0.86,0,0,0,0,0,0,-0.00161256,0,0,0,0,0,0,0,0,0
0.87,0,0,0,0,0,0,-0.000705784,0,0,0,0,0,0,0,0,0
0.88,0,0,0,0,0,0,0.000211388,0,0,0,0,0,0,0,0,0
0.89,0,0,0,0,0,0,0.000536415,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0.00069113,0,0,0,0,0,0,0,0,0
0.91,0,0,0,0,0,0,0.00065574,0,0,0,0,0,0,0,0,0
0.92,0,3.02E-05,0,0.000786458,5.38E-05,0.00018149,0.000451578,-2.43E-10,5.38E-07,5.38E-07,-8.20E-10,1.81E-06,1.81E-06,0,1,1
0.93,0,0.000120645,0,0.00313677,0.000307272,0.00072387,8.55E-05,-5.06E-10,3.61E-06,3.61E-06,-1.44E-09,9.05E-06,9.05E-06,0,1,1
0.94,0,0.000274782,0,0.00714434,0.000926108,0.00164869,-0.00132135,1.17E-08,1.29E-05,1.29E-05,2.03E-08,2.55E-05,2.55E-05,0,1,1
0.95,0,0.000503217,0,0.0130836,0.00205573,0.0030193,-0.00242442,6.16E-08,3.34E-05,3.34E-05,9.35E-08,5.57E-05,5.57E-05,0,1,1
0.96,0,0.000831548,0,0.0216203,0.00386608,0.00498929,-0.00417038,2.23E-07,7.21E-05,7.21E-05,3.02E-07,0.000105626,0.000105626,0,1,1
0.97,0,0.00129577,0,0.03369,0.00659012,0.00777461,-0.00688604,6.77E-07,0.000137989,0.000137991,8.37E-07,0.00018337,0.000183373,0,1,1
