timeStamp,leftZPos,rightZPos,leftSynthVel,rightSynthVel,virtualSpeed,virtualSpeed2,virtualHeading,virtualXPos,virtualYPos,virtualDistanceTraveled,virtualXPos2,virtualYPos2,virtualDistanceTraveled2,LeftState,RightState,StateSum
0,0,0,0,0,0,0,-0.00062991,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0.000126527,0,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,-0.000649924,0,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,-0.00084639,0,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,-0.000459592,0,0,0,0,0,0,0,0,0
0.05,0,0,0,0,0,0,-0.000571952,0,0,0,0,0,0,0,0,0
0.06,0,0,0,0,0,0,-0.00104689,0,0,0,0,0,0,0,0,0
0.07,0,0,0,0,0,0,-0.00105844,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,-0.00095309,0,0,0,0,0,0,0,0,0
0.09,0,0,0,0,0,0,-0.000828485,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,-0.00073139,0,0,0,0,0,0,0,0,0
0.11,0,0,0,0,0,0,-0.000611061,0,0,0,0,0,0,0,0,0
0.12,0,0,0,0,0,0,-0.000771817,0,0,0,0,0,0,0,0,0
0.13,0,0,0,0,0,0,-0.000939804,0,0,0,0,0,0,0,0,0
0.14,0,0,0,0,0,0,-0.000250437,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,-7.45E-05,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,-4.89E-05,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,-0.0006294,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,-0.000658729,0,0,0,0,0,0,0,0,0
0.19,0,0,0,0,0,0,-0.00060479,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,-2.25E-05,0,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,-0.000823385,0,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,-0.000829903,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,-0.00102938,0,0,0,0,0,0,0,0,0
0.24,0,0,0,0,0,0,-0.000757047,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,-0.000779858,0,0,0,0,0,0,0,0,0
0.26,0,0,0,0,0,0,-0.00090145,0,0,0,0,0,0,0,0,0
0.27,0,0,0,0,0,0,-0.000424869,0,0,0,0,0,0,0,0,0
0.28,0,0,0,0,0,0,-0.000962073,0,0,0,0,0,0,0,0,0
0.29,0,0,0,0,0,0,-0.000636439,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,-0.000930084,0,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,-0.000790549,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,-0.00124909,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,-0.00146585,0,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,-0.00116177,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,-0.000815327,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,-0.000680341,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,-0.000862264,0,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,-0.00117476,0,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,-0.000772684,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,-0.00112776,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,-0.000537339,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,-0.00093028,0,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,-0.00106049,0,0,0,0,0,0,0,0,0
