timeStamp,leftZPos,rightZPos,leftSynthVel,rightSynthVel,virtualSpeed,virtualSpeed2,virtualHeading,virtualXPos,virtualYPos,virtualDistanceTraveled,virtualXPos2,virtualYPos2,virtualDistanceTraveled2,LeftState,RightState,StateSum,
0,0,0,0,0,0,0,0.000425399,0,0,0,0,0,0,0,0,0,
0.01,0,0,0,0,0,0,0.000275394,0,0,0,0,0,0,0,0,0,
0.02,0,0,0,0,0,0,-0.000231123,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,-0.00022575,0,0,0,0,0,0,0,0,0,
0.04,0,0,0,0,0,0,0.000329046,0,0,0,0,0,0,0,0,0,
0.05,0,0,0,0,0,0,0.000816188,0,0,0,0,0,0,0,0,0,
0.06,0,0,0,0,0,0,0.000135253,0,0,0,0,0,0,0,0,0,
0.07,0,0,0,0,0,0,-0.000302077,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0,-0.000937232,0,0,0,0,0,0,0,0,0,
0.09,0,0,0,0,0,0,-0.00105373,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,-0.000844935,0,0,0,0,0,0,0,0,0,
0.11,0,0,0,0,0,0,-0.000658767,0,0,0,0,0,0,0,0,0,
0.12,0,0,0,0,0,0,-0.000302367,0,0,0,0,0,0,0,0,0,
0.13,0,0,0,0,0,0,-0.000226008,0,0,0,0,0,0,0,0,0,
0.14,0,0,0,0,0,0,-7.37903e-05,0,0,0,0,0,0,0,0,0,
0.15,0,0,0,0,0,0,-6.75221e-09,0,0,0,0,0,0,0,0,0,
0.16,0,0,0,0,0,0,4.95638e-06,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0,-0.000686983,0,0,0,0,0,0,0,0,0,
0.18,0,0,0,0,0,0,-0.00138762,0,0,0,0,0,0,0,0,0,
0.19,0,0,0,0,0,0,-0.00206747,0,0,0,0,0,0,0,0,0,
0.2,0,0,0,0,0,0,-0.00199431,0,0,0,0,0,0,0,0,0,
0.21,0,0,0,0,0,0,-0.00180411,0,0,0,0,0,0,0,0,0,
0.22,0,0,0,0,0,0,-0.0010303,0,0,0,0,0,0,0,0,0,
0.23,0,0,0,0,0,0,-0.000268584,0,0,0,0,0,0,0,0,0,
0.24,0,0,0,0,0,0,0.000481613,0,0,0,0,0,0,0,0,0,
0.25,0,0,0,0,0,0,0.000572826,0,0,0,0,0,0,0,0,0,
0.26,0,0,0,0,0,0,0.000732593,0,0,0,0,0,0,0,0,0,
0.27,0,0,0,0,0,0,3.29027e-05,0,0,0,0,0,0,0,0,0,
0.28,0,0,0,0,0,0,-0.000133873,0,0,0,0,0,0,0,0,0,
0.29,0,0,0,0,0,0,-0.000895064,0,0,0,0,0,0,0,0,0,
0.3,0,0,0,0,0,0,-0.00159075,0,0,0,0,0,0,0,0,0,
0.31,0,0,0,0,0,0,-0.00197932,0,0,0,0,0,0,0,0,0,
0.32,0,0,0,0,0,0,-0.00179521,0,0,0,0,0,0,0,0,0,
0.33,0,0,0,0,0,0,-0.00145456,0,0,0,0,0,0,0,0,0,
0.34,0,0,0,0,0,0,-0.00095284,0,0,0,0,0,0,0,0,0,
0.35,0,0,0,0,0,0,-0.000151842,0,0,0,0,0,0,0,0,0,
0.36,0,0,0,0,0,0,9.72272e-05,0,0,0,0,0,0,0,0,0,
0.37,0,0,0,0,0,0,0.000540818,0,0,0,0,0,0,0,0,0,
0.38,0,0,0,0,0,0,0.000367683,0,0,0,0,0,0,0,0,0,
0.39,0,0,0,0,0,0,0.000189559,0,0,0,0,0,0,0,0,0,
0.4,0,0,0,0,0,0,-6.4192e-05,0,0,0,0,0,0,0,0,0,
0.41,0,0,0,0,0,0,2.6507e-05,0,0,0,0,0,0,0,0,0,
0.42,0,0,0,0,0,0,-0.000408241,0,0,0,0,0,0,0,0,0,
0.43,0,0,0,0,0,0,9.79673e-05,0,0,0,0,0,0,0,0,0,
0.44,0,0,0,0,0,0,0.000619197,0,0,0,0,0,0,0,0,0,
0.45,0,0,0,0,0,0,0.000276215,0,0,0,0,0,0,0,0,0,
0.46,0,0,0,0,0,0,-5.91525e-05,0,0,0,0,0,0,0,0,0,
0.47,0,0,0,0,0,0,0.000430163,0,0,0,0,0,0,0,0,0,
0.48,0,0,0,0,0,0,0.000832857,0,0,0,0,0,0,0,0,0,
0.49,0,0,0,0,0,0,0.000931898,0,0,0,0,0,0,0,0,0,
0.5,0,0,0,0,0,0,0.00128651,0,0,0,0,0,0,0,0,0,
0.51,0,0,0,0,0,0,0.00198714,0,0,0,0,0,0,0,0,0,
0.52,0,0,0,0,0,0,0.0014166,0,0,0,0,0,0,0,0,0,
0.53,0,0,0,0,0,0,0.00135367,0,0,0,0,0,0,0,0,0,
0.54,0,0,0,0,0,0,0.000904238,0,0,0,0,0,0,0,0,0,
0.55,0,0,0,0,0,0,0.00115571,0,0,0,0,0,0,0,0,0,
0.56,0,0,0,0,0,0,0.00193987,0,0,0,0,0,0,0,0,0,
0.57,0,0,0,0,0,0,0.00158225,0,0,0,0,0,0,0,0,0,
0.58,0,0,0,0,0,0,0.000985556,0,0,0,0,0,0,0,0,0,
0.59,0,0,0,0,0,0,0.000883108,0,0,0,0,0,0,0,0,0,
0.6,0,0,0,0,0,0,0.00148755,0,0,0,0,0,0,0,0,0,
0.61,0,0,0,0,0,0,0.00101045,0,0,0,0,0,0,0,0,0,
0.62,0,0,0,0,0,0,0.00108322,0,0,0,0,0,0,0,0,0,
0.63,0,0,0,0,0,0,0.0012011,0,0,0,0,0,0,0,0,0,
0.64,0,0,0,0,0,0,0.00146694,0,0,0,0,0,0,0,0,0,
0.65,0,0,0,0,0,0,0.000987117,0,0,0,0,0,0,0,0,0,
0.66,0,0,0,0,0,0,0.000417614,0,0,0,0,0,0,0,0,0,
0.67,0,0,0,0,0,0,0.000928882,0,0,0,0,0,0,0,0,0,
0.68,0,0,0,0,0,0,0.00138474,0,0,0,0,0,0,0,0,0,
0.69,0,0,0,0,0,0,0.00137852,0,0,0,0,0,0,0,0,0,
0.7,0,0,0,0,0,0,0.00149505,0,0,0,0,0,0,0,0,0,
0.71,0,0,0,0,0,0,0.000947363,0,0,0,0,0,0,0,0,0,
0.72,0,0,0,0,0,0,0.000536707,0,0,0,0,0,0,0,0,0,
0.73,0,0,0,0,0,0,0.000306228,0,0,0,0,0,0,0,0,0,
0.74,0,0,0,0,0,0,8.31356e-05,0,0,0,0,0,0,0,0,0,
0.75,0,0,0,0,0,0,0.000174395,0,0,0,0,0,0,0,0,0,
0.76,0,0,0,0,0,0,0.000537401,0,0,0,0,0,0,0,0,0,
0.77,0,0,0,0,0,0,0.000548856,0,0,0,0,0,0,0,0,0,
0.78,0,0,0,0,0,0,0.000774055,0,0,0,0,0,0,0,0,0,
0.79,0,0,0,0,0,0,0.000825774,0,0,0,0,0,0,0,0,0,
0.8,0,0,0,0,0,0,0.000940617,0,0,0,0,0,0,0,0,0,
0.81,0,0,0,0,0,0,0.00128852,0,0,0,0,0,0,0,0,0,
0.82,0,0,0,0,0,0,0.000894845,0,0,0,0,0,0,0,0,0,
0.83,0,0,0,0,0,0,0.000930448,0,0,0,0,0,0,0,0,0,
0.84,0,0,0,0,0,0,0.000999986,0,0,0,0,0,0,0,0,0,
0.85,0,0,0,0,0,0,0.000613816,0,0,0,0,0,0,0,0,0,
0.86,0,0,0,0,0,0,0.00119134,0,0,0,0,0,0,0,0,0,
0.87,0,0,0,0,0,0,0.000970485,0,0,0,0,0,0,0,0,0,
0.88,0,0,0,0,0,0,0.000286065,0,0,0,0,0,0,0,0,0,
0.89,0,0,0,0,0,0,0.000419854,0,0,0,0,0,0,0,0,0,
0.9,0,0,0,0,0,0,0.000971406,0,0,0,0,0,0,0,0,0,
0.91,0,0,0,0,0,0,0.000359033,0,0,0,0,0,0,0,0,0,
0.92,0,0,0,0,0,0,0.000538665,0,0,0,0,0,0,0,0,0,
0.93,0,0,0,0,0,0,0.000637005,0,0,0,0,0,0,0,0,0,
0.94,0,0,0,0,0,0,0.000888873,0,0,0,0,0,0,0,0,0,
0.95,0,0,0,0,0,0,0.00144163,0,0,0,0,0,0,0,0,0,
0.96,0,0,0,0,0,0,0.00156713,0,0,0,0,0,0,0,0,0,
0.97,0,0,0,0,0,0,0.00161286,0,0,0,0,0,0,0,0,0,
0.98,0,0,0,0,0,0,0.00203404,0,0,0,0,0,0,0,0,0,
0.99,0,0,0,0,0,0,0.00201742,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0.00208764,0,0,0,0,0,0,0,0,0,
1.01,0,0,0,0,0,0,0.00165384,0,0,0,0,0,0,0,0,0,
1.02,0,0,0,0,0,0,0.00099359,0,0,0,0,0,0,0,0,0,
1.03,0,0,0,0,0,0,0.00117892,0,0,0,0,0,0,0,0,0,
1.04,0,0,0,0,0,0,0.00115251,0,0,0,0,0,0,0,0,0,
1.05,0,0,0,0,0,0,0.00106529,0,0,0,0,0,0,0,0,0,
1.06,0,0,0,0,0,0,0.000923039,0,0,0,0,0,0,0,0,0,
1.07,0,0,0,0,0,0,0.00107092,0,0,0,0,0,0,0,0,0,
1.08,0,0,0,0,0,0,0.00136912,0,0,0,0,0,0,0,0,0,
1.09,0,0,0,0,0,0,0.00137951,0,0,0,0,0,0,0,0,0,
1.1,0,0,0,0,0,0,0.00115316,0,0,0,0,0,0,0,0,0,
1.11,0,0,0,0,0,0,0.00156563,0,0,0,0,0,0,0,0,0,
1.12,0,0,0,0,0,0,0.00137655,0,0,0,0,0,0,0,0,0,
1.13,0,0,0,0,0,0,0.00103716,0,0,0,0,0,0,0,0,0,
1.14,0,0,0,0,0,0,0.000969477,0,0,0,0,0,0,0,0,0,
