gait number,px,py,pz,vx,vy,vz,ax,ay,az,
1,0,0,0,0,0,0,0,0,0,
1,-9.19752e-06,-1.21418e-05,-0.000276569,-0.0018395,-0.00242836,0.000142957,-0.000581875,-0.00397142,-0.00144514,
1,-3.73521e-05,-4.91947e-05,-0.000552656,-0.00379142,-0.00498224,9.63742e-05,-0.00229171,-0.00255912,-0.00386423,
1,-8.44278e-05,-0.000110822,-0.000829799,-0.00562371,-0.00734318,-6.80178e-05,0.0018568,-3.80129e-05,-0.00384695,
1,-0.000146403,-0.000194622,-0.001108,-0.00677136,-0.00941691,-0.000115017,0.0116664,0.00329656,-0.00147091,
1,-0.000219391,-0.000298553,-0.0013858,-0.00782615,-0.0113693,1.11521e-05,0.00374991,0.00243582,-0.000316489,
1,-0.000305189,-0.00042264,-0.00166242,-0.00933356,-0.0134481,0.000121959,0.00243871,0.000719974,-0.00178412,
1,-0.000406275,-0.000567854,-0.0019377,-0.0108836,-0.0155948,0.000278861,0.0028812,0.00104981,0.000623289,
1,-0.000522706,-0.000734727,-0.00221062,-0.0124026,-0.0177798,0.000594387,0.00307025,-5.90471e-05,0.00144978,
1,-0.000654456,-0.000923686,-0.00248056,-0.0139474,-0.020012,0.000873356,0.00235677,8.60968e-05,-0.000122009,
1,-0.000801418,-0.00113476,-0.00274808,-0.015445,-0.0222025,0.00107915,0.00403115,0.000791608,-4.19666e-05,
1,-0.000962456,-0.00136785,-0.00301345,-0.0167625,-0.0244149,0.00130362,0.00602916,-0.000360106,0.000258607,
1,-0.00113681,-0.00162315,-0.0032761,-0.0181076,-0.0266464,0.00162295,0.00346949,0.000402232,0.00189205,
1,-0.00132538,-0.00190052,-0.00353521,-0.0196071,-0.0288278,0.00201261,0.00287998,0.000661783,0.0016923,
1,-0.0015312,-0.00219991,-0.00378939,-0.021557,-0.0310498,0.002609,-0.00571146,-0.000427848,0.00610687,
1,-0.00176113,-0.0025238,-0.00403573,-0.0244297,-0.0337276,0.0035782,-0.0159353,-0.00862773,0.00929292,
1,-0.00202051,-0.00287493,-0.00427247,-0.0274465,-0.0364997,0.00453095,-0.00864782,-0.00235147,0.00577151,
1,-0.00231762,-0.00325639,-0.00450031,-0.0319755,-0.0397912,0.00535899,-0.0467667,-0.0192174,0.00675026,
1,-0.00267129,-0.00367617,-0.00471504,-0.0387568,-0.0441654,0.00715202,-0.0545662,-0.0244241,0.0254453,
1,-0.00309187,-0.00414167,-0.00490542,-0.04536,-0.0489346,0.0102271,-0.0431333,-0.0272711,0.0328882,
1,-0.00357889,-0.00465975,-0.00505737,-0.0520445,-0.0546815,0.0148397,-0.0562258,-0.0443572,0.05679,
1,-0.0041394,-0.00524019,-0.00514994,-0.0600564,-0.0614067,0.0221034,-0.0701943,-0.0472163,0.0869387,
1,-0.00477882,-0.00589817,-0.00515284,-0.0678279,-0.0701883,0.0327744,-0.0513249,-0.0862814,0.126254,
1,-0.00549846,-0.0066509,-0.00502904,-0.0760999,-0.0803582,0.0474426,-0.0803987,-0.0755184,0.168432,
