gait number,px,py,pz,vx,vy,vz,ax,ay,az,
1,0,0,0,0,0,0,0,0,0,
1,1.01094e-05,-2.3248e-05,-0.000560924,0.00202187,-0.00464961,0.00110165,-0.00870068,-0.00619524,-0.00444478,
1,4.00706e-05,-9.41874e-05,-0.00111202,0.00397037,-0.00953827,0.0019651,-0.00149596,-0.00487385,-0.00485634,
1,9.40813e-05,-0.000211106,-0.00165414,0.00683178,-0.0138455,0.00289744,0.0099112,0.00565965,-0.00304042,
1,0.000177163,-0.00036676,-0.00218704,0.00978459,-0.0172853,0.00381012,0.000367419,0.0128092,-0.005257,
1,0.000284047,-0.000553997,-0.00271244,0.0115922,-0.0201622,0.004395,-0.013436,0.0171368,-0.00972334,
1,0.000404481,-0.000769845,-0.003233,0.0124945,-0.0230074,0.00477987,-0.0180906,0.0134541,-0.00933484,
1,0.000531898,-0.00101545,-0.00375077,0.0129891,-0.0261136,0.00495283,-0.0217476,0.011816,-0.0140435,
1,0.00066534,-0.00129375,-0.00426808,0.0136992,-0.0295472,0.00487244,-0.0136964,0.00678066,-0.0145,
1,0.00080992,-0.00160733,-0.00478693,0.0152168,-0.0331681,0.00464286,-0.0052843,0.00799579,-0.0170851,
1,0.000975352,-0.00195712,-0.00531033,0.0178697,-0.0367886,0.00396297,0.0094479,0.00679045,-0.0236805,
1,0.00117496,-0.00234627,-0.00584234,0.0220521,-0.0410415,0.00292291,0.0258998,-0.00489772,-0.0244282,
1,0.00141545,-0.0027765,-0.00638246,0.0260447,-0.0450063,0.00233794,0.00557584,0.0126631,-0.0144024,
1,0.00168378,-0.003244,-0.00692531,0.0276225,-0.0484927,0.00237962,-0.0233299,0.00485678,-0.0116523,
1,0.00196027,-0.00374825,-0.00746622,0.0276747,-0.0523572,0.00272542,-0.0255273,0.0049539,-0.00820239,
1,0.00223843,-0.00429308,-0.00800379,0.0279574,-0.0566091,0.00304608,-0.0186303,-0.00304064,-0.0121647,
1,0.00252534,-0.00488294,-0.00854012,0.029425,-0.061363,0.00297453,-0.00136983,-0.00528108,-0.0161985,
1,0.00283606,-0.00552154,-0.00907799,0.0327189,-0.0663572,0.00273722,0.0186028,-0.0079383,-0.0155442,
1,0.00318349,-0.00621069,-0.00961805,0.0367666,-0.0714731,0.00253783,0.0139976,-0.0077639,-0.0154254,
1,0.00356722,-0.00694929,-0.0101592,0.039981,-0.0762457,0.00251696,0.00161414,-0.000939111,-0.0119046,
1,0.00397679,-0.00773473,-0.0106987,0.0419316,-0.0808436,0.00286614,-0.0117686,-0.00420094,-0.007881,
1,0.00440128,-0.00856604,-0.0112319,0.0429662,-0.0854177,0.00378681,-0.0170602,-0.000455984,-0.000253707,
1,0.00483533,-0.00944279,-0.0117543,0.0438448,-0.0899328,0.00502535,-0.0149477,-0.00299658,-0.0014002,
1,0.00528094,-0.0103636,-0.0122642,0.0452762,-0.0942297,0.00627273,-0.00579114,0.00399236,-7.36736e-05,
1,0.00574384,-0.0113246,-0.0127619,0.0473055,-0.097965,0.00746626,-0.00275872,0.00845134,-0.00249792,
1,0.00622415,-0.0123214,-0.0132498,0.0487555,-0.101402,0.00824712,-0.0175999,0.0100693,-0.00848709,
1,0.00671459,-0.0133546,-0.0137298,0.0493324,-0.105232,0.00904603,-0.0205616,0.000450521,-0.00212977,
1,0.00721478,-0.0144292,-0.0141997,0.0507058,-0.109689,0.0102482,-0.00135973,-0.00271118,-0.000265996,
1,0.00773146,-0.0155488,-0.0146564,0.0526309,-0.114229,0.0117063,-0.00931247,-0.001251,0.00308907,
1,0.00826434,-0.0167136,-0.0150965,0.0539435,-0.118743,0.0135554,-0.0138498,-0.00218982,0.00770483,
1,0.00880777,-0.0179259,-0.0155158,0.0547434,-0.123703,0.0158805,-0.0197628,-0.0103341,0.012793,
1,0.00935865,-0.0191889,-0.0159099,0.0554321,-0.128913,0.018589,-0.016118,-0.00727755,0.0155208,
1,0.00992087,-0.0205028,-0.0162756,0.0570119,-0.133866,0.0215471,-0.00159567,-0.00509883,0.0178822,
1,0.0105004,-0.0218642,-0.0166094,0.0589031,-0.138403,0.0249719,-0.00976817,0.00119912,0.0250359,
1,0.0110956,-0.023266,-0.0169051,0.0601221,-0.141951,0.0291854,-0.0153016,0.0150525,0.0339621,
1,0.0117013,-0.0246986,-0.0171596,0.0610243,-0.144572,0.0331957,-0.0162262,0.020121,0.020892,
1,0.0123198,-0.0261641,-0.0173766,0.0626665,-0.148538,0.0366907,-0.000214859,-0.0123922,0.0234571,
1,0.012961,-0.0276813,-0.0175537,0.0655838,-0.154894,0.0411801,0.00976969,-0.0285789,0.0411655,
1,0.0136391,-0.0292722,-0.0176801,0.0700412,-0.163283,0.0468295,0.0311825,-0.0538672,0.0471059,
1,0.0143654,-0.0309539,-0.0177464,0.0752145,-0.173071,0.053188,0.0243665,-0.0570833,0.0556243,
1,0.0151327,-0.0327303,-0.0177458,0.0782389,-0.182192,0.0602314,-0.0126281,-0.0402732,0.0610676,
1,0.0159279,-0.0346033,-0.0176726,0.0807988,-0.192419,0.0676879,0.0148973,-0.0796252,0.0640462,
1,0.0167584,-0.0365883,-0.0175202,0.0853119,-0.20458,0.0760809,0.0271911,-0.0797141,0.08016,
1,0.017637,-0.0386948,-0.0172783,0.0904012,-0.216711,0.0855752,0.026644,-0.078999,0.0864987,
1,0.0185729,-0.0409278,-0.0169386,0.0967845,-0.229903,0.0956524,0.0535737,-0.101357,0.0920439,
1,0.0195716,-0.0432988,-0.0164937,0.102946,-0.244289,0.106613,0.0221283,-0.103334,0.104514,
1,0.0206151,-0.0458238,-0.0159355,0.105755,-0.260708,0.118313,-0.0147801,-0.14281,0.107112,
1,0.0216887,-0.0485297,-0.0152545,0.108961,-0.280476,0.131175,0.0302111,-0.171603,0.128203,
1,0.0228246,-0.0514455,-0.0144334,0.118218,-0.302677,0.146327,0.108587,-0.192431,0.153798,
1,0.0240831,-0.054596,-0.0134592,0.133487,-0.327436,0.161806,0.152785,-0.223739,0.134884,
1,0.0255147,-0.0580046,-0.0123326,0.152848,-0.35428,0.176803,0.192019,-0.234948,0.14396,
1,0.0271795,-0.0616948,-0.0110431,0.180096,-0.383751,0.194385,0.313577,-0.277288,0.187576,
1,0.0291567,-0.0657005,-0.0095703,0.215345,-0.417388,0.213459,0.355135,-0.319883,0.174398,
1,0.0315027,-0.0700533,-0.0079234,0.253865,-0.453172,0.229206,0.380263,-0.321045,0.119725,
1,0.0342483,-0.0747698,-0.00613125,0.295259,-0.490127,0.242511,0.413738,-0.343775,0.124622,
1,0.0374257,-0.079875,-0.00420175,0.340222,-0.530922,0.256676,0.453008,-0.399332,0.137256,
1,0.0410125,-0.08542,-0.00211136,0.377138,-0.578079,0.27469,0.249687,-0.473482,0.203105,
1,0.0449279,-0.0914757,0.000216555,0.40594,-0.633066,0.30418,0.287603,-0.558949,0.371208,
1,0.0492037,-0.098097,0.00291212,0.449208,-0.69118,0.34822,0.544596,-0.537258,0.499763,
1,0.0539109,-0.105273,0.00615925,0.492234,-0.744081,0.414491,0.282668,-0.45265,0.824419,
1,0.0590106,-0.112989,0.0101123,0.527717,-0.799003,0.489401,0.390818,-0.578462,0.675899,
1,0.0645547,-0.121284,0.0148257,0.581095,-0.860149,0.566579,0.64749,-0.579549,0.870639,
1,0.0707735,-0.130191,0.0204157,0.662669,-0.921103,0.6647,0.965666,-0.574539,1.10289,
1,0.0779393,-0.139709,0.0270438,0.770491,-0.98258,0.774213,1.18261,-0.590217,1.1029,
1,0.086251,-0.149903,0.0345508,0.891837,-1.05626,0.840459,1.2414,-0.823284,0.220778,
1,0.0956687,-0.160884,0.0423079,0.991717,-1.13982,0.824245,0.74497,-0.791792,-0.578245,
1,0.105845,-0.172806,0.049582,1.04353,-1.24456,0.743861,0.261407,-1.25488,-1.08747,
1,0.116534,-0.18576,0.056431,1.09422,-1.34623,0.739232,0.722137,-0.729273,0.966192,
1,0.127892,-0.199733,0.0633352,1.17742,-1.44855,0.754891,0.924193,-1.26817,-0.67387,
1,0.140041,-0.2148,0.0698281,1.25244,-1.5648,0.656978,0.555302,-1.01338,-1.34922,
1,0.152809,-0.230925,0.0752129,1.30117,-1.66024,0.533262,0.388309,-0.843824,-1.19992,
1,0.165958,-0.247925,0.0794326,1.32855,-1.7396,0.423974,0.119842,-0.685506,-1.05507,
1,0.179295,-0.265668,0.0826038,1.33879,-1.80908,0.323548,0.0390996,-0.642241,-1.01925,
1,0.192714,-0.284095,0.0848004,1.34501,-1.87626,0.229065,0.0378682,-0.638793,-0.933926,
1,0.206202,-0.303188,0.0860839,1.35262,-1.94236,0.140906,0.0673197,-0.620222,-0.890296,
1,0.219779,-0.322933,0.0865099,1.36288,-2.00666,0.0575876,0.0919206,-0.602218,-0.835252,
1,0.233464,-0.343312,0.0861408,1.37415,-2.06914,-0.0181223,0.0878009,-0.582848,-0.735177,
1,0.24726,-0.364305,0.0850641,1.38503,-2.12944,-0.0839252,0.0841381,-0.558041,-0.633276,
1,0.261168,-0.385891,0.0833693,1.39653,-2.18773,-0.141755,0.100398,-0.541623,-0.572634,
1,0.275196,-0.408046,0.0811213,1.40898,-2.24333,-0.19455,0.10352,-0.503311,-0.530622,
1,0.289345,-0.430737,0.0783654,1.421,-2.29499,-0.243357,0.0915412,-0.461423,-0.491319,
1,0.303611,-0.453927,0.0751411,1.43217,-2.34302,-0.28821,0.0863127,-0.429075,-0.450028,
1,0.317987,-0.477581,0.071499,1.4429,-2.38766,-0.326927,0.082507,-0.392568,-0.366206,
1,0.332466,-0.501657,0.0675203,1.4529,-2.42757,-0.355514,0.0714052,-0.33244,-0.243509,
1,0.347046,-0.526103,0.0633158,1.46321,-2.46173,-0.372116,0.0889508,-0.275304,-0.121867,
1,0.361741,-0.550869,0.0590023,1.47585,-2.49131,-0.377285,0.118883,-0.239162,-0.0104211,
1,0.376571,-0.57591,0.0546917,1.49012,-2.51698,-0.371559,0.122132,-0.195764,0.100248,
1,0.391541,-0.601179,0.0504917,1.50388,-2.53688,-0.355152,0.108508,-0.121222,0.207345,
1,0.406646,-0.626612,0.0464963,1.517,-2.54955,-0.330638,0.109065,-0.0485838,0.26552,
1,0.421884,-0.652143,0.0427627,1.53067,-2.55666,-0.302801,0.119512,-0.00779241,0.275107,
1,0.43726,-0.677726,0.0393057,1.54455,-2.55994,-0.275313,0.11373,0.0296832,0.25839,
1,0.452764,-0.703319,0.0361185,1.55614,-2.55871,-0.248836,0.0725839,0.0840032,0.25451,
1,0.468349,-0.728865,0.0332109,1.5609,-2.55045,-0.219397,-0.0254392,0.17287,0.318776,
1,0.483952,-0.754272,0.0306417,1.55971,-2.53108,-0.181152,-0.048878,0.310733,0.434021,
1,0.49954,-0.779433,0.0285072,1.55785,-2.50105,-0.132469,-0.0388529,0.390057,0.531596,
1,0.515102,-0.804248,0.0268997,1.55456,-2.46188,-0.075734,-0.0782575,0.497046,0.598177,
1,0.530598,-0.828603,0.0258839,1.54478,-2.40914,-0.0141563,-0.171066,0.666759,0.630325,
1,0.545949,-0.852339,0.0254979,1.52527,-2.33809,0.0502432,-0.276469,0.870449,0.655706,
1,0.561051,-0.875258,0.0257672,1.49515,-2.24568,0.116909,-0.387642,1.10213,0.676523,
1,0.5758,-0.897156,0.0266963,1.4548,-2.13405,0.182202,-0.484782,1.26234,0.627738,
1,0.590102,-0.917885,0.0282351,1.40548,-2.01161,0.238839,-0.570629,1.32248,0.500035,
1,0.603876,-0.937368,0.0302744,1.34938,-1.88515,0.282309,-0.623002,1.34419,0.359287,
1,0.617069,-0.95558,0.0326775,1.28911,-1.75715,0.311593,-0.655825,1.35406,0.210843,
1,0.629647,-0.972511,0.0352942,1.22661,-1.62909,0.325045,-0.668182,1.34535,0.0364943,
1,0.641596,-0.988165,0.0379502,1.16313,-1.50168,0.319427,-0.676092,1.34083,-0.177936,
1,0.652907,-1.00254,0.0404443,1.09901,-1.3731,0.292691,-0.680949,1.3691,-0.394042,
1,0.663582,-1.01562,0.0425731,1.03595,-1.2433,0.24635,-0.654604,1.36583,-0.57763,
1,0.673616,-1.0274,0.044142,0.971036,-1.11205,0.180714,-0.718763,1.39857,-0.787415,
1,0.682973,-1.03784,0.0449744,0.90024,-0.976609,0.0990495,-0.774504,1.45131,-0.904418,
1,0.691604,-1.04691,0.0449576,0.825975,-0.836747,0.0108811,-0.789473,1.48871,-0.920007,
1,0.699473,-1.05456,0.0440544,0.747858,-0.693107,-0.0782245,-0.853053,1.52833,-0.923524,
1,0.706514,-1.06075,0.0422583,0.66039,-0.546489,-0.167726,-0.980114,1.54942,-0.928076,
1,0.712681,-1.0655,0.0396585,0.572908,-0.402489,-0.238933,-0.853338,1.47497,-0.550547,
1,0.7182,-1.06879,0.0366349,0.530953,-0.255333,-0.252503,-0.0519245,1.61375,0.246975,
1,0.723267,-1.07094,0.0332757,0.482426,-0.17577,-0.306051,-0.987346,0.0969105,-1.36557,
1,0.727746,-1.07278,0.0294059,0.413344,-0.190743,-0.354619,-0.470965,-0.313562,0.348488,
1,0.731788,-1.07503,0.0256824,0.395025,-0.260704,-0.276812,0.0475683,-1.02416,1.21089,
1,0.735573,-1.07802,0.0225772,0.362011,-0.335583,-0.23093,-0.770551,-0.41383,-0.302381,
