timeStamp,leftZPos,rightZPos,leftSynthVel,rightSynthVel,virtualSpeed,virtualSpeed2,virtualHeading,virtualXPos,virtualYPos,virtualDistanceTraveled,virtualXPos2,virtualYPos2,virtualDistanceTraveled2,LeftState,RightState,StateSum,
0,0,0,0,0,0,0,0.000437535,0,0,0,0,0,0,0,0,0,
0.01,0,0,0,0,0,0,-4.10786e-05,0,0,0,0,0,0,0,0,0,
0.02,0,0,0,0,0,0,-0.000237477,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,-0.000225745,0,0,0,0,0,0,0,0,0,
0.04,0,0,0,0,0,0,-0.000143283,0,0,0,0,0,0,0,0,0,
0.05,0,0,0,0,0,0,-0.000382028,0,0,0,0,0,0,0,0,0,
0.06,0,0,0,0,0,0,-0.000392409,0,0,0,0,0,0,0,0,0,
0.07,0,0,0,0,0,0,-0.000582852,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0,-0.000389182,0,0,0,0,0,0,0,0,0,
0.09,0,0,0,0,0,0,-0.000468018,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,1.75918e-05,0,0,0,0,0,0,0,0,0,
0.11,0,0,0,0,0,0,-9.24556e-05,0,0,0,0,0,0,0,0,0,
0.12,0,0,0,0,0,0,-0.000702869,0,0,0,0,0,0,0,0,0,
0.13,0,0,0,0,0,0,-9.60702e-05,0,0,0,0,0,0,0,0,0,
0.14,0,0,0,0,0,0,-2.78722e-05,0,0,0,0,0,0,0,0,0,
0.15,0,0,0,0,0,0,3.67434e-05,0,0,0,0,0,0,0,0,0,
0.16,0,0,0,0,0,0,-0.000163435,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0,-0.000373579,0,0,0,0,0,0,0,0,0,
0.18,0,0,0,0,0,0,-0.000123559,0,0,0,0,0,0,0,0,0,
0.19,0,0,0,0,0,0,6.32831e-05,0,0,0,0,0,0,0,0,0,
0.2,0,0,0,0,0,0,-0.00040942,0,0,0,0,0,0,0,0,0,
0.21,0,0,0,0,0,0,-0.000934549,0,0,0,0,0,0,0,0,0,
0.22,0,0,0,0,0,0,-0.000618953,0,0,0,0,0,0,0,0,0,
0.23,0,0,0,0,0,0,-0.000935745,0,0,0,0,0,0,0,0,0,
0.24,0,0,0,0,0,0,-0.00158415,0,0,0,0,0,0,0,0,0,
0.25,0,0,0,0,0,0,-0.0014711,0,0,0,0,0,0,0,0,0,
0.26,0,0,0,0,0,0,-0.00181545,0,0,0,0,0,0,0,0,0,
0.27,0,0,0,0,0,0,-0.00107935,0,0,0,0,0,0,0,0,0,
0.28,0,0,0,0,0,0,-0.000624572,0,0,0,0,0,0,0,0,0,
0.29,0,0,0,0,0,0,-0.00072982,0,0,0,0,0,0,0,0,0,
0.3,0,0,0,0,0,0,-0.000100624,0,0,0,0,0,0,0,0,0,
0.31,0,0,0,0,0,0,-8.31593e-05,0,0,0,0,0,0,0,0,0,
0.32,0,0,0,0,0,0,-0.000536611,0,0,0,0,0,0,0,0,0,
0.33,0,0,0,0,0,0,-0.00026506,0,0,0,0,0,0,0,0,0,
0.34,0,0,0,0,0,0,-0.000378953,0,0,0,0,0,0,0,0,0,
0.35,0,0,0,0,0,0,0.000182614,0,0,0,0,0,0,0,0,0,
0.36,0,0,0,0,0,0,0.000299647,0,0,0,0,0,0,0,0,0,
0.37,0,0,0,0,0,0,0.000743257,0,0,0,0,0,0,0,0,0,
0.38,0,0,0,0,0,0,0.000312584,0,0,0,0,0,0,0,0,0,
0.39,0,0,0,0,0,0,0.000158102,0,0,0,0,0,0,0,0,0,
0.4,0,0,0,0,0,0,0.000309234,0,0,0,0,0,0,0,0,0,
