timeStamp,leftZPos,rightZPos,leftSynthVel,rightSynthVel,virtualSpeed,virtualSpeed2,virtualHeading,virtualXPos,virtualYPos,virtualDistanceTraveled,virtualXPos2,virtualYPos2,virtualDistanceTraveled2,LeftState,RightState,StateSum,
0,0,0,0,0,0,0,0.000191835,0,0,0,0,0,0,0,0,0,
0.01,0,0,0,0,0,0,0.00179566,0,0,0,0,0,0,0,0,0,
0.02,0,0,0,0,0,0,0.00314024,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,0.00433903,0,0,0,0,0,0,0,0,0,
0.04,0,0,0,0,0,0,0.00542385,0,0,0,0,0,0,0,0,0,
0.05,0,0,0,0,0,0,0.00653967,0,0,0,0,0,0,0,0,0,
0.06,0,0,0,0,0,0,0.00728193,0,0,0,0,0,0,0,0,0,
0.07,0,0,0,0,0,0,0.00792591,0,0,0,0,0,0,0,0,0,
0.08,0,0,0,0,0,0,0.00828578,0,0,0,0,0,0,0,0,0,
0.09,0,0,0,0,0,0,0.00833997,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,0.00846036,0,0,0,0,0,0,0,0,0,
0.11,0,0,0,0,0,0,0.00842602,0,0,0,0,0,0,0,0,0,
0.12,0,0,0,0,0,0,0.0080927,0,0,0,0,0,0,0,0,0,
0.13,0,0,0,0,0,0,0.00772993,0,0,0,0,0,0,0,0,0,
0.14,0,0,0,0,0,0,0.00783747,0,0,0,0,0,0,0,0,0,
0.15,0,0,0,0,0,0,0.00778241,0,0,0,0,0,0,0,0,0,
0.16,0,0,0,0,0,0,0.00780612,0,0,0,0,0,0,0,0,0,
0.17,0,0,0,0,0,0,0.00793425,0,0,0,0,0,0,0,0,0,
0.18,0,0,0,0,0,0,0.00784131,0,0,0,0,0,0,0,0,0,
0.19,0,0,0,0,0,0,0.00806765,0,0,0,0,0,0,0,0,0,
0.2,0,0,0,0,0,0,0.00838095,0,0,0,0,0,0,0,0,0,
0.21,0,0,0,0,0,0,0.00848995,0,0,0,0,0,0,0,0,0,
0.22,0,0,0,0,0,0,0.00859036,0,0,0,0,0,0,0,0,0,
0.23,0,0,0,0,0,0,0.00871924,0,0,0,0,0,0,0,0,0,
0.24,0,0,0,0,0,0,0.00898563,0,0,0,0,0,0,0,0,0,
0.25,0,0,0,0,0,0,0.00927498,0,0,0,0,0,0,0,0,0,
0.26,0,0,0,0,0,0,0.00955106,0,0,0,0,0,0,0,0,0,
0.27,0,0,0,0,0,0,0.00999676,0,0,0,0,0,0,0,0,0,
0.28,0,0,0,0,0,0,0.0102198,0,0,0,0,0,0,0,0,0,
0.29,0,0,0,0,0,0,0.0102925,0,0,0,0,0,0,0,0,0,
0.3,0,0,0,0,0,0,0.0102039,0,0,0,0,0,0,0,0,0,
0.31,0,0,0,0,0,0,0.0101479,0,0,0,0,0,0,0,0,0,
0.32,0,0,0,0,0,0,0.0104688,0,0,0,0,0,0,0,0,0,
0.33,0,0,0,0,0,0,0.0111579,0,0,0,0,0,0,0,0,0,
0.34,0,0,0,0,0,0,0.0117312,0,0,0,0,0,0,0,0,0,
0.35,0,0,0,0,0,0,0.0123302,0,0,0,0,0,0,0,0,0,
0.36,0,0,0,0,0,0,0.0125594,0,0,0,0,0,0,0,0,0,
0.37,0,0,0,0,0,0,0.0124043,0,0,0,0,0,0,0,0,0,
0.38,0,0,0,0,0,0,0.0122292,0,0,0,0,0,0,0,0,0,
0.39,0,0,0,0,0,0,0.0125041,0,0,0,0,0,0,0,0,0,
0.4,0,0,0,0,0,0,0.0127062,0,0,0,0,0,0,0,0,0,
0.41,0,0,0,0,0,0,0.0128825,0,0,0,0,0,0,0,0,0,
0.42,0,0,0,0,0,0,0.0129008,0,0,0,0,0,0,0,0,0,
0.43,0,0,0,0,0,0,0.0136339,0,0,0,0,0,0,0,0,0,
0.44,0,0,0,0,0,0,0.013692,0,0,0,0,0,0,0,0,0,
0.45,0,0,0,0,0,0,0.0143084,0,0,0,0,0,0,0,0,0,
0.46,0,0,0,0,0,0,0.0147421,0,0,0,0,0,0,0,0,0,
0.47,0,0,0,0,0,0,0.0149599,0,0,0,0,0,0,0,0,0,
0.48,0,0,0,0,0,0,0.0154817,0,0,0,0,0,0,0,0,0,
0.49,0,0,0,0,0,0,0.0153986,0,0,0,0,0,0,0,0,0,
0.5,0,0,0,0,0,0,0.0157425,0,0,0,0,0,0,0,0,0,
0.51,0,0,0,0,0,0,0.0163236,0,0,0,0,0,0,0,0,0,
0.52,0,0,0,0,0,0,0.0167478,0,0,0,0,0,0,0,0,0,
0.53,0,0,0,0,0,0,0.0168709,0,0,0,0,0,0,0,0,0,
0.54,0,0,0,0,0,0,0.0170499,0,0,0,0,0,0,0,0,0,
0.55,0,0,0,0,0,0,0.0171807,0,0,0,0,0,0,0,0,0,
0.56,0,0,0,0,0,0,0.0172941,0,0,0,0,0,0,0,0,0,
0.57,0,0,0,0,0,0,0.0173475,0,0,0,0,0,0,0,0,0,
0.58,0,0,0,0,0,0,0.0173219,0,0,0,0,0,0,0,0,0,
0.59,0,0,0,0,0,0,0.0174714,0,0,0,0,0,0,0,0,0,
0.6,0,0,0,0,0,0,0.0177818,0,0,0,0,0,0,0,0,0,
0.61,0,0,0,0,0,0,0.0178911,0,0,0,0,0,0,0,0,0,
0.62,0,0,0,0,0,0,0.0175986,0,0,0,0,0,0,0,0,0,
0.63,0,0,0,0,0,0,0.0173458,0,0,0,0,0,0,0,0,0,
0.64,0,0,0,0,0,0,0.0171337,0,0,0,0,0,0,0,0,0,
0.65,0,0,0,0,0,0,0.0171302,0,0,0,0,0,0,0,0,0,
0.66,0,0,0,0,0,0,0.0175036,0,0,0,0,0,0,0,0,0,
0.67,0,0,0,0,0,0,0.017244,0,0,0,0,0,0,0,0,0,
0.68,0,0,0,0,0,0,0.017002,0,0,0,0,0,0,0,0,0,
0.69,0,0,0,0,0,0,0.0168922,0,0,0,0,0,0,0,0,0,
0.7,0,0,0,0,0,0,0.0168456,0,0,0,0,0,0,0,0,0,
0.71,0,0,0,0,0,0,0.0166313,0,0,0,0,0,0,0,0,0,
0.72,0,0,0,0,0,0,0.0177153,0,0,0,0,0,0,0,0,0,
0.73,0,0,0,0,0,0,0.0179131,0,0,0,0,0,0,0,0,0,
0.74,0,0,0,0,0,0,0.0181942,0,0,0,0,0,0,0,0,0,
0.75,0,0,0,0,0,0,0.0176058,0,0,0,0,0,0,0,0,0,
0.76,0,0,0,0,0,0,0.0182543,0,0,0,0,0,0,0,0,0,
0.77,0,0,0,0,0,0,0.0193157,0,0,0,0,0,0,0,0,0,
0.78,0,0,0,0,0,0,0.0198783,0,0,0,0,0,0,0,0,0,
0.79,0,0,0,0,0,0,0.0194993,0,0,0,0,0,0,0,0,0,
0.8,0,0,0,0,0,0,0.0200119,0,0,0,0,0,0,0,0,0,
0.81,0,0,0,0,0,0,0.0205369,0,0,0,0,0,0,0,0,0,
0.82,0,0,0,0,0,0,0.0214505,0,0,0,0,0,0,0,0,0,
0.83,0,0,0,0,0,0,0.021723,0,0,0,0,0,0,0,0,0,
0.84,0,0,0,0,0,0,0.0222864,0,0,0,0,0,0,0,0,0,
0.85,0,0,0,0,0,0,0.0222175,0,0,0,0,0,0,0,0,0,
0.86,0,0,0,0,0,0,0.0220938,0,0,0,0,0,0,0,0,0,
0.87,0,0,0,0,0,0,0.0222035,0,0,0,0,0,0,0,0,0,
0.88,0,0,0,0,0,0,0.0224397,0,0,0,0,0,0,0,0,0,
0.89,2.28158e-05,0,5.93212e-05,0,4.05545e-06,1.36895e-05,0.0227652,-9.23154e-10,4.0544e-08,4.05545e-08,-3.11618e-09,1.3686e-07,1.36895e-07,1,0,1,
0.9,0.000111891,0,0.000290915,0,2.68902e-05,6.71343e-05,0.0238894,-7.34645e-09,3.09369e-07,3.09456e-07,-1.91527e-08,8.08011e-07,8.08238e-07,1,0,1,
0.91,0.000644354,0,0.00167532,0,0.000153957,0.000386613,0.030343,-5.40546e-08,1.84823e-06,1.84903e-06,-1.36445e-07,4.67236e-06,4.67436e-06,1,0,1,
0.92,0.00119844,0,0.00311596,0,0.000439409,0.000719067,0.0346654,-2.06347e-07,6.23969e-06,6.24312e-06,-3.85662e-07,1.18587e-05,1.1865e-05,1,0,1,
0.93,0.00119844,0,0.00311596,0,0.00074529,0.000719067,0.0343058,-4.61974e-07,1.36882e-05,1.3696e-05,-6.32295e-07,1.90451e-05,1.90557e-05,1,0,1,
0.94,0.00316112,0,0.0082189,0,0.00131639,0.00189667,0.037548,-9.56134e-07,2.68428e-05,2.68599e-05,-1.34429e-06,3.79985e-05,3.80224e-05,1,0,1,
0.95,0.00316112,0,0.0082189,0,0.00208017,0.00189667,0.0373607,-1.73312e-06,4.763e-05,4.76616e-05,-2.05273e-06,5.69519e-05,5.69891e-05,1,0,1,
0.96,0.00622149,0,0.0161759,0,0.00317907,0.00373289,0.0272364,-2.59887e-06,7.94088e-05,7.94522e-05,-3.06931e-06,9.4267e-05,9.4318e-05,1,0,1,
0.97,0.0079397,0,0.0206432,0,0.00482684,0.00476382,0.0198984,-3.55928e-06,0.000127668,0.000127721,-4.01717e-06,0.000141896,0.000141956,2,0,2,
0.98,0.00947278,0,0.0246292,0,0.00660193,0.00568367,0.0127758,-4.4027e-06,0.000193682,0.00019374,-4.74328e-06,0.000198728,0.000198793,2,0,2,
0.99,0.0107316,0,0.0279023,0,0.00838786,0.00643899,0.00588093,-4.89598e-06,0.000277559,0.000277619,-5.12195e-06,0.000263117,0.000263183,2,0,2,
1,0.0118135,0,0.0307152,0,0.0101015,0.00708813,-0.000505839,-4.84488e-06,0.000378574,0.000378633,-5.0861e-06,0.000333998,0.000334064,2,0,2,
1.01,0.0128306,0,0.0333596,0,0.0117196,0.00769838,-0.00646696,-4.08699e-06,0.000495767,0.000495829,-4.58825e-06,0.00041098,0.000411048,2,0,2,
1.02,0.0137904,0,0.035855,0,0.0132466,0.00827423,-0.0119455,-2.50465e-06,0.000628224,0.000628295,-3.59988e-06,0.000493716,0.00049379,2,0,2,
1.03,0.0137904,0,0.035855,0,0.0145266,0.00827423,-0.0115804,-8.22443e-07,0.00077348,0.000773562,-2.64171e-06,0.000576453,0.000576532,2,0,2,
1.04,0.0146279,0,0.0380325,0,0.0156055,0.00877673,-0.0165068,1.75341e-06,0.000929514,0.000929617,-1.19302e-06,0.000664209,0.0006643,2,0,2,
