timeStamp,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,px,py,pz,vx,vy,vz,lin_ax,lin_ay,lin_az,stationary,foot-contact,foot-off,state_vv,
-0,-0.5434,-0.3527,0.7665,-0.2749,0.0746,-0.2526,0.93699,-0.187,0.289326,0.000234429,0,0,0,0,0,0,0.00141875,-0.000759982,0.00279057,1,0,0,0,
0.01,-0.5431,-0.3532,0.7695,-0.1848,-0.012,-0.1447,0.937229,-0.187069,0.288509,4.95699e-05,0,0,0,0,0,0,0.00160071,-5.77718e-05,0.00509858,1,0,0,0,
0.02,-0.5464,-0.3523,0.7664,-0.1845,0.1751,-0.0903,0.936962,-0.187072,0.289365,0.000216471,0,0,0,0,0,0,-0.00109656,5.65723e-05,0.00419974,1,0,0,0,
0.03,-0.5441,-0.3489,0.7682,-0.0955,0.1947,-0.178,0.937201,-0.186328,0.289079,0.000375185,0,0,0,0,0,0,0.000809684,0.0020204,0.00314283,1,0,0,0,
0.04,-0.5508,-0.3442,0.7645,-0.0548,-0.3857,-0.2101,0.9371,-0.185762,0.289763,0.000686201,0,0,0,0,0,0,-0.005824,0.00461091,0.00232279,1,0,0,0,
0.05,-0.5417,-0.357,0.7737,-0.0498,-0.8461,-0.2777,0.937263,-0.186249,0.288926,0.000379863,0,0,0,0,0,0,0.00634231,-0.00402644,0.00887012,1,0,0,0,
0.06,-0.5404,-0.3617,0.7736,-0.1292,-0.219,-0.0186,0.937324,-0.186946,0.288277,4.85301e-05,0,0,0,0,0,0,0.0064908,-0.00708428,0.00975132,1,0,0,0,
0.07,-0.5477,-0.3528,0.7712,-0.3625,0.2049,0.0499,0.937167,-0.186495,0.289075,0.000361307,0,0,0,0,0,0,-0.00013496,0.000162341,0.00874424,1,0,0,0,
0.08,-0.5452,-0.3506,0.7679,-0.414,0.4313,-0.1956,0.937291,-0.185699,0.289191,0.000623299,0,0,0,0,0,0,0.000169143,-0.000910714,0.00410426,1,0,0,0,
0.09,-0.5479,-0.3486,0.7695,-0.5689,0.2613,-0.3339,0.937238,-0.185019,0.289791,0.000948346,0,0,0,0,0,0,-0.000145569,0.000343673,0.00609636,1,0,0,0,
0.1,-0.5447,-0.3542,0.7684,-0.5124,0.198,-0.5782,0.937175,-0.185928,0.289414,0.000571335,0,0,0,0,0,0,0.00171199,-0.00363596,0.00546598,1,0,0,0,
0.11,-0.5465,-0.3579,0.7683,-0.2913,0.0307,-0.5879,0.937013,-0.186866,0.289334,0.000237986,0,0,0,0,0,0,0.000378922,-0.00489576,0.0076642,1,0,0,0,
0.12,-0.5459,-0.3624,0.7675,-0.3409,0.0454,-0.2675,0.936854,-0.187798,0.289245,-7.06985e-05,0,0,0,0,0,0,0.00074102,-0.00742419,0.00831866,1,0,0,0,
0.13,-0.5441,-0.3612,0.7682,0.0401,0.3525,-0.0259,0.936778,-0.188661,0.288929,-0.000415983,0,0,0,0,0,0,0.00180618,-0.00439683,0.00746489,1,0,0,0,
0.14,-0.5411,-0.3535,0.7679,0.0533,0.3465,0.3058,0.937056,-0.188206,0.288332,-0.000388556,0,0,0,0,0,0,0.00203802,0.00134539,0.00289893,1,0,0,0,
0.15,-0.542,-0.3471,0.7684,0.2811,0.261,0.4277,0.937255,-0.187318,0.288263,-0.000121825,0,0,0,0,0,0,0.000721782,0.00566909,0.00152278,1,0,0,0,
