timeStamp,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,px,py,pz,vx,vy,vz,lin_ax,lin_ay,lin_az,stationary,foot-contact,foot-off,state_vv,
-0,0.5397,-0.4902,0.71,0.4851,0.1526,-0.2696,0.919306,-0.261094,-0.288676,-0.000346658,0,0,0,0,0,0,-0.00117107,-0.00137627,0.0166377,1,0,0,0,
0.01,0.5403,-0.492,0.7054,0.3451,0.2401,-0.1296,0.919035,-0.261814,-0.288883,-0.000181117,0,0,0,0,0,0,0.00104243,-0.00346535,0.0146167,1,0,0,0,
0.02,0.5401,-0.4926,0.7081,0.4851,0.1351,-0.3746,0.918872,-0.26261,-0.288679,0.000120665,0,0,0,0,0,0,-0.000202805,-0.000960767,0.0166799,1,0,0,0,
0.03,0.5418,-0.4916,0.7074,0.4326,0.2051,-0.2696,0.918616,-0.262649,-0.289457,-9.46474e-05,0,0,0,0,0,0,1.62423e-05,-9.44734e-05,0.0166101,1,0,0,0,
0.04,0.5397,-0.4918,0.7089,0.4763,0.3243,-0.0077,0.918903,-0.262568,-0.288629,0.000125244,0,0,0,0,0,0,-0.000727743,-3.51965e-05,0.0166399,1,0,0,0,
0.05,0.539,-0.4936,0.7062,0.5113,0.2893,-0.1652,0.918693,-0.263357,-0.288567,0.000392316,0,0,0,0,0,0,-1.29491e-05,-0.00125693,0.0152588,1,0,0,0,
0.06,0.5403,-0.4881,0.7106,0.4938,0.3243,-0.1827,0.918967,-0.262501,-0.288485,0.000144878,0,0,0,0,0,0,-0.000253275,0.00391772,0.0163562,1,0,0,0,
0.07,0.5425,-0.4894,0.7088,0.5113,0.5343,-0.0252,0.918965,-0.261821,-0.289102,-0.000245248,0,0,0,0,0,0,0.000976801,0.00075987,0.0169011,1,0,0,0,
0.08,0.5404,-0.494,0.7098,0.5638,0.4468,0.0623,0.918929,-0.262541,-0.288563,0.000147036,0,0,0,0,0,0,-0.000802487,-0.00144552,0.0186982,1,0,0,0,
0.09,0.5404,-0.4889,0.7117,0.6688,0.5168,-0.1302,0.919241,-0.261722,-0.28832,-3.9022e-05,0,0,0,0,0,0,-0.000502586,0.00206234,0.0175693,1,0,0,0,
0.1,0.5422,-0.4874,0.7103,0.6338,0.4818,-0.0952,0.919324,-0.260906,-0.288791,-0.000425257,0,0,0,0,0,0,0.000930771,0.00115557,0.016832,1,0,0,0,
0.11,0.5406,-0.4879,0.7101,0.5288,0.3943,-0.1302,0.919664,-0.260322,-0.28824,-0.00045271,0,0,0,0,0,0,0.000841066,-0.000901774,0.0160866,1,0,0,0,
0.12,0.5411,-0.4851,0.7133,0.3013,0.2368,-0.0427,0.919912,-0.259466,-0.288216,-0.000712746,0,0,0,0,0,0,3.67314e-05,0.00123888,0.0172533,1,0,0,0,
0.13,0.5417,-0.4854,0.7116,-0.0137,0.1143,0.1323,0.919695,-0.259319,-0.289031,-0.000985537,0,0,0,0,0,0,-0.000400931,-6.62506e-05,0.0165229,1,0,0,0,
0.14,0.5426,-0.4903,0.7123,-0.3741,-0.2685,0.2987,0.919495,-0.260201,-0.288877,-0.000651685,0,0,0,0,0,0,-0.000418469,-0.00187889,0.0198284,1,0,0,0,
0.15,0.5402,-0.491,0.709,-0.3834,-0.367,0.3834,0.919283,-0.261088,-0.288751,-0.000314767,0,0,0,0,0,0,-0.000479966,-0.00245409,0.0165892,1,0,0,0,
0.16,0.5415,-0.4904,0.7086,-0.4359,-0.227,0.3659,0.918968,-0.261823,-0.289085,-0.000165976,0,0,0,0,0,0,0.000176549,-0.000301674,0.0167106,1,0,0,0,
0.17,0.5428,-0.4856,0.7109,-0.5759,-0.0695,0.3309,0.919157,-0.261033,-0.289209,-0.000454224,0,0,0,0,0,0,0.000488058,0.00339688,0.0167038,1,0,0,0,
0.18,0.5404,-0.4863,0.7098,-0.5584,-0.0695,0.4709,0.919447,-0.260422,-0.28884,-0.000535886,0,0,0,0,0,0,-0.000217885,0.000561565,0.015003,1,0,0,0,
0.19,0.5411,-0.489,0.7093,-0.4184,0.018,0.5059,0.919178,-0.261271,-0.28892,-0.000280096,0,0,0,0,0,0,5.45233e-05,-2.85357e-05,0.016315,1,0,0,0,
0.2,0.5424,-0.4901,0.7089,-0.3134,0.2805,0.3309,0.918863,-0.261777,-0.289462,-0.000282023,0,0,0,0,0,0,-1.81794e-05,0.000138626,0.0172522,1,0,0,0,
0.21,0.5402,-0.4894,0.7109,-0.2434,0.158,0.4534,0.919173,-0.261476,-0.288759,-0.000166233,0,0,0,0,0,0,-0.00124896,0.000714764,0.0171454,1,0,0,0,
0.22,0.5394,-0.4948,0.7075,-0.4534,0.2455,0.5059,0.918969,-0.262368,-0.28859,0.000161521,0,0,0,0,0,0,-0.000554025,-0.00373308,0.016953,1,0,0,0,
0.23,0.5369,-0.4952,0.7068,-0.1034,0.1055,0.3309,0.918861,-0.263196,-0.28818,0.000549979,0,0,0,0,0,0,-0.00141883,-0.00296293,0.0153407,1,0,0,0,
0.24,0.5398,-0.4905,0.7108,-0.0629,0.0402,0.0891,0.919122,-0.2624,-0.28808,0.000330011,0,0,0,0,0,0,-0.000190854,0.00170583,0.0173913,1,0,0,0,
0.25,0.5389,-0.4896,0.7092,-0.0049,0.0623,0.0224,0.919354,-0.261569,-0.288097,6.30821e-05,0,0,0,0,0,0,4.14252e-06,-0.000259563,0.0153706,1,0,0,0,
0.26,0.5411,-0.489,0.7102,0.0301,0.0273,-0.1001,0.919284,-0.261009,-0.288821,-0.00032459,0,0,0,0,0,0,-0.000201002,-0.000168279,0.0169441,1,0,0,0,
0.27,0.5397,-0.4877,0.7102,-0.2149,-0.1302,0.0749,0.919591,-0.260627,-0.288196,-0.000267381,0,0,0,0,0,0,0.000205413,-9.79453e-05,0.0155828,1,0,0,0,
0.28,0.5408,-0.4885,0.7101,-0.3724,-0.2177,0.0924,0.919262,-0.261061,-0.288841,-0.000316761,0,0,0,0,0,0,-0.000367016,0.000282481,0.016474,1,0,0,0,
0.29,0.5396,-0.4869,0.7111,-0.0924,-0.0602,0.0924,0.919575,-0.260499,-0.288361,-0.000352949,0,0,0,0,0,0,-0.000597343,0.000729233,0.0157747,1,0,0,0,
0.3,0.5411,-0.4885,0.7101,-0.4249,-0.1652,0.1274,0.919244,-0.261053,-0.288906,-0.000338942,0,0,0,0,0,0,-0.000260055,0.000308678,0.016633,1,0,0,0,
0.31,0.54,-0.4916,0.7071,-0.2324,-0.1302,0.1624,0.919003,-0.261907,-0.288902,-6.43863e-05,0,0,0,0,0,0,-4.17084e-05,-0.00208826,0.0154485,1,0,0,0,
0.32,0.5406,-0.4889,0.7091,-0.4249,-0.1127,0.1974,0.919257,-0.261151,-0.288786,-0.0002724,0,0,0,0,0,0,5.59092e-05,-0.000372291,0.0158648,1,0,0,0,
0.33,0.5389,-0.4895,0.7122,-0.3549,0.0623,0.1974,0.919524,-0.261097,-0.287984,-6.93026e-05,0,0,0,0,0,0,-0.00132908,0.000218138,0.0174172,1,0,0,0,
0.34,0.5424,-0.4901,0.7089,-0.0876,-0.0459,0.2096,0.919214,-0.261402,-0.288684,-0.000160857,0,0,0,0,0,0,0.00171039,-0.000679091,0.0172551,1,0,0,0,
